buyer_motivation_row_id,product_id,source_motivation_id,source_motivation_id_raw,motivation_batch_key,source_file,source_sheet,source_batch,import_version,source_sequence,buyer_situation,buyer_problem,buyer_desire,what_buyer_is_really_thinking,emotional_trigger,practical_trigger,buying_trigger,product_role,proof_from_product,best_formula,hook_direction,sample_hook,sample_subhook,sample_cta,why_it_can_sell
MWTCB_25ML__xlsx__BM011,MWTCB_25ML,BM011,BM011,2026-06-19_xlsx__BM011,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,11,Produk moden nampak terlalu generic,Pembeli skeptikal dengan produk viral semata-mata,Nak benda lama yang nampak ada akar,“Aku lebih percaya barang yang tak nampak baru nak up.”,Skepticism terhadap hype,Legacy visual,Trust trigger,Alternatif old-school,"Sejak 1958, label warisan",HSO,old-school trust,Bukan semua benda viral boleh dipercayai.,Ada benda nampak lama sebab memang lama orang simpan.,"Tap beli, cuba sendiri vibe warisan ni.",Menjual kepada anti-hype buyer.
MWTCB_25ML__xlsx__BM012,MWTCB_25ML,BM012,BM012,2026-06-19_xlsx__BM012,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,12,Scroll TikTok nampak banyak produk sama,Susah beza mana genuine dan mana gimmick,Nak visual yang terus melekat,“Cap merah minyak hijau ni nampak lain.”,Curiosity visual,Cap merah mudah cam,Pattern interrupt,Produk visual old-school,"Cap merah, minyak hijau, botol hijau",Hook/Visual/Reason/CTA,visual recognition,"Cap merah, minyak hijau — sekali lalu pun mata berhenti.",Ini jenis visual yang terus bawa otak balik ke almari rumah lama.,Tap tengok produk sekarang.,Visual identity kuat untuk TikTok feed.
MWTCB_25ML__xlsx__BM013,MWTCB_25ML,BM013,BM013,2026-06-19_xlsx__BM013,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,13,Rumah moden tapi tak ada barang tradisi,Rasa rumah macam cantik tapi tak bersedia,Nak rumah cantik dan berguna,"“Rumah bukan cuma deco, kena ada barang standby.”",Home completeness,Letak di almari rumah,Completeness trigger,Barang tradisi pelengkap rumah,"Label warisan, botol kecil",BAB,rumah lengkap,Rumah cantik tak guna kalau benda basic pun tak ada.,Minyak standby macam ni patut ada dalam setiap rumah.,Order satu untuk rumah hari ini.,Pukul ego rumah lengkap.
MWTCB_25ML__xlsx__BM014,MWTCB_25ML,BM014,BM014,2026-06-19_xlsx__BM014,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,14,Nak beli lebih dari satu,Satu botol tak cukup sebab lokasi berbeza,"Nak rumah, kereta dan beg semua ready","“Kalau beli satu, nanti tinggal dekat tempat salah.”",Fear of absence,Multi-location use,Bundle trigger,Multi-location standby oil,"Botol kecil, mudah simpan",Hook/Multi-location/CTA,multi-buy,Satu botol memang tak cukup kalau kau selalu bergerak.,"Rumah satu, kereta satu, beg satu — baru tak menyesal.",Ambil 3 botol terus.,Logik multi-buy sangat jelas.
MWTCB_25ML__xlsx__BM015,MWTCB_25ML,BM015,BM015,2026-06-19_xlsx__BM015,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,15,Pembeli tunggu sakit baru cari,Lewat bertindak buat situasi jadi menyusahkan,Nak sediakan sebelum perlu,“Aku selalu lambat prepare benda macam ni.”,Regret avoidance,Beli awal simpan,Before-need trigger,Barang prepare awal,Botol kecil mudah stok,PAS,jangan tunggu,Jangan tunggu perlu baru cari.,"Barang macam ni beli bukan sebab nak guna sekarang, tapi sebab kau tahu nanti akan perlu.","Tap sekarang, simpan dulu.",Regret-based urgency kuat.
MWTCB_25ML__xlsx__BM016,MWTCB_25ML,BM016,BM016,2026-06-19_xlsx__BM016,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,16,Barang kecil selalu jadi penyelamat,Orang undervalue item kecil,Nak beli benda kecil yang high-utility,“Kecil-kecil pun inilah yang orang cari.”,Surprise usefulness,Mudah capai,Hero item trigger,Hero senyap rumah,"Botol kecil, cap merah",PPPP,hero senyap,Botol kecil ni jenis hero senyap dalam rumah.,"Tak glamorous, tapi bila perlu semua orang cari.",Masukkan ke cart sekarang.,Menaikkan nilai produk kecil.
MWTCB_25ML__xlsx__BM017,MWTCB_25ML,BM017,BM017,2026-06-19_xlsx__BM017,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,17,Rutin keluarga ada banyak momen tak selesa,Setiap orang rumah ada aduan berbeza,Nak satu barang yang semua boleh cari,“Dalam rumah mesti ada orang mengadu sesuatu.”,Family care,Simpan di tempat semua tahu,Household routine trigger,Minyak cari ramai-ramai,"Barang keluarga, label familiar",Hook/Family/Product/CTA,rutin keluarga,Dalam rumah mesti ada satu barang yang semua orang cari bila tak selesa.,Minyak kecil ni patut duduk dekat tempat paling senang capai.,Order untuk rumah hari ini.,Menjual kepada decision-maker rumah.
MWTCB_25ML__xlsx__BM018,MWTCB_25ML,BM018,BM018,2026-06-19_xlsx__BM018,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,18,Rindu vibe rumah tok,Produk moden tiada emotional pull,Nak rasa familiar dan nostalgic,“Ini macam barang yang tok simpan dulu.”,Nostalgia deep,Old-school packaging,Memory trigger,Bridge memori dan fungsi,"Label warisan, Sejak 1958",Hook/Memory/Trust/CTA,rumah tok,"Kalau kau pernah buka almari rumah tok, kau tahu vibe ni.","Botol kecil, label lama, minyak hijau — terus rasa familiar.","Tap tengok, jangan biar nostalgia lalu saja.",Emosi nostalgia kuat untuk stop scroll.
MWTCB_25ML__xlsx__BM019,MWTCB_25ML,BM019,BM019,2026-06-19_xlsx__BM019,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,19,TikTok feed terlalu clean dan sama,Produk old-school nampak lain,Nak tengok sesuatu yang curiosity-driven,"“Eh minyak apa ni, macam lama tapi baru muncul.”",Curiosity,Visual contrast,Scroll-stop trigger,Object curiosity product,"Cap merah, minyak hijau, logo burung",4U,TikTok curiosity,"Tengah scroll TikTok, tiba-tiba nampak minyak macam dari almari tok.",Itu yang buat orang stop — familiar tapi curious.,"Tap beg kuning, tengok sendiri.",Sesuai untuk product-only content.
MWTCB_25ML__xlsx__BM020,MWTCB_25ML,BM020,BM020,2026-06-19_xlsx__BM020,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,20,Pembeli suka cuba barang kecil,Tak nak komit pada produk besar,Nak beli benda murah/kecil/mudah test,“Tak rugi cuba kalau kecil dan berguna.”,Low-risk impulse,Saiz kecil,Impulse buy trigger,Entry product,Botol kecil 25ml,AIDA,impulse cuba,Benda kecil macam ni memang bahaya — senang sangat masuk cart.,"Sebab dia nampak berguna, bukan sekadar comel.",Tap check price sekarang.,Menjual dengan friction rendah.
MWTCB_25ML__xlsx__BM021,MWTCB_25ML,BM021,BM021,2026-06-19_xlsx__BM021,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,21,Pembeli repeat beli bila dah biasa guna,Satu botol hilang cepat sebab ramai guna,Nak stok lebih awal,"“Kalau semua orang pakai, memang kena ada spare.”",Fear of running out,Beli stok,Repeat trigger,Stok rumah,Botol kecil mudah beli banyak,PAS,stok rumah,"Bila satu rumah pakai, satu botol boleh hilang sekelip mata.",Jangan tunggu kosong baru kalut.,Stock up sekarang.,Mendorong repeat dan basket size.
MWTCB_25ML__xlsx__BM022,MWTCB_25ML,BM022,BM022,2026-06-19_xlsx__BM022,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,22,Anak beli untuk mak ayah,Tak tahu nak belikan apa yang berguna,Nak hadiah kecil tapi ada fungsi,“Mak ayah lebih suka benda yang boleh guna.”,Caregiving,Mudah pos/bawa,Parent gifting trigger,Hadiah praktikal,"Sejak 1958, label warisan",QUEST,hadiah mak ayah,Nak belikan mak ayah sesuatu? Jangan asyik beli benda hiasan.,Bawa benda kecil yang mereka kenal dan boleh simpan.,Tap beli satu untuk mak ayah.,Hadiah praktikal lebih mudah diterima.
MWTCB_25ML__xlsx__BM023,MWTCB_25ML,BM023,BM023,2026-06-19_xlsx__BM023,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,23,Isteri/suami suka standby barang rumah,Pasangan selalu cari barang bila perlu,Nak jadi orang yang prepare,"“Kalau aku beli ni, nanti rumah tak kecoh.”",Sense of responsibility,Simpan tempat mudah capai,Household hero trigger,Barang penyelamat pasangan,"Botol kecil, label jelas",BAB,pasangan prepare,"Bila rumah kecoh cari minyak, jangan jadi orang yang cuma tanya ‘mana letak?’",Jadi orang yang siap standby awal.,"Order sekarang, letak dekat rumah.",Menjual pada pride sebagai pasangan responsible.
MWTCB_25ML__xlsx__BM024,MWTCB_25ML,BM024,BM024,2026-06-19_xlsx__BM024,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,24,Balik kerja badan rasa berat,Penat kerja buat mood jatuh,Nak ritual kecil selepas kerja,“Aku cuma nak badan rasa lebih okay sebelum tidur.”,Relief craving,Sapu dan urut ringan,After-work trigger,Minyak sapu selepas kerja,"Minyak tradisional, botol kecil",PAS,after-work,Balik kerja badan rasa macam kena hempap hari Isnin?,Simpan satu minyak kecil untuk rutin lepas mandi atau sebelum tidur.,"Tap beli, badan kau pun nak dijaga.",Strong relatable pain.
MWTCB_25ML__xlsx__BM025,MWTCB_25ML,BM025,BM025,2026-06-19_xlsx__BM025,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,25,Driver duduk lama dalam kereta,Badan cepat rasa lenguh/ketat,Nak benda standby semasa bekerja,"“Aku banyak masa dalam kereta, kena ada benda macam ni.”",Work fatigue,Letak compartment kereta,Driver utility trigger,Minyak kerja jalanan,"Botol kecil, muat kereta",FAB,driver standby,"Kalau hidup kau banyak dalam kereta, minyak standby bukan optional.","Letak satu dekat compartment, baru tak menyesal masa perlu.",Ambil satu untuk kereta sekarang.,Niche use case jelas.
MWTCB_25ML__xlsx__BM026,MWTCB_25ML,BM026,BM026,2026-06-19_xlsx__BM026,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,26,Mak-mak urus rumah dan anak,Benda kecil boleh jadi drama besar,Nak cepat settle tanpa cari merata,“Aku tak ada masa nak panik.”,Control,Letak di rak/laci,Mak-mak trigger,Barang wajib mak-mak,"Botol kecil, cap mudah cam",SLAP,mak-mak,Mak-mak tahu — benda kecil boleh jadi drama kalau tak standby.,Botol kecil ni patut ada sebelum rumah mula kecoh.,"Tap beli, simpan dekat rumah.",Menjual kepada pembeli rumah utama.
MWTCB_25ML__xlsx__BM027,MWTCB_25ML,BM027,BM027,2026-06-19_xlsx__BM027,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,27,Office worker duduk lama,Badan rasa kaku selepas kerja,Nak benda kecil dalam beg pejabat,“Aku nak standby sesuatu tanpa bawa barang besar.”,Daily discomfort,Muat beg kerja,Work bag trigger,Minyak dalam work pouch,"25ml, mudah bawa",BAB,beg kerja,"Beg kerja penuh charger, tapi benda untuk badan sendiri tak ada?","Masukkan satu botol kecil, kau akan faham bila perlu.",Check price sekarang.,Relatable modern routine.
MWTCB_25ML__xlsx__BM028,MWTCB_25ML,BM028,BM028,2026-06-19_xlsx__BM028,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,28,Rumah ada rak ubat tapi tak lengkap,Barang asas tradisional tiada,Nak rak rumah lebih ready,"“Rak tu nampak penuh, tapi benda penting tak ada.”",Preparedness gap,Muat rak kecil,Cabinet trigger,Minyak rak wajib,"Label warisan, botol kecil",PAS,rak rumah,"Rak rumah nampak penuh, tapi minyak standby tak ada?","Itu bukan lengkap, itu cuma nampak lengkap.","Order satu, letak terus di rak.",Sharp angle for household setup.
MWTCB_25ML__xlsx__BM029,MWTCB_25ML,BM029,BM029,2026-06-19_xlsx__BM029,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,29,Pembeli teringat almari lama keluarga,Packaging membangkitkan memori,Nak beli sebab rasa familiar,“Aku pernah nampak benda macam ni dulu.”,Memory recognition,Old-school look,Visual memory trigger,Nostalgia product,"Label warisan, logo burung",HSO,almari lama,Ada produk yang tak perlu explain — tengok label pun terus teringat rumah lama.,Itulah kuasa minyak warisan yang orang cam.,Tap tengok produk sekarang.,Memory sells faster than feature.
MWTCB_25ML__xlsx__BM030,MWTCB_25ML,BM030,BM030,2026-06-19_xlsx__BM030,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,30,Pembeli percaya produk lama lebih stabil,Produk baru nampak cuba nasib,Nak produk dengan sejarah,"“Kalau sejak 1958, mesti ada sebab dia bertahan.”",Trust by longevity,Sejarah produk,Legacy trigger,Minyak warisan,Sejak 1958,AIDA,since 1958,Produk random boleh viral seminggu. Yang bertahan sejak 1958 lain cerita.,Bukan baru muncul semalam nak tunjuk hebat.,Tap untuk tengok Minyak Warisan Tok Cap Burung.,Legacy reduces skepticism.
MWTCB_25ML__xlsx__BM031,MWTCB_25ML,BM031,BM031,2026-06-19_xlsx__BM031,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,31,Pembeli suka petua turun-temurun,Nasihat lama terasa lebih selamat secara emosi,Nak rasa sambung dengan cara orang dulu,“Orang lama bukan buat benda tanpa sebab.”,Cultural trust,Petua keluarga,Tradition trigger,Petua dalam botol,Petua Turun Temurun,PASTOR,petua lama,Petua orang lama jangan cepat sangat kau buang.,Ada benda kekal sebab generasi demi generasi simpan.,"Order sekarang, simpan dalam rumah.",Cultural belief kuat di market Melayu.
MWTCB_25ML__xlsx__BM032,MWTCB_25ML,BM032,BM032,2026-06-19_xlsx__BM032,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,32,Pembeli cari “formula asli”,Tak suka produk yang nampak terlalu synthetic,Nak rasa natural/traditional,"“Aku nak yang rasa macam minyak lama, bukan gimmick.”",Authenticity,Formula identity,Authentic trigger,Minyak tradisional asli,Formula Asli,FAB,formula asli,"Kalau nak minyak tradisional, cari yang rasa betul-betul tradisional.","Formula Asli, vibe lama, botol kecil yang senang standby.",Tap check produk.,Authenticity differentiates.
MWTCB_25ML__xlsx__BM033,MWTCB_25ML,BM033,BM033,2026-06-19_xlsx__BM033,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,33,Logo burung mudah jadi memory hook,Produk senang disebut dan dicari semula,Nak beli produk yang mudah ingat,“Cap Burung tu senang nak ingat.”,Name recall,Logo jelas,Recall trigger,Produk mudah cam,"Logo burung, label burung",4U,logo burung,Ingat satu benda je — Cap Burung.,"Senang cam, senang cari, senang simpan.",Tap produk Cap Burung sekarang.,Name recall bantu repeat purchase.
MWTCB_25ML__xlsx__BM034,MWTCB_25ML,BM034,BM034,2026-06-19_xlsx__BM034,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,34,Botol kaca hijau nampak klasik,Packaging beri rasa old-school/premium,Nak produk yang nampak bukan murahan random,“Botol ni ada rasa klasik.”,Aesthetic trust,Kaca hijau nampak solid,Packaging trust trigger,Old-school shelf item,"Botol kaca hijau, minyak hijau",AIDA,botol klasik,Botol kaca hijau ni bukan vibe produk random kilang semalam.,"Nampak kecil, tapi rasa dia old-school habis.",Tap tengok detail sekarang.,Visual quality sells in product-only video.
MWTCB_25ML__xlsx__BM035,MWTCB_25ML,BM035,BM035,2026-06-19_xlsx__BM035,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,35,Pembeli tak nak show-off product,"Nak barang fungsi, bukan gaya",Nak beli benda yang diam-diam berguna,"“Aku bukan nak cantikkan meja, aku nak benda berguna.”",Practical pride,Simpan bukan pamer,Function trigger,Utility item,"Botol kecil, mudah simpan",SLAP,bukan show off,Produk macam ni bukan untuk show off. Dia untuk ada bila perlu.,"Kecil, senyap, tapi waktu perlu dialah yang dicari.",Masukkan ke cart sekarang.,Anti-vanity positioning strong.
MWTCB_25ML__xlsx__BM036,MWTCB_25ML,BM036,BM036,2026-06-19_xlsx__BM036,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,36,Rumah selalu ada orang pinjam minyak,Satu botol jadi rebutan,Nak ada cukup supaya tak hilang,"“Kalau ada satu je, mesti lesap.”",Annoyance,Beli beberapa botol,Multi-buy trigger,Stok keluarga,"Saiz kecil, mudah beli lebih",PAS,satu botol lesap,"Dalam rumah, minyak macam ni kalau ada satu memang cepat lesap.","Satu letak rumah, satu spare, satu masuk beg.",Ambil 3 terus.,Basket size angle.
MWTCB_25ML__xlsx__BM037,MWTCB_25ML,BM037,BM037,2026-06-19_xlsx__BM037,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,37,Pembeli takut perlu waktu malam,"Kedai tutup, barang tak ada",Nak elak situasi helpless,"“Kalau malam-malam perlu, nak cari dekat mana?”",Fear of being stuck,Simpan awal,Night emergency trigger,Standby before night need,Botol kecil mudah simpan,PAS,malam baru cari,"Yang paling sakit hati? Bila perlu waktu malam, minyak pula tak ada.",Sebab tu barang macam ni kena beli sebelum perlu.,"Tap sekarang, simpan siap-siap.",Fear of no access converts.
MWTCB_25ML__xlsx__BM038,MWTCB_25ML,BM038,BM038,2026-06-19_xlsx__BM038,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,38,Pembeli tak suka pinjam jiran,Rumah sendiri tak ada barang basic,Nak rasa malu tak berlaku,“Takkan benda macam ni pun nak pinjam orang.”,Embarrassment avoidance,Simpan sendiri,Self-sufficiency trigger,Barang asas rumah,Satu rumah satu botol,BAB,jangan pinjam,Takkan minyak standby pun nak pinjam jiran?,Rumah sendiri kena ada barang asas macam ni.,Order satu untuk rumah sekarang.,Uses shame lightly to sell preparedness.
MWTCB_25ML__xlsx__BM039,MWTCB_25ML,BM039,BM039,2026-06-19_xlsx__BM039,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,39,Ada tetamu/keluarga datang rumah,Orang tiba-tiba minta minyak,Nak jadi host yang ready,"“Kalau orang datang dan perlu, aku ada.”",Pride as host,Letak di almari umum,Host trigger,Minyak untuk rumah aktif,Barang keluarga,AIDA,host ready,Rumah yang selalu ada orang datang kena ada minyak standby.,"Bukan besar pun, tapi bila orang minta, kau ada.",Tap beli satu untuk rumah.,Targets hospitality culture.
MWTCB_25ML__xlsx__BM040,MWTCB_25ML,BM040,BM040,2026-06-19_xlsx__BM040,mwtcb_copywriting_landbank.xlsx,Buyer Motivation Map,2026-06-19_xlsx,2026-06-19_initial_landbank,40,Cuaca hujan/sejuk buat badan rasa tak selesa,Rasa lemau dan berat,Nak ritual sapu yang familiar,“Hari hujan memang rasa nak cari minyak.”,Weather mood,Simpan dekat bilik,Weather trigger,Minyak rasa selesa,Minyak tradisional,PAS,hari hujan,"Hari hujan, badan mula lemau, baru tangan cari minyak.","Kalau tak ada, memang rasa tak lengkap.","Order sekarang, standby sebelum musim hujan.",Seasonal relatable angle.
