hook_id,product_id,angle_id,motivation_id,hook_text,hook_family,hook_style,boldness_level,buyer_stage,persona_fit,primary_bucket,platform_surface_fit,best_content_format,opening_pattern,emotion_trigger,curiosity_gap,visual_prompt_hint,usage_context,sales_mechanism,compliance_risk_level,source_batch,hook_status
MWTCB_HOOK_011,MWTCB_25ML,MWTCB_ANG_004,MWTCB_25ML__xlsx__BM002,POV: Beli siap-siap sebab masalah sendi atau otot yang tegang menyerang secara tiba-tiba tanpa amaran.,standby_before_need,POV_hook,BOLD,warm_interest,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,POV: Beli siap-siap sebab masalah...,identification,situation match,Lelaki korporat sedang duduk di kerusi ofis tiba-tiba memegang lehernya yang kaku sambil mengerang kecil.,laci,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_012,MWTCB_25ML,MWTCB_ANG_004,MWTCB_25ML__xlsx__BM002,Jangan tunggu sampai masalah sendi atau otot yang tegang menyerang secara tiba-tiba tanpa amaran baru sibuk nak cari minyak!,standby_before_need,warning_hook,BOLD,warm_interest,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Jangan tunggu sampai masalah sendi...,guilt,problem solution,Lelaki korporat sedang duduk di kerusi ofis tiba-tiba memegang lehernya yang kaku sambil mengerang kecil.,laci,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_013,MWTCB_25ML,MWTCB_ANG_005,MWTCB_25ML__xlsx__BM002,"Bila badan mula buat hal waktu malam, malas gila nak bangun cari minyak satu rumah.",practical_storage,standby_hook,SOFT,warm_interest,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Bila badan mula buat hal...,concern,remedy speed,"Lelaki mengantuk memusingkan badan di katil, tangannya meraba bedside table dan terus mencapai botol cap merah dengan mudah tanpa perlu bangun.",laci,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_014,MWTCB_25ML,MWTCB_ANG_005,MWTCB_25ML__xlsx__BM002,POV: Beli siap-siap sebab kemudahan mencapai minyak angin dari katil ketika tidak selesa malam hari.,practical_storage,POV_hook,SOFT,warm_interest,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,POV: Beli siap-siap sebab kemudahan...,identification,situation match,"Lelaki mengantuk memusingkan badan di katil, tangannya meraba bedside table dan terus mencapai botol cap merah dengan mudah tanpa perlu bangun.",laci,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_015,MWTCB_25ML,MWTCB_ANG_005,MWTCB_25ML__xlsx__BM002,Pernah tak korang gelabah bila kemudahan mencapai minyak angin dari katil ketika tidak selesa malam hari?,practical_storage,question_hook,SOFT,warm_interest,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Pernah tak korang gelabah bila...,empathy,problem solution,"Lelaki mengantuk memusingkan badan di katil, tangannya meraba bedside table dan terus mencapai botol cap merah dengan mudah tanpa perlu bangun.",laci,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_016,MWTCB_25ML,MWTCB_ANG_006,MWTCB_25ML__xlsx__BM002,"Tengah lena tidur tiba-tiba betis kejang menyucuk, takkan baru nak panggil anak?",standby_before_need,standby_hook,AGGRESSIVE,warm_interest,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Tengah lena tidur tiba-tiba betis...,panic,remedy speed,"Datuk memegang betisnya dengan dahi berkerut, lalu nenek mencapai botol cap merah di meja tepi katil untuk mengurutnya.",laci,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_017,MWTCB_25ML,MWTCB_ANG_006,MWTCB_25ML__xlsx__BM002,POV: Beli siap-siap sebab warga emas tiba-tiba mengalami kejang betis tengah malam buta dalam cuaca sejuk.,standby_before_need,POV_hook,AGGRESSIVE,warm_interest,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,POV: Beli siap-siap sebab warga...,identification,situation match,"Datuk memegang betisnya dengan dahi berkerut, lalu nenek mencapai botol cap merah di meja tepi katil untuk mengurutnya.",laci,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_018,MWTCB_25ML,MWTCB_ANG_006,MWTCB_25ML__xlsx__BM002,Jangan tunggu sampai warga emas tiba-tiba mengalami kejang betis tengah malam buta dalam cuaca sejuk baru sibuk nak cari minyak!,standby_before_need,warning_hook,AGGRESSIVE,warm_interest,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Jangan tunggu sampai warga emas...,guilt,problem solution,"Datuk memegang betisnya dengan dahi berkerut, lalu nenek mencapai botol cap merah di meja tepi katil untuk mengurutnya.",laci,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_019,MWTCB_25ML,MWTCB_ANG_007,MWTCB_25ML__xlsx__BM015,Sakit perut pukul 3 pagi baru nak menyesal almari kosong?,standby_before_need,problem_hook,AGGRESSIVE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Sakit perut pukul 3 pagi...,concern,remedy speed,"POV memandang almari ubat yang kosong melompong dengan debu, manakala tangan memegang perut yang sakit.",rumah,before_need_preparation,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_020,MWTCB_25ML,MWTCB_ANG_007,MWTCB_25ML__xlsx__BM015,POV: Beli siap-siap sebab penyesalan tidak membeli awal apabila perut mula memulas tajam di waktu malam.,standby_before_need,POV_hook,AGGRESSIVE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,POV: Beli siap-siap sebab penyesalan...,identification,situation match,"POV memandang almari ubat yang kosong melompong dengan debu, manakala tangan memegang perut yang sakit.",rumah,before_need_preparation,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_021,MWTCB_25ML,MWTCB_ANG_007,MWTCB_25ML__xlsx__BM015,Jangan tunggu sampai penyesalan tidak membeli awal apabila perut mula memulas tajam di waktu malam baru sibuk nak cari minyak!,standby_before_need,warning_hook,AGGRESSIVE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Jangan tunggu sampai penyesalan tidak...,guilt,problem solution,"POV memandang almari ubat yang kosong melompong dengan debu, manakala tangan memegang perut yang sakit.",rumah,before_need_preparation,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_022,MWTCB_25ML,MWTCB_ANG_008,MWTCB_25ML__xlsx__BM015,Kotak kecemasan kau penuh plaster tapi minyak angin herba tiada?,household_readiness,standby_hook,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Kotak kecemasan kau penuh plaster...,concern,remedy speed,Close-up tangan memasukkan botol hijau retro celah plaster dan bandage dalam kotak kecemasan putih.,rumah,before_need_preparation,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_023,MWTCB_25ML,MWTCB_ANG_008,MWTCB_25ML__xlsx__BM015,POV: Beli siap-siap sebab melengkapkan kotak pertolongan cemas rumah dengan ubat herba tradisional.,household_readiness,POV_hook,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,POV: Beli siap-siap sebab melengkapkan...,identification,situation match,Close-up tangan memasukkan botol hijau retro celah plaster dan bandage dalam kotak kecemasan putih.,rumah,before_need_preparation,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_024,MWTCB_25ML,MWTCB_ANG_008,MWTCB_25ML__xlsx__BM015,Pernah tak korang gelabah bila melengkapkan kotak pertolongan cemas rumah dengan ubat herba tradisional?,household_readiness,question_hook,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Pernah tak korang gelabah bila...,empathy,problem solution,Close-up tangan memasukkan botol hijau retro celah plaster dan bandage dalam kotak kecemasan putih.,rumah,before_need_preparation,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_025,MWTCB_25ML,MWTCB_ANG_009,MWTCB_25ML__xlsx__BM015,Laci depan TV penuh barang random tapi minyak standby keluarga tarak.,household_readiness,standby_hook,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Laci depan TV penuh barang...,panic,emergency readiness,"Tangan menarik laci kabinet TV kayu, menyelitkan botol Cap Burung celah remote control dan bateri.",rumah,before_need_preparation,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_026,MWTCB_25ML,MWTCB_ANG_009,MWTCB_25ML__xlsx__BM015,POV: Beli siap-siap sebab kemudahan menyimpan minyak angin di laci utama ruang tamu yang sering dikongsi seisi rumah.,household_readiness,POV_hook,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,POV: Beli siap-siap sebab kemudahan...,identification,situation match,"Tangan menarik laci kabinet TV kayu, menyelitkan botol Cap Burung celah remote control dan bateri.",rumah,before_need_preparation,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_027,MWTCB_25ML,MWTCB_ANG_009,MWTCB_25ML__xlsx__BM015,Pernah tak korang gelabah bila kemudahan menyimpan minyak angin di laci utama ruang tamu yang sering dikongsi seisi rumah?,household_readiness,question_hook,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Pernah tak korang gelabah bila...,empathy,problem solution,"Tangan menarik laci kabinet TV kayu, menyelitkan botol Cap Burung celah remote control dan bateri.",rumah,before_need_preparation,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_028,MWTCB_25ML,MWTCB_ANG_010,MWTCB_25ML__xlsx__BM037,Orang tua kalau malam selalu terjaga sebab kaki sejuk berdenyut.,standby_before_need,standby_hook,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Orang tua kalau malam selalu...,concern,remedy speed,"Makcik tua terjaga malam memegang lututnya yang kebas, lalu tersenyum lega menyapu minyak hijau pekat tradisi.",malam,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_029,MWTCB_25ML,MWTCB_ANG_010,MWTCB_25ML__xlsx__BM037,POV: Beli siap-siap sebab sendi sejuk atau ngilu mencucuk tulang yang sering menyerang ketika cuaca sejuk malam.,standby_before_need,POV_hook,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,POV: Beli siap-siap sebab sendi...,identification,situation match,"Makcik tua terjaga malam memegang lututnya yang kebas, lalu tersenyum lega menyapu minyak hijau pekat tradisi.",malam,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_030,MWTCB_25ML,MWTCB_ANG_010,MWTCB_25ML__xlsx__BM037,Jangan tunggu sampai sendi sejuk atau ngilu mencucuk tulang yang sering menyerang ketika cuaca sejuk malam baru sibuk nak cari minyak!,standby_before_need,warning_hook,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Jangan tunggu sampai sendi sejuk...,guilt,problem solution,"Makcik tua terjaga malam memegang lututnya yang kebas, lalu tersenyum lega menyapu minyak hijau pekat tradisi.",malam,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_031,MWTCB_25ML,MWTCB_ANG_011,MWTCB_25ML__xlsx__BM037,Bangun pagi leher terus kaku tak boleh toleh? Siksa ooo salah bantal.,standby_before_need,standby_hook,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Bangun pagi leher terus kaku...,concern,remedy speed,Lelaki bangun tidur cuba menoleh kepala tapi terhenti kerana kesakitan tengkuk kaku.,malam,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_032,MWTCB_25ML,MWTCB_ANG_011,MWTCB_25ML__xlsx__BM037,POV: Beli siap-siap sebab tengkuk kaku dan salah bantal selepas bangun pagi yang mengganggu aktiviti harian.,standby_before_need,POV_hook,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,POV: Beli siap-siap sebab tengkuk...,identification,situation match,Lelaki bangun tidur cuba menoleh kepala tapi terhenti kerana kesakitan tengkuk kaku.,malam,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_033,MWTCB_25ML,MWTCB_ANG_011,MWTCB_25ML__xlsx__BM037,Pernah tak korang gelabah bila tengkuk kaku dan salah bantal selepas bangun pagi yang mengganggu aktiviti harian?,standby_before_need,question_hook,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Pernah tak korang gelabah bila...,empathy,problem solution,Lelaki bangun tidur cuba menoleh kepala tapi terhenti kerana kesakitan tengkuk kaku.,malam,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_034,MWTCB_25ML,MWTCB_ANG_012,MWTCB_25ML__xlsx__BM037,Bangun tidur terus pinggang rasa terseliuh salah urat?,standby_before_need,standby_hook,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Bangun tidur terus pinggang rasa...,concern,remedy speed,Lelaki duduk di birai katil memegang pinggangnya sambil memicit perlahan dengan botol Cap Burung.,malam,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_035,MWTCB_25ML,MWTCB_ANG_012,MWTCB_25ML__xlsx__BM037,POV: Beli siap-siap sebab lenguh otot pinggang akibat tersalah tidur malam sebelumnya.,standby_before_need,POV_hook,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,POV: Beli siap-siap sebab lenguh...,identification,situation match,Lelaki duduk di birai katil memegang pinggangnya sambil memicit perlahan dengan botol Cap Burung.,malam,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_036,MWTCB_25ML,MWTCB_ANG_012,MWTCB_25ML__xlsx__BM037,Pernah tak korang gelabah bila lenguh otot pinggang akibat tersalah tidur malam sebelumnya?,standby_before_need,question_hook,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Pernah tak korang gelabah bila...,empathy,problem solution,Lelaki duduk di birai katil memegang pinggangnya sambil memicit perlahan dengan botol Cap Burung.,malam,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_037,MWTCB_25ML,MWTCB_ANG_013,MWTCB_25ML__xlsx__BM049,Balik kenduri perut rasa senak gas penuh? Nak sendawa tapi tersekat.,seasonal_context,standby_hook,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Balik kenduri perut rasa senak...,concern,remedy speed,"Lelaki menggosok perutnya yang buncit kembung selepas pulang dari kenduri, muka berkerut menahan senak.",rumah,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_038,MWTCB_25ML,MWTCB_ANG_013,MWTCB_25ML__xlsx__BM049,POV: Beli siap-siap sebab senak perut atau kembung angin selepas makan makanan berat di majlis kenduri.,seasonal_context,POV_hook,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,POV: Beli siap-siap sebab senak...,identification,situation match,"Lelaki menggosok perutnya yang buncit kembung selepas pulang dari kenduri, muka berkerut menahan senak.",rumah,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_039,MWTCB_25ML,MWTCB_ANG_013,MWTCB_25ML__xlsx__BM049,Jangan tunggu sampai senak perut atau kembung angin selepas makan makanan berat di majlis kenduri baru sibuk nak cari minyak!,seasonal_context,warning_hook,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Jangan tunggu sampai senak perut...,guilt,problem solution,"Lelaki menggosok perutnya yang buncit kembung selepas pulang dari kenduri, muka berkerut menahan senak.",rumah,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_040,MWTCB_25ML,MWTCB_ANG_014,MWTCB_25ML__xlsx__BM049,New parents paling panik bila perut anak kembung keras tengah malam.,family_home,standby_hook,SOFT,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,New parents paling panik bila...,concern,remedy speed,Ibu muda menyapu lembut setitik minyak pada tapak kaki dan perut bayi yang sedang bertenang.,rumah,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_041,MWTCB_25ML,MWTCB_ANG_014,MWTCB_25ML__xlsx__BM049,POV: Beli siap-siap sebab kebimbangan ibu bapa baru apabila perut bayi keras berangin dan bayi menangis.,family_home,POV_hook,SOFT,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,POV: Beli siap-siap sebab kebimbangan...,identification,situation match,Ibu muda menyapu lembut setitik minyak pada tapak kaki dan perut bayi yang sedang bertenang.,rumah,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_042,MWTCB_25ML,MWTCB_ANG_014,MWTCB_25ML__xlsx__BM049,Pernah tak korang gelabah bila kebimbangan ibu bapa baru apabila perut bayi keras berangin dan bayi menangis?,family_home,question_hook,SOFT,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Pernah tak korang gelabah bila...,empathy,problem solution,Ibu muda menyapu lembut setitik minyak pada tapak kaki dan perut bayi yang sedang bertenang.,rumah,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_043,MWTCB_25ML,MWTCB_ANG_015,MWTCB_25ML__xlsx__BM049,Balik kerja malam makan lewat ulu hati start memulas berangin.,standby_before_need,standby_hook,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Balik kerja malam makan lewat...,concern,remedy speed,Pekerja kilang duduk memegang dadanya yang senak di ruang tamu rumah kondo malam hari.,rumah,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_044,MWTCB_25ML,MWTCB_ANG_015,MWTCB_25ML__xlsx__BM049,POV: Beli siap-siap sebab senak perut atau pedih ulu hati akibat makan lambat selepas seharian bekerja lasak.,standby_before_need,POV_hook,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,POV: Beli siap-siap sebab senak...,identification,situation match,Pekerja kilang duduk memegang dadanya yang senak di ruang tamu rumah kondo malam hari.,rumah,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_045,MWTCB_25ML,MWTCB_ANG_015,MWTCB_25ML__xlsx__BM049,Jangan tunggu sampai senak perut atau pedih ulu hati akibat makan lambat selepas seharian bekerja lasak baru sibuk nak cari minyak!,standby_before_need,warning_hook,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Jangan tunggu sampai senak perut...,guilt,problem solution,Pekerja kilang duduk memegang dadanya yang senak di ruang tamu rumah kondo malam hari.,rumah,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_046,MWTCB_25ML,MWTCB_ANG_016,MWTCB_25ML__zip_csv__BM001,"Anak mula meragam pukul 2 pagi, waktu tu baru kau nak menggelimpang cari minyak?",standby_before_need,standby_hook,AGGRESSIVE,ready_to_buy,mak_mak,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Anak mula meragam pukul 2...,concern,remedy speed,"Bayi menangis kuat dalam pelukan ibu pada pukul 2:15 pagi, ayah kelam kabut mencari botol minyak Cap Burung.",malam,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_047,MWTCB_25ML,MWTCB_ANG_016,MWTCB_25ML__zip_csv__BM001,"POV: Beli siap-siap sebab anak melalak tengah malam kerana tidak selesa perut, mengganggu tidur seluruh rumah.",standby_before_need,POV_hook,AGGRESSIVE,ready_to_buy,mak_mak,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,POV: Beli siap-siap sebab anak...,identification,situation match,"Bayi menangis kuat dalam pelukan ibu pada pukul 2:15 pagi, ayah kelam kabut mencari botol minyak Cap Burung.",malam,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_048,MWTCB_25ML,MWTCB_ANG_016,MWTCB_25ML__zip_csv__BM001,"Jangan tunggu sampai anak melalak tengah malam kerana tidak selesa perut, mengganggu tidur seluruh rumah baru sibuk nak cari minyak!",standby_before_need,warning_hook,AGGRESSIVE,ready_to_buy,mak_mak,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Jangan tunggu sampai anak melalak...,guilt,problem solution,"Bayi menangis kuat dalam pelukan ibu pada pukul 2:15 pagi, ayah kelam kabut mencari botol minyak Cap Burung.",malam,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
MWTCB_HOOK_049,MWTCB_25ML,MWTCB_ANG_017,MWTCB_25ML__zip_csv__BM001,"Ayah kau kalau dah start berkebun, petang confirm mengadu tangan kebas.",persona_specific,standby_hook,MODERATE,ready_to_buy,mak_mak,STANDBY_BEFORE_NEED,poster_ads,hybrid_video,Ayah kau kalau dah start...,concern,remedy speed,Ayah tua duduk di kerusi pangkin luar rumah memicit-micit pergelangan tangannya yang lenguh selepas mencangkul tanah.,malam,fear_of_not_having,LOW,2026-06-19_part3_6_copy_components,draft
