angle_id,product_id,motivation_id,angle_name,angle_family,primary_bucket,secondary_bucket,buyer_stage,persona_fit,boldness_level,usage_context,sales_mechanism,commercial_trigger,visual_scene,copy_formula_fit,hook_style,hook_direction,subhook_direction,usp_direction,cta_direction,content_format_fit,platform_surface_fit,bundle_potential,repeat_purchase_potential,why_it_can_sell,creative_notes,source_motivation_hook,source_batch,angle_status
MWTCB_ANG_011,MWTCB_25ML,MWTCB_25ML__xlsx__BM037,Salah Bantal Pagi Hari,standby_before_need,STANDBY_BEFORE_NEED,SEASONAL_CONTEXT,cold_scroll,universal_household,MODERATE,malam,fear_of_not_having,Tengkuk kaku dan salah bantal selepas bangun pagi yang mengganggu aktiviti harian.,Lelaki bangun tidur cuba menoleh kepala tapi terhenti kerana kesakitan tengkuk kaku.,PAS,malam baru cari,Bangun pagi leher terus kaku tak boleh toleh? Siksa ooo salah bantal.,Urut lembut dengan minyak hijau pekat herba asli.,Meresap dalam urat untuk longgarkan ketegangan.,Tap untuk hilangkan sakit salah bantal.,hybrid_video,poster_ads,MEDIUM,MEDIUM,Menyelesaikan masalah harian biasa dengan tindakan segera.,Highly common physical issue.,"Yang paling sakit hati? Bila perlu waktu malam, minyak pula tak ada.",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_012,MWTCB_25ML,MWTCB_25ML__xlsx__BM037,Salah Urat Bangun Pagi Hari,standby_before_need,STANDBY_BEFORE_NEED,SEASONAL_CONTEXT,cold_scroll,universal_household,MODERATE,malam,fear_of_not_having,Lenguh otot pinggang akibat tersalah tidur malam sebelumnya.,Lelaki duduk di birai katil memegang pinggangnya sambil memicit perlahan dengan botol Cap Burung.,PAS,malam baru cari,Bangun tidur terus pinggang rasa terseliuh salah urat?,"Tonyoh dengan minyak cap burung, biar kehangatan herba asli meluruskan otot.",Formula pekat meresap jauh ke dalam sendi.,Standby tepi sejadah pagi hari.,hybrid_video,poster_ads,MEDIUM,MEDIUM,Remedi pagi pantas untuk salah urat pinggang harian.,Morning back stiffness.,"Yang paling sakit hati? Bila perlu waktu malam, minyak pula tak ada.",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_013,MWTCB_25ML,MWTCB_25ML__xlsx__BM049,Salah Makan Kenduri,seasonal_context,STANDBY_BEFORE_NEED,FAMILY_HOME,cold_scroll,universal_household,BOLD,rumah,fear_of_not_having,Senak perut atau kembung angin selepas makan makanan berat di majlis kenduri.,"Lelaki menggosok perutnya yang buncit kembung selepas pulang dari kenduri, muka berkerut menahan senak.",Problem/Moment/Standby/CTA,perut tak selesa,Balik kenduri perut rasa senak gas penuh? Nak sendawa tapi tersekat.,"Gosok membulat dengan minyak cap burung, kejap lagi confirm sendawa puas.",Minyak hijau pekat herba asli tradisional.,Tap beg kuning untuk set buang angin.,hybrid_video,poster_ads,MEDIUM,HIGH,Menghubungkan tabiat pemakanan rakyat Malaysia dengan keperluan minyak angin.,Kenduri food culture trigger.,"Perut mula buat hal, baru semua orang cari minyak.",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_014,MWTCB_25ML,MWTCB_25ML__xlsx__BM049,Kembung Bayi Baru Lahir,family_home,STANDBY_BEFORE_NEED,FAMILY_HOME,cold_scroll,universal_household,SOFT,rumah,fear_of_not_having,Kebimbangan ibu bapa baru apabila perut bayi keras berangin dan bayi menangis.,Ibu muda menyapu lembut setitik minyak pada tapak kaki dan perut bayi yang sedang bertenang.,Problem/Moment/Standby/CTA,perut tak selesa,New parents paling panik bila perut anak kembung keras tengah malam.,Formula asli warisan tradisional yang selamat untuk kegunaan keluarga.,Petua asli 1958 yang mak ayah kita sendiri pernah guna.,Beli set bayi standby sekarang.,hybrid_video,poster_ads,MEDIUM,HIGH,Menjual keselamatan formula asli untuk kegunaan seisi keluarga.,Safety and trust for family.,"Perut mula buat hal, baru semua orang cari minyak.",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_015,MWTCB_25ML,MWTCB_25ML__xlsx__BM049,Senak Ulu Hati Balik Kerja,standby_before_need,STANDBY_BEFORE_NEED,FAMILY_HOME,cold_scroll,universal_household,BOLD,rumah,fear_of_not_having,Senak perut atau pedih ulu hati akibat makan lambat selepas seharian bekerja lasak.,Pekerja kilang duduk memegang dadanya yang senak di ruang tamu rumah kondo malam hari.,Problem/Moment/Standby/CTA,perut tak selesa,Balik kerja malam makan lewat ulu hati start memulas berangin.,Sapu membulat minyak cap burung herba asli di perut melegakan senak.,Formula asli turun-temurun sejak 1958 yang dipercayai.,Standby satu botol di meja makan.,hybrid_video,poster_ads,MEDIUM,HIGH,Menyasar pekerja yang makan malam lewat dan berangin.,Late dinner wind pain.,"Perut mula buat hal, baru semua orang cari minyak.",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_016,MWTCB_25ML,MWTCB_25ML__zip_csv__BM001,Drama Midnight Melalak,standby_before_need,STANDBY_BEFORE_NEED,NOSTALGIA_TRUST,ready_to_buy,mak_mak,AGGRESSIVE,malam,fear_of_not_having,"Anak melalak tengah malam kerana tidak selesa perut, mengganggu tidur seluruh rumah.","Bayi menangis kuat dalam pelukan ibu pada pukul 2:15 pagi, ayah kelam kabut mencari botol minyak Cap Burung.",PAS,Problem callout,"Anak mula meragam pukul 2 pagi, waktu tu baru kau nak menggelimpang cari minyak?",Jangan tunggu anak melalak baru nak geledah almari. Sapu siap-siap.,Formula asli sejak 1958 yang dipercayai turun-temurun.,Tap Beg Kuning Standby segera.,hybrid_video,poster_ads,MEDIUM,MEDIUM,Dramatisasi langsung kesakitan anak yang menyebabkan ibu bapa rasa bersalah jika tiada ubat.,Raw family tension.,"""Anak mula meragam pukul 2 pagi, waktu tu baru kau nak menggelimpang cari minyak?""",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_017,MWTCB_25ML,MWTCB_25ML__zip_csv__BM001,Lutut Kebas Lepas Berkebun,persona_specific,STANDBY_BEFORE_NEED,NOSTALGIA_TRUST,ready_to_buy,mak_mak,MODERATE,malam,fear_of_not_having,Warga emas mengalami kebas tangan atau lenguh lutut selepas melakukan hobi harian.,Ayah tua duduk di kerusi pangkin luar rumah memicit-micit pergelangan tangannya yang lenguh selepas mencangkul tanah.,PAS,Problem callout,"Ayah kau kalau dah start berkebun, petang confirm mengadu tangan kebas.","Bagi dia minyak hijau cap burung. Sekali tonyoh, urat tegang terus lembut.",Petua Turun Temurun 1958 warisan lama.,Beli untuk mak ayah hari ini.,hybrid_video,poster_ads,MEDIUM,MEDIUM,Membina empati anak terhadap kesihatan fizikal ibu bapa tua.,Outdoor hobbies parents trigger.,"""Anak mula meragam pukul 2 pagi, waktu tu baru kau nak menggelimpang cari minyak?""",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_018,MWTCB_25ML,MWTCB_25ML__zip_csv__BM001,Anak Selsema Hujan Petang,family_home,STANDBY_BEFORE_NEED,NOSTALGIA_TRUST,ready_to_buy,mak_mak,SOFT,malam,fear_of_not_having,Anak kecil bersin dan hidung tersumbat selepas bermain di luar dalam cuaca hujan petang.,Ibu menyapu nipis minyak pada dada anak yang sedang berselimut selepas mandi petang.,PAS,Problem callout,"Anak start bersin main hujan petang, dada mula rasa ketat tersumbat.",Sapu nipis minyak cap burung di dada untuk kehangatan herba asli semula jadi.,Formula lembut turun-temurun dari bahan herba asli.,Tap beg kuning set kesihatan anak.,hybrid_video,poster_ads,MEDIUM,MEDIUM,Menyasar mak-mak yang ingin menjaga kebajikan anak dengan selamat.,Rainy day child sniffle.,"""Anak mula meragam pukul 2 pagi, waktu tu baru kau nak menggelimpang cari minyak?""",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_019,MWTCB_25ML,MWTCB_25ML__zip_csv__BM017,Kejang Betis Mengandung,persona_specific,STANDBY_BEFORE_NEED,VISUAL_RECOGNITION,warm_interest,mak_mak,BOLD,malam,fear_of_not_having,Simpul biawak atau kejang betis tiba-tiba yang sering dialami wanita mengandung waktu malam.,"Ibu mengandung terjaga malam sambil memegang betisnya yang kejang kesakitan, suaminya dengan pantas menyapu minyak urut.",Problem/Moment,Don't-wait hook,Tengah sedap tidur tiba-tiba betis kejang simpul biawak? Sakit dia sampai menangis.,Sediakan minyak Cap Burung tepi katil untuk sapuan kecemasan pantas.,Formula urut selamat tradisional pekat herba.,Sauk untuk ibu mengandung sekarang.,hybrid_video,poster_ads,LOW,MEDIUM,Masalah sangat khusus dan menyakitkan untuk ibu hamil.,Pregnancy pain point.,"""Tengah sedap tidur tiba-tiba betis kejang simpul biawak? Sakit dia sampai menangis.""",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_020,MWTCB_25ML,MWTCB_25ML__zip_csv__BM017,Sakit Pinggang Angkat Tong Gas,persona_specific,STANDBY_BEFORE_NEED,VISUAL_RECOGNITION,warm_interest,mak_mak,BOLD,malam,fear_of_not_having,Urat pinggang terseliuh atau ketat akibat kerja rumah yang berat.,"Lelaki mengangkat tong gas merah di dapur, tiba-tiba memegang pinggangnya sambil mengerang kesakitan.",Problem/Moment,Don't-wait hook,Angkat tong gas sikit pinggang dah bunyi krak? Urat terkejut tu.,Urut segera dengan herba pekat minyak cap burung untuk longgarkan urat.,Formula asli tradisional yang meresap pantas ke otot.,Simpan satu botol dekat dapur sekarang.,hybrid_video,poster_ads,LOW,MEDIUM,Menghubungkan tugasan rumah dengan kecederaan otot harian.,Domestic physical labor trigger.,"""Tengah sedap tidur tiba-tiba betis kejang simpul biawak? Sakit dia sampai menangis.""",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_021,MWTCB_25ML,MWTCB_25ML__zip_csv__BM017,Kejang Otot Driver Taxi,persona_specific,STANDBY_BEFORE_NEED,VISUAL_RECOGNITION,warm_interest,mak_mak,BOLD,malam,fear_of_not_having,Pemandu teksi veteran mengalami kejang betis akibat menekan pedal minyak duduk lama.,"Pemandu teksi veteran keluar memegang betisnya di stesen minyak petang, mukanya berkerut kesakitan.",Problem/Moment,Don't-wait hook,"Pemandu teksi veteran seharian tekan pedal, malam betis start kejang simpul biawak.","Sediakan Cap Burung dalam poket pintu, sapu hangat melonggarkan sendi urat.",Formula asli tradisional herba pekat sejak 1958.,Beli set pemandu veteran sekarang.,hybrid_video,poster_ads,LOW,MEDIUM,Targeting long-hours taxi and logistics drivers.,Taxi driver leg cramp.,"""Tengah sedap tidur tiba-tiba betis kejang simpul biawak? Sakit dia sampai menangis.""",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_022,MWTCB_25ML,MWTCB_25ML__zip_csv__BM037,Senak Perut Makan Pedas,standby_before_need,STANDBY_BEFORE_NEED,FAMILY_HOME,ready_to_buy,universal_household,BOLD,malam,household_readiness,Senak ulu hati akibat makan makanan pedas melampau di malam hari.,"Lelaki memegang perutnya di meja makan selepas layan ramen pedas, dahi berpeluh menahan senak.",PASTOR,Pain callout,"Makan ramen pedas tengah malam, sekali perut memulas tajam tak boleh tidur.",Urut membulat minyak cap burung dekat ulu hati untuk buang angin senak.,Bau herba menyegarkan dan memanaskan perut.,Tap beg kuning untuk set perut selesa.,hybrid_video,poster_ads,LOW,MEDIUM,Menyasar anak muda yang suka makan pedas/ramen lambat malam.,Youth eating habit trigger.,"""Pagi-pagi bangun tidur, pijak jer lantai terus tumit rasa menyucuk bisa?""",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_023,MWTCB_25ML,MWTCB_25ML__zip_csv__BM037,Terseliuh Tangan Masak Kuali,persona_specific,STANDBY_BEFORE_NEED,FAMILY_HOME,ready_to_buy,universal_household,MODERATE,malam,household_readiness,Pergelangan tangan terseliuh atau lenguh akibat memegang kuali berat semasa memasak.,Ibu memegang pergelangan tangannya yang lenguh selepas menumis sambal dalam kuali besi besar.,PASTOR,Pain callout,Tengah masak tersalah rentap kuali sampai pergelangan tangan terseliuh?,Sapu minyak urut cap burung untuk rawat otot sendi yang cedera ringan.,Formula asli tradisional warisan sejak 1958.,Hadiahkan satu botol untuk isteri hari ini.,hybrid_video,poster_ads,LOW,MEDIUM,Menghargai usaha memasak ibu dengan menyediakan minyak urut.,Wife appreciation trigger.,"""Pagi-pagi bangun tidur, pijak jer lantai terus tumit rasa menyucuk bisa?""",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_024,MWTCB_25ML,MWTCB_25ML__zip_csv__BM056,Tumit Bisa Pijak Lantai,standby_before_need,STANDBY_BEFORE_NEED,FAMILY_HOME,warm_interest,anak_beli_untuk_parent,BOLD,malam,fear_of_not_having,Bisa tumit pagi hari ketika pertama kali memijak lantai selepas bangun tidur.,"Warga emas turun dari katil, memijak lantai kayu lalu mukanya berkerut memegang tumit kaki.",QUEST,Everyday household,"Pagi-pagi bangun tidur, pijak jer lantai terus tumit rasa menyucuk bisa?",Gosok minyak Cap Burung sebelum tidur dan sejurus bangun pagi untuk melembutkan urat.,Minyak hijau pekat herba tradisi asli.,Dapatkan minyak sapuan tumit sekarang.,hybrid_video,poster_ads,LOW,MEDIUM,Masalah biasa warga emas dan golongan berat badan berlebihan.,Common waking discomfort trigger.,"""Tengah malam perut memulas tajam sebab salah makan petang tadi? Siksa ooo.""",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_025,MWTCB_25ML,MWTCB_25ML__zip_csv__BM056,Gatal Nyamuk Kebun Belakang,family_home,STANDBY_BEFORE_NEED,FAMILY_HOME,warm_interest,anak_beli_untuk_parent,SOFT,malam,fear_of_not_having,Gigitan serangga ketika membersihkan kebun belakang rumah yang menyebabkan gatal berpanjangan.,Lelaki menggaru lengannya yang merah berbintik nyamuk ketika memegang cangkul di kebun rumah.,QUEST,Everyday household,Tengah sedap lepak luar kena gigit nyamuk? Gatal sampai luka digarut.,Sapu minyak herba cap burung untuk redakan kegatalan dengan cepat.,Herba asli tradisional tanpa bahan kimia merosakkan kulit.,Standby satu botol untuk aktiviti luar.,hybrid_video,poster_ads,LOW,MEDIUM,Penggunaan luaran serbaguna untuk gigitan nyamuk di rumah.,Outdoor garden setup.,"""Tengah malam perut memulas tajam sebab salah makan petang tadi? Siksa ooo.""",2026-06-19_part2_angle_bank,draft
MWTCB_ANG_026,MWTCB_25ML,MWTCB_25ML__xlsx__BM003,Almari Mak Ayah Wajib Lengkap,family_home,FAMILY_HOME,NOSTALGIA_TRUST,cold_scroll,family_home_buyer,MODERATE,rumah,family_responsibility,Mengikuti habit orang tua yang meletakkan minyak tradisional di tempat khas rumah.,"Anak membuka pintu almari kayu lama milik mak ayah, melihat sebotol Cap Burung berdiri tegak celah barangan keluarga.",Hook/Memory/Trust/CTA,mak ayah habit,Mak ayah kita bukan saja-saja simpan minyak macam ni.,Benda kecil ni selalu dicari bila satu rumah mula mengadu lenguh.,Formula asli 1958 yang dipercayai bertahun-tahun.,Order sekarang untuk lengkapkan almari rumah kau.,hybrid_video,poster_ads,MEDIUM,HIGH,Menjual konsep kelengkapan rumah melayu tradisional yang diwarisi.,Nostalgic family archive vibe.,Mak ayah kita bukan saja-saja simpan minyak macam ni.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_027,MWTCB_25ML,MWTCB_25ML__xlsx__BM003,Petua Orang Lama Rumah Moden,modern_home_traditional_item,FAMILY_HOME,NOSTALGIA_TRUST,cold_scroll,family_home_buyer,BOLD,rumah,family_responsibility,"Walaupun tinggal di kondo/apartment moden, minyak tradisional wajib ada.",Close-up botol kaca hijau retro Cap Burung terletak di atas kabinet TV minimalis gaya Scandinavian.,Hook/Memory/Trust/CTA,mak ayah habit,"Rumah minimalis scandi tapi bila urat tegang, petua orang lama juga yang dicari.",Jangan biar dekorasi moden buat kau lupa barang standby paling berguna.,Cap merah minyak hijau warisan asli 1958.,Sauk sebiji letak tepi tv.,hybrid_video,poster_ads,MEDIUM,HIGH,Menggabungkan gaya hidup moden estetika dengan kegunaan tradisi asli.,Modern vs traditional contrast.,Mak ayah kita bukan saja-saja simpan minyak macam ni.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_028,MWTCB_25ML,MWTCB_25ML__xlsx__BM013,Ego Rumah Cantik Tanpa Standby,family_home,FAMILY_HOME,STANDBY_BEFORE_NEED,cold_scroll,family_home_buyer,BOLD,rumah,household_readiness,Sindiran kepada pemilik rumah yang fokus pada hiasan tetapi tiada barangan asas kesihatan.,"Kamera melakukan pan di ruang tamu mewah yang cantik, kemudian menyorot laci yang tiada minyak angin ketika perut memulas.",BAB,rumah lengkap,"Rumah cantik nak mati, tapi minyak angin standby sebotol pun tarak.",Jangan tunggu perut memulas baru nak sedar hiasan tak boleh hilangkan senak.,Sediakan Cap Burung sejak 1958 dalam laci kecemasan.,Dapatkan set standby rumah hari ini.,hybrid_video,poster_ads,MEDIUM,MEDIUM,Menyerang keutamaan pembeli (hiasan vs persediaan kesihatan).,Interior design callout.,Rumah cantik tak guna kalau benda basic pun tak ada.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_029,MWTCB_25ML,MWTCB_25ML__xlsx__BM013,Ubat Pinjam Jiran,family_home,FAMILY_HOME,STANDBY_BEFORE_NEED,cold_scroll,family_home_buyer,BOLD,rumah,household_readiness,Rasa malu apabila terpaksa mengetuk pintu jiran malam hari hanya untuk meminta minyak angin.,Lelaki berdiri cemas di depan pintu rumah jiran waktu malam memegang perutnya.,BAB,rumah lengkap,Takkan minyak angin standby pun nak kena ketuk pintu jiran?,Simpan satu botol Cap Burung di rumah supaya tidak menyusahkan orang lain.,Formula asli herba pekat mudah simpan.,"Klik beli, standby rumah sendiri.",hybrid_video,poster_ads,MEDIUM,MEDIUM,Menjual maruah dan kebebasan penyediaan rumah sendiri.,Social embarrassment trigger.,Rumah cantik tak guna kalau benda basic pun tak ada.,2026-06-19_part2_angle_bank,draft
MWTCB_ANG_030,MWTCB_25ML,MWTCB_25ML__xlsx__BM016,Minyak Milik Seisi Keluarga,family_home,FAMILY_HOME,PRACTICAL_STORAGE,cold_scroll,universal_household,MODERATE,rumah,household_readiness,Minyak angin yang menjadi rujukan utama seluruh ahli keluarga ketika sakit.,"Montage pantas: ayah memicit bahu, ibu menyapu perut anak, adik menggosok betis, semuanya menggunakan botol Cap Burung yang same.",PPPP,hero senyap,Dalam rumah mesti ada satu barang yang semua orang cari bila badan tak selesa.,Cap merah minyak hijau ni memang penyelamat urat satu keluarga.,Formula herba tradisional asli yang selamat dan berkesan.,Beli set borong keluarga sekarang.,hybrid_video,poster_ads,MEDIUM,HIGH,Menonjolkan utility pelbagai generasi dalam satu botol.,Family montage format.,Botol kecil ni jenis hero senyap dalam rumah.,2026-06-19_part2_angle_bank,draft
