cta_id,product_id,angle_id,motivation_id,cta_text,cta_family,buyer_stage,boldness_level,platform_surface_fit,best_content_format,urgency_level,action_type,usage_context,source_batch,cta_status
MWTCB_CTA_012,MWTCB_25ML,MWTCB_ANG_012,MWTCB_25ML__xlsx__BM037,Standby tepi sejadah pagi hari.,standby_now,cold_scroll,MODERATE,poster_ads,hybrid_video,MEDIUM,prepare_stock,malam,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_013,MWTCB_25ML,MWTCB_ANG_013,MWTCB_25ML__xlsx__BM049,Tap beg kuning untuk set buang angin.,shop_now,cold_scroll,BOLD,poster_ads,hybrid_video,MEDIUM,click_beg_kuning,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_014,MWTCB_25ML,MWTCB_ANG_014,MWTCB_25ML__xlsx__BM049,Beli set bayi standby sekarang.,standby_now,cold_scroll,SOFT,poster_ads,hybrid_video,HIGH,prepare_stock,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_015,MWTCB_25ML,MWTCB_ANG_015,MWTCB_25ML__xlsx__BM049,Standby satu botol di meja makan.,standby_now,cold_scroll,BOLD,poster_ads,hybrid_video,MEDIUM,prepare_stock,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_016,MWTCB_25ML,MWTCB_ANG_016,MWTCB_25ML__zip_csv__BM001,Tap Beg Kuning Standby segera.,shop_now,ready_to_buy,AGGRESSIVE,poster_ads,hybrid_video,MEDIUM,click_beg_kuning,malam,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_017,MWTCB_25ML,MWTCB_ANG_017,MWTCB_25ML__zip_csv__BM001,Beli untuk mak ayah hari ini.,price_check,ready_to_buy,MODERATE,poster_ads,hybrid_video,MEDIUM,view_offer,malam,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_018,MWTCB_25ML,MWTCB_ANG_018,MWTCB_25ML__zip_csv__BM001,Tap beg kuning set kesihatan anak.,shop_now,ready_to_buy,SOFT,poster_ads,hybrid_video,MEDIUM,click_beg_kuning,malam,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_019,MWTCB_25ML,MWTCB_ANG_019,MWTCB_25ML__zip_csv__BM017,Sauk untuk ibu mengandung sekarang.,price_check,warm_interest,BOLD,poster_ads,hybrid_video,HIGH,view_offer,malam,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_020,MWTCB_25ML,MWTCB_ANG_020,MWTCB_25ML__zip_csv__BM017,Simpan satu botol dekat dapur sekarang.,price_check,warm_interest,BOLD,poster_ads,hybrid_video,HIGH,view_offer,malam,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_021,MWTCB_25ML,MWTCB_ANG_021,MWTCB_25ML__zip_csv__BM017,Beli set pemandu veteran sekarang.,bundle_buy,warm_interest,BOLD,poster_ads,hybrid_video,HIGH,bundle_checkout,malam,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_022,MWTCB_25ML,MWTCB_ANG_022,MWTCB_25ML__zip_csv__BM037,Tap beg kuning untuk set perut selesa.,shop_now,ready_to_buy,BOLD,poster_ads,hybrid_video,MEDIUM,click_beg_kuning,malam,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_023,MWTCB_25ML,MWTCB_ANG_023,MWTCB_25ML__zip_csv__BM037,Hadiahkan satu botol untuk isteri hari ini.,price_check,ready_to_buy,MODERATE,poster_ads,hybrid_video,MEDIUM,view_offer,malam,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_024,MWTCB_25ML,MWTCB_ANG_024,MWTCB_25ML__zip_csv__BM056,Dapatkan minyak sapuan tumit sekarang.,price_check,warm_interest,BOLD,poster_ads,hybrid_video,HIGH,view_offer,malam,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_025,MWTCB_25ML,MWTCB_ANG_025,MWTCB_25ML__zip_csv__BM056,Standby satu botol untuk aktiviti luar.,standby_now,warm_interest,SOFT,poster_ads,hybrid_video,MEDIUM,prepare_stock,malam,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_026,MWTCB_25ML,MWTCB_ANG_026,MWTCB_25ML__xlsx__BM003,Order sekarang untuk lengkapkan almari rumah kau.,price_check,cold_scroll,MODERATE,poster_ads,hybrid_video,HIGH,view_offer,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_027,MWTCB_25ML,MWTCB_ANG_027,MWTCB_25ML__xlsx__BM003,Sauk sebiji letak tepi tv.,price_check,cold_scroll,BOLD,poster_ads,hybrid_video,MEDIUM,view_offer,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_028,MWTCB_25ML,MWTCB_ANG_028,MWTCB_25ML__xlsx__BM013,Dapatkan set standby rumah hari ini.,standby_now,cold_scroll,BOLD,poster_ads,hybrid_video,MEDIUM,prepare_stock,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_029,MWTCB_25ML,MWTCB_ANG_029,MWTCB_25ML__xlsx__BM013,"Klik beli, standby rumah sendiri.",standby_now,cold_scroll,BOLD,poster_ads,hybrid_video,MEDIUM,prepare_stock,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_030,MWTCB_25ML,MWTCB_ANG_030,MWTCB_25ML__xlsx__BM016,Beli set borong keluarga sekarang.,bundle_buy,cold_scroll,MODERATE,poster_ads,hybrid_video,HIGH,bundle_checkout,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_031,MWTCB_25ML,MWTCB_ANG_031,MWTCB_25ML__xlsx__BM016,Beli untuk isteri tercinta sekarang.,price_check,cold_scroll,BOLD,poster_ads,hybrid_video,HIGH,view_offer,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_032,MWTCB_25ML,MWTCB_ANG_032,MWTCB_25ML__xlsx__BM017,Hantar set kasih sayang untuk mak ayah sekarang.,bundle_buy,warm_interest,MODERATE,poster_ads,hybrid_video,HIGH,bundle_checkout,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_033,MWTCB_25ML,MWTCB_ANG_033,MWTCB_25ML__xlsx__BM017,Poskan kasih sayang hari ini.,price_check,warm_interest,SOFT,poster_ads,hybrid_video,MEDIUM,view_offer,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_034,MWTCB_25ML,MWTCB_ANG_034,MWTCB_25ML__xlsx__BM022,Beli set mak-mak bijak sekarang.,bundle_buy,gift_buyer,BOLD,poster_ads,hybrid_video,HIGH,bundle_checkout,balik_kampung,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_035,MWTCB_25ML,MWTCB_ANG_035,MWTCB_25ML__xlsx__BM022,Standby botol kecil ini untuk anak main lasak.,standby_now,gift_buyer,MODERATE,poster_ads,hybrid_video,MEDIUM,prepare_stock,balik_kampung,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_036,MWTCB_25ML,MWTCB_ANG_036,MWTCB_25ML__xlsx__BM042,Lengkapkan rak ubat anda hari ini.,price_check,gift_buyer,BOLD,poster_ads,hybrid_video,MEDIUM,view_offer,balik_kampung,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_037,MWTCB_25ML,MWTCB_ANG_037,MWTCB_25ML__xlsx__BM042,Sauk promo kenduri sebelum tetamu sampai.,price_check,gift_buyer,MODERATE,poster_ads,hybrid_video,MEDIUM,view_offer,balik_kampung,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_038,MWTCB_25ML,MWTCB_ANG_038,MWTCB_25ML__zip_csv__BM003,Beli set orang lama untuk mak ayah.,bundle_buy,gift_buyer,BOLD,poster_ads,hybrid_video,MEDIUM,bundle_checkout,balik_kampung,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_039,MWTCB_25ML,MWTCB_ANG_039,MWTCB_25ML__zip_csv__BM003,Beli satu untuk tok pergi surau.,price_check,gift_buyer,SOFT,poster_ads,hybrid_video,MEDIUM,view_offer,balik_kampung,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_040,MWTCB_25ML,MWTCB_ANG_040,MWTCB_25ML__zip_csv__BM014,Hantar set lutut selesa terus ke kampung.,bundle_buy,gift_buyer,AGGRESSIVE,poster_ads,hybrid_video,MEDIUM,bundle_checkout,balik_kampung,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_041,MWTCB_25ML,MWTCB_ANG_041,MWTCB_25ML__zip_csv__BM014,Sediakan satu botol tepi ampaian baju.,price_check,gift_buyer,MODERATE,poster_ads,hybrid_video,MEDIUM,view_offer,balik_kampung,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_042,MWTCB_25ML,MWTCB_ANG_042,MWTCB_25ML__zip_csv__BM018,Hantar Set Lutut Warisan sekarang.,bundle_buy,gift_buyer,AGGRESSIVE,poster_ads,hybrid_video,HIGH,bundle_checkout,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_043,MWTCB_25ML,MWTCB_ANG_043,MWTCB_25ML__zip_csv__BM018,Order set sejadah mak ayah hari ini.,bundle_buy,gift_buyer,SOFT,poster_ads,hybrid_video,MEDIUM,bundle_checkout,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_044,MWTCB_25ML,MWTCB_ANG_044,MWTCB_25ML__zip_csv__BM024,Standby set kembung bayi sekarang.,standby_now,repeat_buyer,BOLD,poster_ads,hybrid_video,HIGH,prepare_stock,balik_kampung,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_045,MWTCB_25ML,MWTCB_ANG_045,MWTCB_25ML__zip_csv__BM024,Beli set warisan keluarga hari ini.,bundle_buy,repeat_buyer,SOFT,poster_ads,hybrid_video,MEDIUM,bundle_checkout,balik_kampung,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_046,MWTCB_25ML,MWTCB_ANG_046,MWTCB_25ML__xlsx__BM004,"Beli warisan asli, bukan sekadar trend.",price_check,gift_buyer,BOLD,poster_ads,hybrid_video,MEDIUM,view_offer,balik_kampung,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_047,MWTCB_25ML,MWTCB_ANG_047,MWTCB_25ML__xlsx__BM004,Tap untuk rasa ubat turun-temurun asli.,price_check,gift_buyer,MODERATE,poster_ads,hybrid_video,MEDIUM,view_offer,balik_kampung,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_048,MWTCB_25ML,MWTCB_ANG_048,MWTCB_25ML__xlsx__BM011,Bawa memori kampung balik rumah bandar kau.,price_check,cold_scroll,BOLD,poster_ads,hybrid_video,MEDIUM,view_offer,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_049,MWTCB_25ML,MWTCB_ANG_049,MWTCB_25ML__xlsx__BM011,Tap untuk bawa pulang vibe kampung.,price_check,cold_scroll,SOFT,poster_ads,hybrid_video,MEDIUM,view_offer,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_050,MWTCB_25ML,MWTCB_ANG_050,MWTCB_25ML__xlsx__BM018,Klik beli herba asli bukan rebrand.,price_check,cold_scroll,BOLD,poster_ads,hybrid_video,MEDIUM,view_offer,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_051,MWTCB_25ML,MWTCB_ANG_051,MWTCB_25ML__xlsx__BM018,Kekalkan warisan keluarga anda sekarang.,price_check,cold_scroll,SOFT,poster_ads,hybrid_video,HIGH,view_offer,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_052,MWTCB_25ML,MWTCB_ANG_052,MWTCB_25ML__xlsx__BM030,Dapatkan herba warisan tulen hari ini.,price_check,cold_scroll,BOLD,poster_ads,hybrid_video,MEDIUM,view_offer,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_053,MWTCB_25ML,MWTCB_ANG_053,MWTCB_25ML__xlsx__BM030,Tap untuk aroma tradisi menenangkan.,price_check,cold_scroll,MODERATE,poster_ads,hybrid_video,MEDIUM,view_offer,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_054,MWTCB_25ML,MWTCB_ANG_054,MWTCB_25ML__xlsx__BM031,Tap beg kuning untuk ubat terbukti masa.,shop_now,warm_interest,BOLD,poster_ads,hybrid_video,MEDIUM,click_beg_kuning,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_055,MWTCB_25ML,MWTCB_ANG_055,MWTCB_25ML__xlsx__BM031,Beli satu botol rindu kampung sekarang.,price_check,warm_interest,SOFT,poster_ads,hybrid_video,HIGH,view_offer,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_056,MWTCB_25ML,MWTCB_ANG_056,MWTCB_25ML__xlsx__BM056,Beli set buang angin untuk tok.,bundle_buy,cold_scroll,BOLD,poster_ads,hybrid_video,MEDIUM,bundle_checkout,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_057,MWTCB_25ML,MWTCB_ANG_057,MWTCB_25ML__zip_csv__BM005,Dapatkan minyak urat pekat sekarang.,price_check,repeat_buyer,BOLD,poster_ads,hybrid_video,HIGH,view_offer,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_058,MWTCB_25ML,MWTCB_ANG_058,MWTCB_25ML__zip_csv__BM015,Sediakan sebotol dalam beg gym anda.,price_check,repeat_buyer,BOLD,poster_ads,hybrid_video,MEDIUM,view_offer,malam,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_059,MWTCB_25ML,MWTCB_ANG_059,MWTCB_25ML__zip_csv__BM015,Tap untuk set sukan standby.,standby_now,repeat_buyer,MODERATE,poster_ads,hybrid_video,MEDIUM,prepare_stock,malam,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_060,MWTCB_25ML,MWTCB_ANG_060,MWTCB_25ML__zip_csv__BM028,Hantar set tidur lena orang tua sekarang.,bundle_buy,ready_to_buy,BOLD,poster_ads,hybrid_video,HIGH,bundle_checkout,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_061,MWTCB_25ML,MWTCB_ANG_061,MWTCB_25ML__zip_csv__BM028,Beli set dapur mak sekarang.,bundle_buy,ready_to_buy,MODERATE,poster_ads,hybrid_video,HIGH,bundle_checkout,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_062,MWTCB_25ML,MWTCB_ANG_062,MWTCB_25ML__zip_csv__BM031,Beli herba asli tulen sekarang.,price_check,ready_to_buy,BOLD,poster_ads,hybrid_video,HIGH,view_offer,malam,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_063,MWTCB_25ML,MWTCB_ANG_063,MWTCB_25ML__zip_csv__BM031,Dapatkan botol retro legenda anda.,price_check,ready_to_buy,MODERATE,poster_ads,hybrid_video,MEDIUM,view_offer,malam,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_064,MWTCB_25ML,MWTCB_ANG_064,MWTCB_25ML__zip_csv__BM050,Tap beg kuning standby leher selesa.,shop_now,warm_interest,BOLD,poster_ads,hybrid_video,MEDIUM,click_beg_kuning,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_065,MWTCB_25ML,MWTCB_ANG_065,MWTCB_25ML__zip_csv__BM060,Sauk minyak legenda asli sekarang.,price_check,ready_to_buy,AGGRESSIVE,poster_ads,hybrid_video,HIGH,view_offer,malam,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_066,MWTCB_25ML,MWTCB_ANG_066,MWTCB_25ML__xlsx__BM014,Sauk bundle 3 botol harga promo sekarang.,bundle_buy,ready_to_buy,BOLD,poster_ads,hybrid_video,HIGH,bundle_checkout,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_067,MWTCB_25ML,MWTCB_ANG_067,MWTCB_25ML__xlsx__BM014,Sauk promo bundle keluarga sekarang.,bundle_buy,ready_to_buy,BOLD,poster_ads,hybrid_video,HIGH,bundle_checkout,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_068,MWTCB_25ML,MWTCB_ANG_068,MWTCB_25ML__xlsx__BM014,Klik promo set kereta sekarang.,bundle_buy,ready_to_buy,MODERATE,poster_ads,hybrid_video,HIGH,bundle_checkout,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_069,MWTCB_25ML,MWTCB_ANG_069,MWTCB_25ML__xlsx__BM014,Ambil set beg kerja promo sekarang.,bundle_buy,ready_to_buy,MODERATE,poster_ads,hybrid_video,HIGH,bundle_checkout,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_070,MWTCB_25ML,MWTCB_ANG_070,MWTCB_25ML__xlsx__BM014,Ambil bundle ofis jimat hari ini.,bundle_buy,ready_to_buy,SOFT,poster_ads,hybrid_video,MEDIUM,bundle_checkout,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_071,MWTCB_25ML,MWTCB_ANG_071,MWTCB_25ML__xlsx__BM021,Tap beg kuning dapatkan promo bundle seorang satu.,shop_now,repeat_buyer,BOLD,poster_ads,hybrid_video,MEDIUM,click_beg_kuning,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_072,MWTCB_25ML,MWTCB_ANG_072,MWTCB_25ML__xlsx__BM021,Beli set stok spare hari ini.,bundle_buy,repeat_buyer,MODERATE,poster_ads,hybrid_video,MEDIUM,bundle_checkout,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_073,MWTCB_25ML,MWTCB_ANG_073,MWTCB_25ML__xlsx__BM021,Sauk bundle bilik jimat sekarang.,bundle_buy,repeat_buyer,MODERATE,poster_ads,hybrid_video,HIGH,bundle_checkout,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_074,MWTCB_25ML,MWTCB_ANG_074,MWTCB_25ML__xlsx__BM021,Beli bundle keluarga besar sekarang.,bundle_buy,repeat_buyer,SOFT,poster_ads,hybrid_video,HIGH,bundle_checkout,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_075,MWTCB_25ML,MWTCB_ANG_075,MWTCB_25ML__xlsx__BM021,Tap beg kuning sauk diskaun sekarang.,shop_now,repeat_buyer,BOLD,poster_ads,hybrid_video,HIGH,click_beg_kuning,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_076,MWTCB_25ML,MWTCB_ANG_076,MWTCB_25ML__xlsx__BM036,Beli bundle jimat 3 botol sekarang.,bundle_buy,ready_to_buy,BOLD,poster_ads,hybrid_video,HIGH,bundle_checkout,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_077,MWTCB_25ML,MWTCB_ANG_077,MWTCB_25ML__xlsx__BM036,Dapatkan set dapur selesa.,bundle_buy,ready_to_buy,MODERATE,poster_ads,hybrid_video,MEDIUM,bundle_checkout,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_078,MWTCB_25ML,MWTCB_ANG_078,MWTCB_25ML__xlsx__BM036,Ambil set bundle suami isteri sekarang.,bundle_buy,ready_to_buy,MODERATE,poster_ads,hybrid_video,HIGH,bundle_checkout,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_079,MWTCB_25ML,MWTCB_ANG_079,MWTCB_25ML__xlsx__BM036,Bekalkan anak dengan set asrama jimat.,bundle_buy,ready_to_buy,SOFT,poster_ads,hybrid_video,MEDIUM,bundle_checkout,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_080,MWTCB_25ML,MWTCB_ANG_080,MWTCB_25ML__xlsx__BM036,Borong goodies raya sekarang.,price_check,ready_to_buy,BOLD,poster_ads,hybrid_video,HIGH,view_offer,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_081,MWTCB_25ML,MWTCB_ANG_081,MWTCB_25ML__zip_csv__BM012,Tap Beg Kuning sauk kupon sekarang.,shop_now,repeat_buyer,BOLD,poster_ads,hybrid_video,HIGH,click_beg_kuning,beg,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_082,MWTCB_25ML,MWTCB_ANG_082,MWTCB_25ML__zip_csv__BM012,Ambil bundle cikgu jimat hari ini.,bundle_buy,repeat_buyer,MODERATE,poster_ads,hybrid_video,MEDIUM,bundle_checkout,beg,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_083,MWTCB_25ML,MWTCB_ANG_083,MWTCB_25ML__zip_csv__BM012,Dapatkan promo pemandu Grab sekarang.,price_check,repeat_buyer,BOLD,poster_ads,hybrid_video,HIGH,view_offer,beg,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_084,MWTCB_25ML,MWTCB_ANG_084,MWTCB_25ML__zip_csv__BM012,Hadiahkan set hari ibu hari ini.,bundle_buy,repeat_buyer,SOFT,poster_ads,hybrid_video,MEDIUM,bundle_checkout,beg,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_085,MWTCB_25ML,MWTCB_ANG_085,MWTCB_25ML__zip_csv__BM012,Ambil set kaunter pejabat jimat.,bundle_buy,repeat_buyer,SOFT,poster_ads,hybrid_video,MEDIUM,bundle_checkout,beg,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_086,MWTCB_25ML,MWTCB_ANG_086,MWTCB_25ML__xlsx__BM005,Beli saiz travel mudah simpan sekarang.,price_check,ready_to_buy,BOLD,poster_ads,hybrid_video,HIGH,view_offer,laci,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_087,MWTCB_25ML,MWTCB_ANG_087,MWTCB_25ML__xlsx__BM005,Simpan satu dalam beg makeup sekarang.,price_check,ready_to_buy,MODERATE,poster_ads,hybrid_video,HIGH,view_offer,laci,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_088,MWTCB_25ML,MWTCB_ANG_088,MWTCB_25ML__xlsx__BM006,Beli satu letak dalam laci rumah.,price_check,cold_scroll,BOLD,poster_ads,hybrid_video,MEDIUM,view_offer,laci,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_089,MWTCB_25ML,MWTCB_ANG_089,MWTCB_25ML__xlsx__BM006,Letak satu dalam kereta hari ini.,price_check,cold_scroll,MODERATE,poster_ads,hybrid_video,MEDIUM,view_offer,laci,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_090,MWTCB_25ML,MWTCB_ANG_090,MWTCB_25ML__xlsx__BM035,Standby hero senyap rumah anda.,standby_now,cold_scroll,BOLD,poster_ads,hybrid_video,MEDIUM,prepare_stock,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_091,MWTCB_25ML,MWTCB_ANG_091,MWTCB_25ML__xlsx__BM035,Beli satu untuk tok pergi surau.,price_check,cold_scroll,SOFT,poster_ads,hybrid_video,MEDIUM,view_offer,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_092,MWTCB_25ML,MWTCB_ANG_092,MWTCB_25ML__zip_csv__BM004,Order set bedside malam sekarang.,bundle_buy,ready_to_buy,BOLD,poster_ads,hybrid_video,HIGH,bundle_checkout,beg,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_093,MWTCB_25ML,MWTCB_ANG_093,MWTCB_25ML__zip_csv__BM007,Lengkapkan studio apartment anda hari ini.,price_check,repeat_buyer,MODERATE,poster_ads,hybrid_video,MEDIUM,view_offer,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_094,MWTCB_25ML,MWTCB_ANG_094,MWTCB_25ML__zip_csv__BM016,Beli saiz travel tahan lasak sekarang.,price_check,cold_scroll,AGGRESSIVE,poster_ads,hybrid_video,HIGH,view_offer,kerja,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_095,MWTCB_25ML,MWTCB_ANG_095,MWTCB_25ML__zip_csv__BM016,Tap beg kuning saiz poket jimat.,shop_now,cold_scroll,MODERATE,poster_ads,hybrid_video,MEDIUM,click_beg_kuning,kerja,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_096,MWTCB_25ML,MWTCB_ANG_096,MWTCB_25ML__zip_csv__BM057,Dapatkan set laci kecemasan.,bundle_buy,repeat_buyer,MODERATE,poster_ads,hybrid_video,MEDIUM,bundle_checkout,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_097,MWTCB_25ML,MWTCB_ANG_097,MWTCB_25ML__zip_csv__BM057,Dapatkan ubat dapur standby.,standby_now,repeat_buyer,SOFT,poster_ads,hybrid_video,MEDIUM,prepare_stock,rumah,2026-06-19_part3_6_copy_components,draft
MWTCB_CTA_098,MWTCB_25ML,MWTCB_ANG_098,MWTCB_25ML__zip_csv__BM058,Tap untuk hilangkan kejang tengkuk pejabat.,price_check,ready_to_buy,AGGRESSIVE,poster_ads,hybrid_video,MEDIUM,view_offer,beg,2026-06-19_part3_6_copy_components,draft
