usp_id,product_id,angle_id,motivation_id,usp_text,usp_family,proof_type,visual_proof,buyer_reason,primary_bucket,usage_context,boldness_level,best_content_format,platform_surface_fit,source_batch,usp_status
MWTCB_USP_021,MWTCB_25ML,MWTCB_ANG_011,MWTCB_25ML__xlsx__BM037,Meresap dalam urat untuk longgarkan ketegangan.,Botol 25ml,product-only visual proof,show green liquid,herba pekat tulen,STANDBY_BEFORE_NEED,malam,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_022,MWTCB_25ML,MWTCB_ANG_011,MWTCB_25ML__xlsx__BM037,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,malam,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_023,MWTCB_25ML,MWTCB_ANG_012,MWTCB_25ML__xlsx__BM037,Formula pekat meresap jauh ke dalam sendi.,Botol 25ml,product-only visual proof,show green liquid,herba pekat tulen,STANDBY_BEFORE_NEED,malam,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_024,MWTCB_25ML,MWTCB_ANG_012,MWTCB_25ML__xlsx__BM037,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,malam,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_025,MWTCB_25ML,MWTCB_ANG_013,MWTCB_25ML__xlsx__BM049,Minyak hijau pekat herba asli tradisional.,Minyak hijau tradisi,product-only visual proof,show green liquid,herba pekat tulen,STANDBY_BEFORE_NEED,rumah,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_026,MWTCB_25ML,MWTCB_ANG_013,MWTCB_25ML__xlsx__BM049,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,rumah,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_027,MWTCB_25ML,MWTCB_ANG_014,MWTCB_25ML__xlsx__BM049,Petua asli 1958 yang mak ayah kita sendiri pernah guna.,Sejak 1958,heritage,show vintage logo,petua warisan dipercayai,STANDBY_BEFORE_NEED,rumah,SOFT,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_028,MWTCB_25ML,MWTCB_ANG_014,MWTCB_25ML__xlsx__BM049,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,rumah,SOFT,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_029,MWTCB_25ML,MWTCB_ANG_015,MWTCB_25ML__xlsx__BM049,Formula asli turun-temurun sejak 1958 yang dipercayai.,Sejak 1958,heritage,show vintage logo,petua warisan dipercayai,STANDBY_BEFORE_NEED,rumah,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_030,MWTCB_25ML,MWTCB_ANG_015,MWTCB_25ML__xlsx__BM049,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,rumah,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_031,MWTCB_25ML,MWTCB_ANG_016,MWTCB_25ML__zip_csv__BM001,Formula asli sejak 1958 yang dipercayai turun-temurun.,Sejak 1958,heritage,show vintage logo,petua warisan dipercayai,STANDBY_BEFORE_NEED,malam,AGGRESSIVE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_032,MWTCB_25ML,MWTCB_ANG_016,MWTCB_25ML__zip_csv__BM001,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,malam,AGGRESSIVE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_033,MWTCB_25ML,MWTCB_ANG_017,MWTCB_25ML__zip_csv__BM001,Petua Turun Temurun 1958 warisan lama.,Sejak 1958,heritage,show vintage logo,petua warisan dipercayai,STANDBY_BEFORE_NEED,malam,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_034,MWTCB_25ML,MWTCB_ANG_017,MWTCB_25ML__zip_csv__BM001,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,malam,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_035,MWTCB_25ML,MWTCB_ANG_018,MWTCB_25ML__zip_csv__BM001,Formula lembut turun-temurun dari bahan herba asli.,Botol 25ml,product-only visual proof,show green liquid,herba pekat tulen,STANDBY_BEFORE_NEED,malam,SOFT,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_036,MWTCB_25ML,MWTCB_ANG_018,MWTCB_25ML__zip_csv__BM001,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,malam,SOFT,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_037,MWTCB_25ML,MWTCB_ANG_019,MWTCB_25ML__zip_csv__BM017,Formula urut selamat tradisional pekat herba.,Botol 25ml,product-only visual proof,show green liquid,herba pekat tulen,STANDBY_BEFORE_NEED,malam,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_038,MWTCB_25ML,MWTCB_ANG_019,MWTCB_25ML__zip_csv__BM017,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,malam,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_039,MWTCB_25ML,MWTCB_ANG_020,MWTCB_25ML__zip_csv__BM017,Formula asli tradisional yang meresap pantas ke otot.,Botol 25ml,product-only visual proof,show green liquid,herba pekat tulen,STANDBY_BEFORE_NEED,malam,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_040,MWTCB_25ML,MWTCB_ANG_020,MWTCB_25ML__zip_csv__BM017,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,malam,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_041,MWTCB_25ML,MWTCB_ANG_021,MWTCB_25ML__zip_csv__BM017,Formula asli tradisional herba pekat sejak 1958.,Sejak 1958,heritage,show vintage logo,petua warisan dipercayai,STANDBY_BEFORE_NEED,malam,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_042,MWTCB_25ML,MWTCB_ANG_021,MWTCB_25ML__zip_csv__BM017,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,malam,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_043,MWTCB_25ML,MWTCB_ANG_022,MWTCB_25ML__zip_csv__BM037,Bau herba menyegarkan dan memanaskan perut.,Botol 25ml,product-only visual proof,show green liquid,herba pekat tulen,STANDBY_BEFORE_NEED,malam,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_044,MWTCB_25ML,MWTCB_ANG_022,MWTCB_25ML__zip_csv__BM037,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,malam,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_045,MWTCB_25ML,MWTCB_ANG_023,MWTCB_25ML__zip_csv__BM037,Formula asli tradisional warisan sejak 1958.,Sejak 1958,heritage,show vintage logo,petua warisan dipercayai,STANDBY_BEFORE_NEED,malam,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_046,MWTCB_25ML,MWTCB_ANG_023,MWTCB_25ML__zip_csv__BM037,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,malam,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_047,MWTCB_25ML,MWTCB_ANG_024,MWTCB_25ML__zip_csv__BM056,Minyak hijau pekat herba tradisi asli.,Minyak hijau tradisi,product-only visual proof,show green liquid,herba pekat tulen,STANDBY_BEFORE_NEED,malam,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_048,MWTCB_25ML,MWTCB_ANG_024,MWTCB_25ML__zip_csv__BM056,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,malam,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_049,MWTCB_25ML,MWTCB_ANG_025,MWTCB_25ML__zip_csv__BM056,Herba asli tradisional tanpa bahan kimia merosakkan kulit.,Botol 25ml,product-only visual proof,show green liquid,herba pekat tulen,STANDBY_BEFORE_NEED,malam,SOFT,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_050,MWTCB_25ML,MWTCB_ANG_025,MWTCB_25ML__zip_csv__BM056,Sediaan herba asli tradisional untuk standby keluarga.,Sesuai standby,practical proof,show drawer cabinet placement,persediaan kecemasan keluarga,STANDBY_BEFORE_NEED,malam,SOFT,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_051,MWTCB_25ML,MWTCB_ANG_026,MWTCB_25ML__xlsx__BM003,Formula asli 1958 yang dipercayai bertahun-tahun.,Sejak 1958,heritage,show vintage logo,petua warisan dipercayai,FAMILY_HOME,rumah,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_052,MWTCB_25ML,MWTCB_ANG_026,MWTCB_25ML__xlsx__BM003,Petua turun-temurun sejak 1958 yang dipercayai.,Petua turun-temurun,heritage,show vintage cabinet context,khasiat warisan turun-temurun,FAMILY_HOME,rumah,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_053,MWTCB_25ML,MWTCB_ANG_027,MWTCB_25ML__xlsx__BM003,Cap merah minyak hijau warisan asli 1958.,Sejak 1958,heritage,show vintage logo,petua warisan dipercayai,FAMILY_HOME,rumah,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_054,MWTCB_25ML,MWTCB_ANG_027,MWTCB_25ML__xlsx__BM003,Petua turun-temurun sejak 1958 yang dipercayai.,Petua turun-temurun,heritage,show vintage cabinet context,khasiat warisan turun-temurun,FAMILY_HOME,rumah,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_055,MWTCB_25ML,MWTCB_ANG_028,MWTCB_25ML__xlsx__BM013,Sediakan Cap Burung sejak 1958 dalam laci kecemasan.,Sejak 1958,heritage,show vintage logo,petua warisan dipercayai,FAMILY_HOME,rumah,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_056,MWTCB_25ML,MWTCB_ANG_028,MWTCB_25ML__xlsx__BM013,Petua turun-temurun sejak 1958 yang dipercayai.,Petua turun-temurun,heritage,show vintage cabinet context,khasiat warisan turun-temurun,FAMILY_HOME,rumah,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_057,MWTCB_25ML,MWTCB_ANG_029,MWTCB_25ML__xlsx__BM013,Formula asli herba pekat mudah simpan.,Botol 25ml,product-only visual proof,show green liquid,herba pekat tulen,FAMILY_HOME,rumah,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_058,MWTCB_25ML,MWTCB_ANG_029,MWTCB_25ML__xlsx__BM013,Petua turun-temurun sejak 1958 yang dipercayai.,Petua turun-temurun,heritage,show vintage cabinet context,khasiat warisan turun-temurun,FAMILY_HOME,rumah,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_059,MWTCB_25ML,MWTCB_ANG_030,MWTCB_25ML__xlsx__BM016,Formula herba tradisional asli yang selamat dan berkesan.,Botol 25ml,product-only visual proof,show green liquid,herba pekat tulen,FAMILY_HOME,rumah,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_060,MWTCB_25ML,MWTCB_ANG_030,MWTCB_25ML__xlsx__BM016,Petua turun-temurun sejak 1958 yang dipercayai.,Petua turun-temurun,heritage,show vintage cabinet context,khasiat warisan turun-temurun,FAMILY_HOME,rumah,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_061,MWTCB_25ML,MWTCB_ANG_031,MWTCB_25ML__xlsx__BM016,Petua Turun Temurun 1958 untuk urat tegang.,Sejak 1958,heritage,show vintage logo,petua warisan dipercayai,FAMILY_HOME,rumah,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_062,MWTCB_25ML,MWTCB_ANG_031,MWTCB_25ML__xlsx__BM016,Petua turun-temurun sejak 1958 yang dipercayai.,Petua turun-temurun,heritage,show vintage cabinet context,khasiat warisan turun-temurun,FAMILY_HOME,rumah,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_063,MWTCB_25ML,MWTCB_ANG_032,MWTCB_25ML__xlsx__BM017,Formula Asli Sejak 1958 tradisi tulen.,Sejak 1958,heritage,show vintage logo,petua warisan dipercayai,FAMILY_HOME,rumah,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_064,MWTCB_25ML,MWTCB_ANG_032,MWTCB_25ML__xlsx__BM017,Petua turun-temurun sejak 1958 yang dipercayai.,Petua turun-temurun,heritage,show vintage cabinet context,khasiat warisan turun-temurun,FAMILY_HOME,rumah,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_065,MWTCB_25ML,MWTCB_ANG_033,MWTCB_25ML__xlsx__BM017,Petua warisan lama yang melegakan kebas urat.,Botol 25ml,product-only visual proof,show green liquid,herba pekat tulen,FAMILY_HOME,rumah,SOFT,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_066,MWTCB_25ML,MWTCB_ANG_033,MWTCB_25ML__xlsx__BM017,Petua turun-temurun sejak 1958 yang dipercayai.,Petua turun-temurun,heritage,show vintage cabinet context,khasiat warisan turun-temurun,FAMILY_HOME,rumah,SOFT,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_067,MWTCB_25ML,MWTCB_ANG_034,MWTCB_25ML__xlsx__BM022,Formula herba pekat asli yang dipercayai sejak 1958.,Sejak 1958,heritage,show vintage logo,petua warisan dipercayai,FAMILY_HOME,balik_kampung,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_068,MWTCB_25ML,MWTCB_ANG_034,MWTCB_25ML__xlsx__BM022,Petua turun-temurun sejak 1958 yang dipercayai.,Petua turun-temurun,heritage,show vintage cabinet context,khasiat warisan turun-temurun,FAMILY_HOME,balik_kampung,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_069,MWTCB_25ML,MWTCB_ANG_035,MWTCB_25ML__xlsx__BM022,Formula selamat turun-temurun untuk seisi keluarga.,Botol 25ml,product-only visual proof,show green liquid,herba pekat tulen,FAMILY_HOME,balik_kampung,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_070,MWTCB_25ML,MWTCB_ANG_035,MWTCB_25ML__xlsx__BM022,Petua turun-temurun sejak 1958 yang dipercayai.,Petua turun-temurun,heritage,show vintage cabinet context,khasiat warisan turun-temurun,FAMILY_HOME,balik_kampung,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_071,MWTCB_25ML,MWTCB_ANG_036,MWTCB_25ML__xlsx__BM042,Standby ubat tradisi asli 1958 yang betul-betul melegakan.,Sejak 1958,heritage,show vintage logo,petua warisan dipercayai,FAMILY_HOME,balik_kampung,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_072,MWTCB_25ML,MWTCB_ANG_036,MWTCB_25ML__xlsx__BM042,Petua turun-temurun sejak 1958 yang dipercayai.,Petua turun-temurun,heritage,show vintage cabinet context,khasiat warisan turun-temurun,FAMILY_HOME,balik_kampung,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_073,MWTCB_25ML,MWTCB_ANG_037,MWTCB_25ML__xlsx__BM042,"Bau herba menyegarkan, bukan bau chemical ubat moden.",Botol 25ml,product-only visual proof,show green liquid,herba pekat tulen,FAMILY_HOME,balik_kampung,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_074,MWTCB_25ML,MWTCB_ANG_037,MWTCB_25ML__xlsx__BM042,Petua turun-temurun sejak 1958 yang dipercayai.,Petua turun-temurun,heritage,show vintage cabinet context,khasiat warisan turun-temurun,FAMILY_HOME,balik_kampung,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_075,MWTCB_25ML,MWTCB_ANG_038,MWTCB_25ML__zip_csv__BM003,Botol kaca hijau retro dengan cap merah tradisi.,Minyak hijau tradisi,product-only visual proof,show green liquid,herba pekat tulen,FAMILY_HOME,balik_kampung,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_076,MWTCB_25ML,MWTCB_ANG_038,MWTCB_25ML__zip_csv__BM003,Petua turun-temurun sejak 1958 yang dipercayai.,Petua turun-temurun,heritage,show vintage cabinet context,khasiat warisan turun-temurun,FAMILY_HOME,balik_kampung,BOLD,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_077,MWTCB_25ML,MWTCB_ANG_039,MWTCB_25ML__zip_csv__BM003,Bau herba aromatik warisan asli yang disukai jemaah.,Botol 25ml,product-only visual proof,show green liquid,herba pekat tulen,FAMILY_HOME,balik_kampung,SOFT,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_078,MWTCB_25ML,MWTCB_ANG_039,MWTCB_25ML__zip_csv__BM003,Petua turun-temurun sejak 1958 yang dipercayai.,Petua turun-temurun,heritage,show vintage cabinet context,khasiat warisan turun-temurun,FAMILY_HOME,balik_kampung,SOFT,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_079,MWTCB_25ML,MWTCB_ANG_040,MWTCB_25ML__zip_csv__BM014,Petua Turun Temurun 1958 yang dipercayai generasi lama.,Sejak 1958,heritage,show vintage logo,petua warisan dipercayai,FAMILY_HOME,balik_kampung,AGGRESSIVE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_080,MWTCB_25ML,MWTCB_ANG_040,MWTCB_25ML__zip_csv__BM014,Petua turun-temurun sejak 1958 yang dipercayai.,Petua turun-temurun,heritage,show vintage cabinet context,khasiat warisan turun-temurun,FAMILY_HOME,balik_kampung,AGGRESSIVE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_081,MWTCB_25ML,MWTCB_ANG_041,MWTCB_25ML__zip_csv__BM014,Meresap dalam urat untuk melegakan semut-semut.,Botol 25ml,product-only visual proof,show green liquid,herba pekat tulen,FAMILY_HOME,balik_kampung,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
MWTCB_USP_082,MWTCB_25ML,MWTCB_ANG_041,MWTCB_25ML__zip_csv__BM014,Petua turun-temurun sejak 1958 yang dipercayai.,Petua turun-temurun,heritage,show vintage cabinet context,khasiat warisan turun-temurun,FAMILY_HOME,balik_kampung,MODERATE,hybrid_video,poster_ads,2026-06-19_part3_6_copy_components,draft
