subhook_id,product_id,hook_id,angle_id,motivation_id,subhook_text,subhook_role,boldness_level,buyer_stage,persona_fit,primary_bucket,usage_context,sales_mechanism,proof_direction,visual_support,source_batch,subhook_status
MWTCB_SUBHOOK_017,MWTCB_25ML,MWTCB_HOOK_017,MWTCB_ANG_006,MWTCB_25ML__xlsx__BM002,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan lenguh kejang kaki.,trust cue,AGGRESSIVE,warm_interest,universal_household,STANDBY_BEFORE_NEED,laci,fear_of_not_having,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_018,MWTCB_25ML,MWTCB_HOOK_018,MWTCB_ANG_006,MWTCB_25ML__xlsx__BM002,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,AGGRESSIVE,warm_interest,universal_household,STANDBY_BEFORE_NEED,laci,fear_of_not_having,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_019,MWTCB_25ML,MWTCB_HOOK_019,MWTCB_ANG_007,MWTCB_25ML__xlsx__BM015,Minyak Cap Burung ni patut ada sebelum perut mula memulas.,situation reason,AGGRESSIVE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,before_need_preparation,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_020,MWTCB_25ML,MWTCB_HOOK_020,MWTCB_ANG_007,MWTCB_25ML__xlsx__BM015,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan perut senak berangin.,trust cue,AGGRESSIVE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,before_need_preparation,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_021,MWTCB_25ML,MWTCB_HOOK_021,MWTCB_ANG_007,MWTCB_25ML__xlsx__BM015,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,AGGRESSIVE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,before_need_preparation,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_022,MWTCB_25ML,MWTCB_HOOK_022,MWTCB_ANG_008,MWTCB_25ML__xlsx__BM015,Lengkapkan ubat standby rumah dengan formula asli 1958.,standby cue,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,before_need_preparation,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_023,MWTCB_25ML,MWTCB_HOOK_023,MWTCB_ANG_008,MWTCB_25ML__xlsx__BM015,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan lenguh-lenguh-badan.,trust cue,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,before_need_preparation,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_024,MWTCB_25ML,MWTCB_HOOK_024,MWTCB_ANG_008,MWTCB_25ML__xlsx__BM015,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,before_need_preparation,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_025,MWTCB_25ML,MWTCB_HOOK_025,MWTCB_ANG_009,MWTCB_25ML__xlsx__BM015,Simpan sebotol Cap Burung di tempat yang semua orang rumah mudah cari.,situation reason,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,before_need_preparation,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_026,MWTCB_25ML,MWTCB_HOOK_026,MWTCB_ANG_009,MWTCB_25ML__xlsx__BM015,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan lenguh-lenguh-badan.,trust cue,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,before_need_preparation,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_027,MWTCB_25ML,MWTCB_HOOK_027,MWTCB_ANG_009,MWTCB_25ML__xlsx__BM015,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,before_need_preparation,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_028,MWTCB_25ML,MWTCB_HOOK_028,MWTCB_ANG_010,MWTCB_25ML__xlsx__BM037,Sapu herba asli cap burung sebelum tidur untuk hangatkan urat sendi.,situation reason,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,malam,fear_of_not_having,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_029,MWTCB_25ML,MWTCB_HOOK_029,MWTCB_ANG_010,MWTCB_25ML__xlsx__BM037,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan lenguh sendi orang tua.,trust cue,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,malam,fear_of_not_having,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_030,MWTCB_25ML,MWTCB_HOOK_030,MWTCB_ANG_010,MWTCB_25ML__xlsx__BM037,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,malam,fear_of_not_having,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_031,MWTCB_25ML,MWTCB_HOOK_031,MWTCB_ANG_011,MWTCB_25ML__xlsx__BM037,Urut lembut dengan minyak hijau pekat herba asli.,situation reason,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,malam,fear_of_not_having,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_032,MWTCB_25ML,MWTCB_HOOK_032,MWTCB_ANG_011,MWTCB_25ML__xlsx__BM037,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan tengkuk kaku salah bantal.,trust cue,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,malam,fear_of_not_having,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_033,MWTCB_25ML,MWTCB_HOOK_033,MWTCB_ANG_011,MWTCB_25ML__xlsx__BM037,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,malam,fear_of_not_having,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_034,MWTCB_25ML,MWTCB_HOOK_034,MWTCB_ANG_012,MWTCB_25ML__xlsx__BM037,"Tonyoh dengan minyak cap burung, biar kehangatan herba asli meluruskan otot.",situation reason,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,malam,fear_of_not_having,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_035,MWTCB_25ML,MWTCB_HOOK_035,MWTCB_ANG_012,MWTCB_25ML__xlsx__BM037,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan terseliuh ringan.,trust cue,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,malam,fear_of_not_having,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_036,MWTCB_25ML,MWTCB_HOOK_036,MWTCB_ANG_012,MWTCB_25ML__xlsx__BM037,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,MODERATE,cold_scroll,universal_household,STANDBY_BEFORE_NEED,malam,fear_of_not_having,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_037,MWTCB_25ML,MWTCB_HOOK_037,MWTCB_ANG_013,MWTCB_25ML__xlsx__BM049,"Gosok membulat dengan minyak cap burung, kejap lagi confirm sendawa puas.",situation reason,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,fear_of_not_having,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_038,MWTCB_25ML,MWTCB_HOOK_038,MWTCB_ANG_013,MWTCB_25ML__xlsx__BM049,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan perut senak berangin.,trust cue,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,fear_of_not_having,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_039,MWTCB_25ML,MWTCB_HOOK_039,MWTCB_ANG_013,MWTCB_25ML__xlsx__BM049,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,fear_of_not_having,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_040,MWTCB_25ML,MWTCB_HOOK_040,MWTCB_ANG_014,MWTCB_25ML__xlsx__BM049,Formula asli warisan tradisional yang selamat untuk kegunaan keluarga.,situation reason,SOFT,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,fear_of_not_having,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_041,MWTCB_25ML,MWTCB_HOOK_041,MWTCB_ANG_014,MWTCB_25ML__xlsx__BM049,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan perut kembung anak.,trust cue,SOFT,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,fear_of_not_having,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_042,MWTCB_25ML,MWTCB_HOOK_042,MWTCB_ANG_014,MWTCB_25ML__xlsx__BM049,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,SOFT,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,fear_of_not_having,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_043,MWTCB_25ML,MWTCB_HOOK_043,MWTCB_ANG_015,MWTCB_25ML__xlsx__BM049,Sapu membulat minyak cap burung herba asli di perut melegakan senak.,situation reason,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,fear_of_not_having,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_044,MWTCB_25ML,MWTCB_HOOK_044,MWTCB_ANG_015,MWTCB_25ML__xlsx__BM049,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan perut senak berangin.,trust cue,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,fear_of_not_having,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_045,MWTCB_25ML,MWTCB_HOOK_045,MWTCB_ANG_015,MWTCB_25ML__xlsx__BM049,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,BOLD,cold_scroll,universal_household,STANDBY_BEFORE_NEED,rumah,fear_of_not_having,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_046,MWTCB_25ML,MWTCB_HOOK_046,MWTCB_ANG_016,MWTCB_25ML__zip_csv__BM001,Jangan tunggu anak melalak baru nak geledah almari. Sapu siap-siap.,situation reason,AGGRESSIVE,ready_to_buy,mak_mak,STANDBY_BEFORE_NEED,malam,fear_of_not_having,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_047,MWTCB_25ML,MWTCB_HOOK_047,MWTCB_ANG_016,MWTCB_25ML__zip_csv__BM001,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan perut kembung anak.,trust cue,AGGRESSIVE,ready_to_buy,mak_mak,STANDBY_BEFORE_NEED,malam,fear_of_not_having,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_048,MWTCB_25ML,MWTCB_HOOK_048,MWTCB_ANG_016,MWTCB_25ML__zip_csv__BM001,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,AGGRESSIVE,ready_to_buy,mak_mak,STANDBY_BEFORE_NEED,malam,fear_of_not_having,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_049,MWTCB_25ML,MWTCB_HOOK_049,MWTCB_ANG_017,MWTCB_25ML__zip_csv__BM001,"Bagi dia minyak hijau cap burung. Sekali tonyoh, urat tegang terus lembut.",situation reason,MODERATE,ready_to_buy,mak_mak,STANDBY_BEFORE_NEED,malam,fear_of_not_having,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_050,MWTCB_25ML,MWTCB_HOOK_050,MWTCB_ANG_017,MWTCB_25ML__zip_csv__BM001,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan kebas-kebas kaki tangan.,trust cue,MODERATE,ready_to_buy,mak_mak,STANDBY_BEFORE_NEED,malam,fear_of_not_having,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_051,MWTCB_25ML,MWTCB_HOOK_051,MWTCB_ANG_017,MWTCB_25ML__zip_csv__BM001,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,MODERATE,ready_to_buy,mak_mak,STANDBY_BEFORE_NEED,malam,fear_of_not_having,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_052,MWTCB_25ML,MWTCB_HOOK_052,MWTCB_ANG_018,MWTCB_25ML__zip_csv__BM001,Sapu nipis minyak cap burung di dada untuk kehangatan herba asli semula jadi.,situation reason,SOFT,ready_to_buy,mak_mak,STANDBY_BEFORE_NEED,malam,fear_of_not_having,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_053,MWTCB_25ML,MWTCB_HOOK_053,MWTCB_ANG_018,MWTCB_25ML__zip_csv__BM001,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan selesema anak.,trust cue,SOFT,ready_to_buy,mak_mak,STANDBY_BEFORE_NEED,malam,fear_of_not_having,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_054,MWTCB_25ML,MWTCB_HOOK_054,MWTCB_ANG_018,MWTCB_25ML__zip_csv__BM001,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,SOFT,ready_to_buy,mak_mak,STANDBY_BEFORE_NEED,malam,fear_of_not_having,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_055,MWTCB_25ML,MWTCB_HOOK_055,MWTCB_ANG_019,MWTCB_25ML__zip_csv__BM017,Sediakan minyak Cap Burung tepi katil untuk sapuan kecemasan pantas.,situation reason,BOLD,warm_interest,mak_mak,STANDBY_BEFORE_NEED,malam,fear_of_not_having,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_056,MWTCB_25ML,MWTCB_HOOK_056,MWTCB_ANG_019,MWTCB_25ML__zip_csv__BM017,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan lenguh kejang kaki.,trust cue,BOLD,warm_interest,mak_mak,STANDBY_BEFORE_NEED,malam,fear_of_not_having,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_057,MWTCB_25ML,MWTCB_HOOK_057,MWTCB_ANG_019,MWTCB_25ML__zip_csv__BM017,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,BOLD,warm_interest,mak_mak,STANDBY_BEFORE_NEED,malam,fear_of_not_having,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_058,MWTCB_25ML,MWTCB_HOOK_058,MWTCB_ANG_020,MWTCB_25ML__zip_csv__BM017,Urut segera dengan herba pekat minyak cap burung untuk longgarkan urat.,situation reason,BOLD,warm_interest,mak_mak,STANDBY_BEFORE_NEED,malam,fear_of_not_having,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_059,MWTCB_25ML,MWTCB_HOOK_059,MWTCB_ANG_020,MWTCB_25ML__zip_csv__BM017,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan terseliuh ringan.,trust cue,BOLD,warm_interest,mak_mak,STANDBY_BEFORE_NEED,malam,fear_of_not_having,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_060,MWTCB_25ML,MWTCB_HOOK_060,MWTCB_ANG_020,MWTCB_25ML__zip_csv__BM017,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,BOLD,warm_interest,mak_mak,STANDBY_BEFORE_NEED,malam,fear_of_not_having,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_061,MWTCB_25ML,MWTCB_HOOK_061,MWTCB_ANG_021,MWTCB_25ML__zip_csv__BM017,"Sediakan Cap Burung dalam poket pintu, sapu hangat melonggarkan sendi urat.",situation reason,BOLD,warm_interest,mak_mak,STANDBY_BEFORE_NEED,malam,fear_of_not_having,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_062,MWTCB_25ML,MWTCB_HOOK_062,MWTCB_ANG_021,MWTCB_25ML__zip_csv__BM017,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan lenguh kejang kaki.,trust cue,BOLD,warm_interest,mak_mak,STANDBY_BEFORE_NEED,malam,fear_of_not_having,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_063,MWTCB_25ML,MWTCB_HOOK_063,MWTCB_ANG_021,MWTCB_25ML__zip_csv__BM017,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,BOLD,warm_interest,mak_mak,STANDBY_BEFORE_NEED,malam,fear_of_not_having,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_064,MWTCB_25ML,MWTCB_HOOK_064,MWTCB_ANG_022,MWTCB_25ML__zip_csv__BM037,Urut membulat minyak cap burung dekat ulu hati untuk buang angin senak.,situation reason,BOLD,ready_to_buy,universal_household,STANDBY_BEFORE_NEED,malam,household_readiness,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_065,MWTCB_25ML,MWTCB_HOOK_065,MWTCB_ANG_022,MWTCB_25ML__zip_csv__BM037,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan perut senak berangin.,trust cue,BOLD,ready_to_buy,universal_household,STANDBY_BEFORE_NEED,malam,household_readiness,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_066,MWTCB_25ML,MWTCB_HOOK_066,MWTCB_ANG_022,MWTCB_25ML__zip_csv__BM037,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,BOLD,ready_to_buy,universal_household,STANDBY_BEFORE_NEED,malam,household_readiness,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_067,MWTCB_25ML,MWTCB_HOOK_067,MWTCB_ANG_023,MWTCB_25ML__zip_csv__BM037,Sapu minyak urut cap burung untuk rawat otot sendi yang cedera ringan.,situation reason,MODERATE,ready_to_buy,universal_household,STANDBY_BEFORE_NEED,malam,household_readiness,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_068,MWTCB_25ML,MWTCB_HOOK_068,MWTCB_ANG_023,MWTCB_25ML__zip_csv__BM037,Minyak Cap Burung dengan formula herba asli 1958 untuk melegakan terseliuh ringan.,trust cue,MODERATE,ready_to_buy,universal_household,STANDBY_BEFORE_NEED,malam,household_readiness,heritage proof,close up of retro label,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_069,MWTCB_25ML,MWTCB_HOOK_069,MWTCB_ANG_023,MWTCB_25ML__zip_csv__BM037,Sebab tu kena standby botol kecil 25ml ni dekat dalam laci kecemasan rumah.,storage cue,MODERATE,ready_to_buy,universal_household,STANDBY_BEFORE_NEED,malam,household_readiness,practical proof,show pocket/glove box fit,2026-06-19_part3_6_copy_components,draft
MWTCB_SUBHOOK_070,MWTCB_25ML,MWTCB_HOOK_070,MWTCB_ANG_024,MWTCB_25ML__zip_csv__BM056,Gosok minyak Cap Burung sebelum tidur dan sejurus bangun pagi untuk melembutkan urat.,situation reason,BOLD,warm_interest,anak_beli_untuk_parent,STANDBY_BEFORE_NEED,malam,fear_of_not_having,situation match,show bottle placement in drawer/bag,2026-06-19_part3_6_copy_components,draft
