motivation_classification_row_id,product_id,source_motivation_id,source_motivation_id_raw,motivation_batch_key,buyer_motivation_row_id,source_file,source_sheet,source_batch,import_version,source_sequence,primary_bucket,secondary_bucket,buyer_stage,persona_fit,boldness_level,usage_context,sales_mechanism,best_content_format,best_platform_surface,bundle_potential,repeat_purchase_potential,strongest_hook_from_this_motivation,expansion_priority,notes_for_angle_generation
MWTCB_25ML__xlsx__BM011,MWTCB_25ML,BM011,BM011,2026-06-19_xlsx__BM011,MWTCB_25ML__xlsx__BM011,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,11,NOSTALGIA_TRUST,TIKTOK_CURIOSITY,cold_scroll,nostalgia_buyer,BOLD,rumah,nostalgia_trust,UGC_talking_head,TikTok_Shop_video,MEDIUM,HIGH,Bukan semua benda viral boleh dipercayai.,HIGH,Anti-hype angle. Strong against generic viral oils/products.
MWTCB_25ML__xlsx__BM012,MWTCB_25ML,BM012,BM012,2026-06-19_xlsx__BM012,MWTCB_25ML__xlsx__BM012,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,12,VISUAL_RECOGNITION,TIKTOK_CURIOSITY,cold_scroll,impulse_tiktok_buyer,BOLD,rumah,visual_recognition,product_only_video,TikTok_Shop_video,MEDIUM,MEDIUM,"Cap merah, minyak hijau — sekali lalu pun mata berhenti.",HIGH,"Great product-only asset. Expand into visual stop-scroll, object recognition."
MWTCB_25ML__xlsx__BM013,MWTCB_25ML,BM013,BM013,2026-06-19_xlsx__BM013,MWTCB_25ML__xlsx__BM013,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,13,FAMILY_HOME,STANDBY_BEFORE_NEED,cold_scroll,family_home_buyer,BOLD,rumah,household_readiness,poster_ad,poster_ads,MEDIUM,MEDIUM,Rumah cantik tak guna kalau benda basic pun tak ada.,HIGH,Sharp home-completeness angle. Works for poster and TikTok hook overlay.
MWTCB_25ML__xlsx__BM014,MWTCB_25ML,BM014,BM014,2026-06-19_xlsx__BM014,MWTCB_25ML__xlsx__BM014,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,14,MULTI_BUY,TRAVEL_CAR_BAG,ready_to_buy,universal_household,BOLD,rumah,multi_location_logic,carousel,TikTok_Shop_video,HIGH,HIGH,Satu botol memang tak cukup kalau kau selalu bergerak.,HIGH,"Core bundle mechanic. Expand into 3-bottle logic: rumah, kereta, beg."
MWTCB_25ML__xlsx__BM015,MWTCB_25ML,BM015,BM015,2026-06-19_xlsx__BM015,MWTCB_25ML__xlsx__BM015,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,15,STANDBY_BEFORE_NEED,MULTI_BUY,cold_scroll,universal_household,BOLD,rumah,before_need_preparation,poster_ad,poster_ads,HIGH,HIGH,Jangan tunggu perlu baru cari.,HIGH,"Core conversion angle. Can power ads, posters, live pin, product page."
MWTCB_25ML__xlsx__BM016,MWTCB_25ML,BM016,BM016,2026-06-19_xlsx__BM016,MWTCB_25ML__xlsx__BM016,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,16,FAMILY_HOME,PRACTICAL_STORAGE,cold_scroll,universal_household,MODERATE,rumah,household_readiness,UGC_talking_head,TikTok_Shop_video,MEDIUM,HIGH,Botol kecil ni jenis hero senyap dalam rumah.,HIGH,Good emotional utility angle. Expand into “tak nampak penting sampai perlu”.
MWTCB_25ML__xlsx__BM017,MWTCB_25ML,BM017,BM017,2026-06-19_xlsx__BM017,MWTCB_25ML__xlsx__BM017,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,17,FAMILY_HOME,PERSONA_SPECIFIC,warm_interest,family_home_buyer,MODERATE,rumah,family_responsibility,POV_scene,TikTok_Shop_video,HIGH,HIGH,Dalam rumah mesti ada satu barang yang semua orang cari bila tak selesa.,HIGH,"Family situation angle. Good for “ayah cari, mak cari, anak cari” montage."
MWTCB_25ML__xlsx__BM018,MWTCB_25ML,BM018,BM018,2026-06-19_xlsx__BM018,MWTCB_25ML__xlsx__BM018,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,18,NOSTALGIA_TRUST,FAMILY_HOME,cold_scroll,nostalgia_buyer,BOLD,rumah,nostalgia_trust,product_only_video,TikTok_Shop_video,MEDIUM,MEDIUM,"Kalau kau pernah buka almari rumah tok, kau tahu vibe ni.",HIGH,"Emotional stop-scroll. Expand with visual rumah tok, almari lama, kampung memory."
MWTCB_25ML__xlsx__BM019,MWTCB_25ML,BM019,BM019,2026-06-19_xlsx__BM019,MWTCB_25ML__xlsx__BM019,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,19,TIKTOK_CURIOSITY,VISUAL_RECOGNITION,cold_scroll,impulse_tiktok_buyer,BOLD,rumah,visual_recognition,product_only_video,TikTok_Shop_video,MEDIUM,LOW,"Tengah scroll TikTok, tiba-tiba nampak minyak macam dari almari tok.",HIGH,Excellent for TikTok product-only and curiosity openers.
MWTCB_25ML__xlsx__BM020,MWTCB_25ML,BM020,BM020,2026-06-19_xlsx__BM020,MWTCB_25ML__xlsx__BM020,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,20,TIKTOK_CURIOSITY,PRACTICAL_STORAGE,ready_to_buy,impulse_tiktok_buyer,MODERATE,rumah,impulse_low_friction,product_only_video,TikTok_Shop_video,MEDIUM,MEDIUM,Benda kecil macam ni memang bahaya — senang sangat masuk cart.,HIGH,"Impulse buying angle. Pair with price check, small size, cart filler."
MWTCB_25ML__xlsx__BM021,MWTCB_25ML,BM021,BM021,2026-06-19_xlsx__BM021,MWTCB_25ML__xlsx__BM021,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,21,MULTI_BUY,FAMILY_HOME,repeat_buyer,family_home_buyer,BOLD,rumah,multi_location_logic,poster_ad,TikTok_live_pin,HIGH,HIGH,"Bila satu rumah pakai, satu botol boleh hilang sekelip mata.",HIGH,Strong for repeat purchase and live selling. Push spare bottle logic.
MWTCB_25ML__xlsx__BM022,MWTCB_25ML,BM022,BM022,2026-06-19_xlsx__BM022,MWTCB_25ML__xlsx__BM022,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,22,FAMILY_HOME,NOSTALGIA_TRUST,gift_buyer,anak_beli_untuk_parent,MODERATE,balik_kampung,gift_utility,UGC_talking_head,TikTok_Shop_video,HIGH,MEDIUM,Nak belikan mak ayah sesuatu? Jangan asyik beli benda hiasan.,HIGH,Parent gifting angle. Expand into practical kasih sayang.
MWTCB_25ML__xlsx__BM023,MWTCB_25ML,BM023,BM023,2026-06-19_xlsx__BM023,MWTCB_25ML__xlsx__BM023,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,23,PERSONA_SPECIFIC,FAMILY_HOME,warm_interest,family_home_buyer,BOLD,rumah,family_responsibility,POV_scene,TikTok_Shop_video,MEDIUM,MEDIUM,"Bila rumah kecoh cari minyak, jangan jadi orang yang cuma tanya ‘mana letak?’",MEDIUM,Good spouse/responsibility angle. Use sparingly; strong but narrower.
MWTCB_25ML__xlsx__BM024,MWTCB_25ML,BM024,BM024,2026-06-19_xlsx__BM024,MWTCB_25ML__xlsx__BM024,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,24,PERSONA_SPECIFIC,STANDBY_BEFORE_NEED,cold_scroll,lelaki_bekerja,BOLD,kerja,practical_convenience,UGC_talking_head,TikTok_Shop_video,MEDIUM,MEDIUM,Balik kerja badan rasa macam kena hempap hari Isnin?,HIGH,"Strong worker pain hook. Expand for lelaki bekerja, office worker, retail worker."
MWTCB_25ML__xlsx__BM025,MWTCB_25ML,BM025,BM025,2026-06-19_xlsx__BM025,MWTCB_25ML__xlsx__BM025,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,25,TRAVEL_CAR_BAG,PERSONA_SPECIFIC,warm_interest,driver_travel,BOLD,kereta,practical_convenience,POV_scene,TikTok_Shop_video,HIGH,MEDIUM,"Kalau hidup kau banyak dalam kereta, minyak standby bukan optional.",HIGH,Strong driver niche. Good for Grab/driver/salesman/road warrior creative.
MWTCB_25ML__xlsx__BM026,MWTCB_25ML,BM026,BM026,2026-06-19_xlsx__BM026,MWTCB_25ML__xlsx__BM026,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,26,PERSONA_SPECIFIC,FAMILY_HOME,cold_scroll,mak_mak,BOLD,rumah,family_responsibility,UGC_talking_head,TikTok_Shop_video,HIGH,HIGH,Mak-mak tahu — benda kecil boleh jadi drama kalau tak standby.,HIGH,One of the best UGC lanes. Expand into “mak tak ada masa nak panik”.
MWTCB_25ML__xlsx__BM027,MWTCB_25ML,BM027,BM027,2026-06-19_xlsx__BM027,MWTCB_25ML__xlsx__BM027,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,27,PERSONA_SPECIFIC,PRACTICAL_STORAGE,cold_scroll,lelaki_bekerja,MODERATE,kerja,practical_convenience,UGC_talking_head,TikTok_Shop_video,MEDIUM,LOW,"Beg kerja penuh charger, tapi benda untuk badan sendiri tak ada?",MEDIUM,Useful but narrower. Works for office bag/work pouch content.
MWTCB_25ML__xlsx__BM028,MWTCB_25ML,BM028,BM028,2026-06-19_xlsx__BM028,MWTCB_25ML__xlsx__BM028,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,28,FAMILY_HOME,PRACTICAL_STORAGE,warm_interest,family_home_buyer,BOLD,rak,household_readiness,poster_ad,poster_ads,MEDIUM,MEDIUM,"Rak rumah nampak penuh, tapi minyak standby tak ada?",MEDIUM,Good poster copy. Expand into “nampak lengkap vs betul-betul lengkap”.
MWTCB_25ML__xlsx__BM029,MWTCB_25ML,BM029,BM029,2026-06-19_xlsx__BM029,MWTCB_25ML__xlsx__BM029,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,29,NOSTALGIA_TRUST,VISUAL_RECOGNITION,cold_scroll,nostalgia_buyer,MODERATE,rumah,nostalgia_trust,product_only_video,TikTok_Shop_video,MEDIUM,MEDIUM,Ada produk yang tak perlu explain — tengok label pun terus teringat rumah lama.,MEDIUM,Good visual nostalgia but may overlap BM018. Keep as support angle.
MWTCB_25ML__xlsx__BM030,MWTCB_25ML,BM030,BM030,2026-06-19_xlsx__BM030,MWTCB_25ML__xlsx__BM030,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,30,NOSTALGIA_TRUST,VISUAL_RECOGNITION,cold_scroll,universal_household,BOLD,rumah,nostalgia_trust,poster_ad,product_page_asset,MEDIUM,HIGH,Produk random boleh viral seminggu. Yang bertahan sejak 1958 lain cerita.,HIGH,Top trust proof. Build many ads around “bukan baru nak up”.
MWTCB_25ML__xlsx__BM031,MWTCB_25ML,BM031,BM031,2026-06-19_xlsx__BM031,MWTCB_25ML__xlsx__BM031,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,31,NOSTALGIA_TRUST,FAMILY_HOME,warm_interest,nostalgia_buyer,BOLD,rumah,nostalgia_trust,UGC_talking_head,TikTok_Shop_video,MEDIUM,HIGH,Petua orang lama jangan cepat sangat kau buang.,HIGH,Cultural trust angle. Strong Malay-market emotional driver.
MWTCB_25ML__xlsx__BM032,MWTCB_25ML,BM032,BM032,2026-06-19_xlsx__BM032,MWTCB_25ML__xlsx__BM032,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,32,NOSTALGIA_TRUST,VISUAL_RECOGNITION,warm_interest,nostalgia_buyer,MODERATE,rumah,nostalgia_trust,product_only_video,product_page_asset,LOW,MEDIUM,"Kalau nak minyak tradisional, cari yang rasa betul-betul tradisional.",MEDIUM,"Good product page proof chip, less strong as main hook."
MWTCB_25ML__xlsx__BM033,MWTCB_25ML,BM033,BM033,2026-06-19_xlsx__BM033,MWTCB_25ML__xlsx__BM033,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,33,VISUAL_RECOGNITION,TIKTOK_CURIOSITY,cold_scroll,impulse_tiktok_buyer,MODERATE,rumah,visual_recognition,product_only_video,TikTok_Shop_video,LOW,MEDIUM,Ingat satu benda je — Cap Burung.,MEDIUM,"Good memory device. Use for branding, not main conversion angle."
MWTCB_25ML__xlsx__BM034,MWTCB_25ML,BM034,BM034,2026-06-19_xlsx__BM034,MWTCB_25ML__xlsx__BM034,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,34,VISUAL_RECOGNITION,NOSTALGIA_TRUST,cold_scroll,nostalgia_buyer,MODERATE,rumah,visual_recognition,product_only_video,product_page_asset,LOW,LOW,Botol kaca hijau ni bukan vibe produk random kilang semalam.,MEDIUM,Nice aesthetic proof. Use in product-only closeup; not strongest sales engine.
MWTCB_25ML__xlsx__BM035,MWTCB_25ML,BM035,BM035,2026-06-19_xlsx__BM035,MWTCB_25ML__xlsx__BM035,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,35,PRACTICAL_STORAGE,STANDBY_BEFORE_NEED,cold_scroll,universal_household,BOLD,rumah,practical_convenience,UGC_talking_head,TikTok_Shop_video,MEDIUM,MEDIUM,Produk macam ni bukan untuk show off. Dia untuk ada bila perlu.,HIGH,"Strong anti-vanity angle. Very TikTok-native, practical, direct."
MWTCB_25ML__xlsx__BM036,MWTCB_25ML,BM036,BM036,2026-06-19_xlsx__BM036,MWTCB_25ML__xlsx__BM036,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,36,MULTI_BUY,FAMILY_HOME,ready_to_buy,family_home_buyer,BOLD,rumah,multi_location_logic,poster_ad,TikTok_live_pin,HIGH,HIGH,"Dalam rumah, minyak macam ni kalau ada satu memang cepat lesap.",HIGH,Bundle and repeat monster. Expand into “satu tak cukup”.
MWTCB_25ML__xlsx__BM037,MWTCB_25ML,BM037,BM037,2026-06-19_xlsx__BM037,MWTCB_25ML__xlsx__BM037,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,37,STANDBY_BEFORE_NEED,SEASONAL_CONTEXT,cold_scroll,universal_household,AGGRESSIVE,malam,fear_of_not_having,POV_scene,TikTok_Shop_video,MEDIUM,MEDIUM,"Bila perlu waktu malam, minyak pula tak ada.",HIGH,High tension. Great for fear-of-not-having ads.
MWTCB_25ML__xlsx__BM038,MWTCB_25ML,BM038,BM038,2026-06-19_xlsx__BM038,MWTCB_25ML__xlsx__BM038,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,38,STANDBY_BEFORE_NEED,FAMILY_HOME,cold_scroll,family_home_buyer,BOLD,rumah,household_readiness,poster_ad,poster_ads,MEDIUM,MEDIUM,Takkan minyak standby pun nak pinjam jiran?,MEDIUM,Sharp shame hook. Good but use selectively to avoid overuse.
MWTCB_25ML__xlsx__BM039,MWTCB_25ML,BM039,BM039,2026-06-19_xlsx__BM039,MWTCB_25ML__xlsx__BM039,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,39,FAMILY_HOME,SEASONAL_CONTEXT,warm_interest,family_home_buyer,MODERATE,open_house,family_responsibility,poster_ad,WhatsApp_blast,MEDIUM,MEDIUM,Rumah yang selalu ada orang datang kena ada minyak standby.,MEDIUM,Good for open house/festive season. Park until seasonal campaign.
MWTCB_25ML__xlsx__BM040,MWTCB_25ML,BM040,BM040,2026-06-19_xlsx__BM040,MWTCB_25ML__xlsx__BM040,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,40,SEASONAL_CONTEXT,STANDBY_BEFORE_NEED,cold_scroll,universal_household,MODERATE,rumah,before_need_preparation,POV_scene,TikTok_Shop_video,MEDIUM,MEDIUM,"Hari hujan, badan mula lemau, baru tangan cari minyak.",MEDIUM,Weather mood angle. Seasonal/monsoon content.
MWTCB_25ML__xlsx__BM041,MWTCB_25ML,BM041,BM041,2026-06-19_xlsx__BM041,MWTCB_25ML__xlsx__BM041,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,41,PERSONA_SPECIFIC,PRACTICAL_STORAGE,warm_interest,lelaki_bekerja,MODERATE,kerja,practical_convenience,UGC_talking_head,TikTok_Shop_video,LOW,MEDIUM,"Lepas aktiviti, jangan biar badan merajuk sampai esok.",LOW,"Can work, but risk generic. Needs specific scene to avoid becoming bland."
MWTCB_25ML__xlsx__BM042,MWTCB_25ML,BM042,BM042,2026-06-19_xlsx__BM042,MWTCB_25ML__xlsx__BM042,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,42,FAMILY_HOME,NOSTALGIA_TRUST,gift_buyer,anak_beli_untuk_parent,MODERATE,balik_kampung,gift_utility,UGC_talking_head,TikTok_Shop_video,HIGH,MEDIUM,"Beli untuk orang tua, jangan pilih benda yang nampak pelik sangat.",HIGH,Strong parent gifting + familiarity. Expand with mak ayah trust.
MWTCB_25ML__xlsx__BM043,MWTCB_25ML,BM043,BM043,2026-06-19_xlsx__BM043,MWTCB_25ML__xlsx__BM043,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,43,VISUAL_RECOGNITION,TIKTOK_CURIOSITY,cold_scroll,impulse_tiktok_buyer,BOLD,rumah,visual_recognition,product_only_video,TikTok_Shop_video,LOW,MEDIUM,Produk copycat banyak. Yang ada identiti jelas senang diingat.,MEDIUM,"Differentiation angle. Good for branding, secondary conversion."
MWTCB_25ML__xlsx__BM044,MWTCB_25ML,BM044,BM044,2026-06-19_xlsx__BM044,MWTCB_25ML__xlsx__BM044,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,44,TIKTOK_CURIOSITY,PRACTICAL_STORAGE,ready_to_buy,impulse_tiktok_buyer,MODERATE,rumah,impulse_low_friction,product_only_video,TikTok_Shop_video,MEDIUM,LOW,Tak semua benda kena fikir 3 hari sebelum beli.,HIGH,"Strong impulse hook. Pair with “kecil, senang cuba, senang simpan”."
MWTCB_25ML__xlsx__BM045,MWTCB_25ML,BM045,BM045,2026-06-19_xlsx__BM045,MWTCB_25ML__xlsx__BM045,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,45,PERSONA_SPECIFIC,TRAVEL_CAR_BAG,cold_scroll,mak_mak,BOLD,beg,practical_convenience,UGC_talking_head,TikTok_Shop_video,MEDIUM,MEDIUM,"Handbag penuh lip tint, tapi minyak standby tak ada?",HIGH,"Funny, sharp, native. Expand for women pouch/handbag angle."
MWTCB_25ML__xlsx__BM046,MWTCB_25ML,BM046,BM046,2026-06-19_xlsx__BM046,MWTCB_25ML__xlsx__BM046,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,46,PERSONA_SPECIFIC,TRAVEL_CAR_BAG,cold_scroll,lelaki_bekerja,BOLD,kereta,practical_convenience,UGC_talking_head,TikTok_Shop_video,MEDIUM,MEDIUM,Lelaki pun jangan tunggu badan koyak baru cari minyak.,MEDIUM,Good male angle. Keep bold but don’t over-niche.
MWTCB_25ML__xlsx__BM047,MWTCB_25ML,BM047,BM047,2026-06-19_xlsx__BM047,MWTCB_25ML__xlsx__BM047,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,47,PRACTICAL_STORAGE,STANDBY_BEFORE_NEED,warm_interest,universal_household,MODERATE,malam,practical_convenience,POV_scene,TikTok_Shop_video,MEDIUM,MEDIUM,"Bila dah baring baru rasa tak selesa, memang malas nak cari satu rumah.",MEDIUM,"Bedside use moment. Good for POV malam, laci tepi katil."
MWTCB_25ML__xlsx__BM048,MWTCB_25ML,BM048,BM048,2026-06-19_xlsx__BM048,MWTCB_25ML__xlsx__BM048,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,48,FAMILY_HOME,PERSONA_SPECIFIC,warm_interest,mak_mak,BOLD,rumah,family_responsibility,POV_scene,TikTok_Shop_video,MEDIUM,HIGH,"Gigitan serangga nampak kecil, sampai anak mula menggaru tak henti.",MEDIUM,"Parent mini-drama angle. Use carefully, keep as discomfort/standby context."
MWTCB_25ML__xlsx__BM049,MWTCB_25ML,BM049,BM049,2026-06-19_xlsx__BM049,MWTCB_25ML__xlsx__BM049,mwtcb_copywriting_landbank.xlsx,Classification Layer,2026-06-19_xlsx,2026-06-19_initial_landbank,49,STANDBY_BEFORE_NEED,FAMILY_HOME,cold_scroll,universal_household,BOLD,rumah,fear_of_not_having,POV_scene,TikTok_Shop_video,MEDIUM,HIGH,"Perut mula buat hal, baru semua orang cari minyak.",HIGH,"Very common household moment. Expand into makan, angin, rumah cari minyak."
