buyer_motivation_row_id,product_id,source_motivation_id,source_motivation_id_raw,motivation_batch_key,source_file,source_sheet,source_batch,import_version,source_sequence,buyer_situation,buyer_problem,buyer_desire,what_buyer_is_really_thinking,emotional_trigger,practical_trigger,buying_trigger,product_role,proof_from_product,best_formula,hook_direction,sample_hook,sample_subhook,sample_cta,why_it_can_sell
MWTCB_25ML__zip_csv__BM014,MWTCB_25ML,BM014,BM_014,2026-06-19_zip_csv__BM014,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,14,Anak muda nak balik kampung raya/cuti,Tak tahu nak bawak buah tangan apa untuk orang tua,Hadiah kecil tapi bermakna dan disukai orang tua,"""Beli kain batik dah biasa, bawak benda ni confirm mak suka.""",Sayang / Prihatin,Gifting,Packing balik kampung,Buah tangan praktikal,"Botol kaca hijau, logo burung",Hook/Multi-location,Balik kampung,"""Balik kampung minggu depan jangan balik tangan kosong. Mak ayah tak nak benda mahal.""","""Bawak balik sepeket minyak cap burung ni, senyum orang tua tu sebab barang rare.""",Beli Buah Tangan,Sangat tinggi conversion menjelang musim cuti.
MWTCB_25ML__zip_csv__BM015,MWTCB_25ML,BM015,BM_015,2026-06-19_zip_csv__BM015,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,15,Orang tua kerap kencing malam / sejuk kaki,"Kaki rasa sejuk menyucuk, tak boleh lena","Kaki hangat, tidur lena sampai subuh","""Sejuk benor kaki malam ni, bisa urat dibuatnya.""",Siksa orang tua,Cold sensitivity,Waktu malam sejuk,Pemanas tapak kaki,Sapuan herba tradisional,PASTOR,Nostalgia trigger,"""Orang tua kalau malam selalu terjaga sebab kaki sejuk? Sapu minyak herba ni.""","""Formula asli sejak 1958, panaskan tapak kaki sebelum tidur supaya lena.""",Beli Set Warga Emas,Menjual kehangatan malam tanpa ubat makan.
MWTCB_25ML__zip_csv__BM016,MWTCB_25ML,BM016,BM_016,2026-06-19_zip_csv__BM016,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,16,Pekerja pejabat duduk 8 jam atas kerusi,"Belakang badan rasa kaku, leher kejang","Duduk selesa, fokus kerja tak terganggu","""Kerusi ofis ni ke urat aku yang dah tua? Sakit gila.""",Rimas / Tersiksa,Ergonomic pain,Tengah hadap laptop,Minyak selit celah laci,Botol kecil mudah letak,PAS,Use moment,"""Duduk menghadap laptop 8 jam, leher rasa macam kena simen. Keras gila.""","""Sapu minyak cap burung ni dekat tengkuk. Bau herba segar, urat pun longgar.""",Simpan Di Ofis,Target pasaran kolar putih (desk-bound workers).
MWTCB_25ML__zip_csv__BM017,MWTCB_25ML,BM017,BM_017,2026-06-19_zip_csv__BM017,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,17,Ibu mengandung kerap simpul biawak,Kejang betis tiba-tiba waktu tidur malam,"Kejang hilang cepat, tidur tidak terganggu","""Sakitnya babi contraction betis ni! Nak nangis!""",Panik / Sakit gila,Pregnancy cramp,Terjaga tengah malam,Minyak standby tepi katil,Formula urut selamat,Problem/Moment,Don't-wait hook,"""Tengah sedap tidur tiba-tiba betis kejang simpul biawak? Sakit dia sampai menangis.""","""Sebab tu kena letak botol cap merah ni tepi bantal. Capai terus urut.""",Standby Tepi Katil,Menyelesaikan masalah khusus ibu mengandung.
MWTCB_25ML__zip_csv__BM018,MWTCB_25ML,BM018,BM_018,2026-06-19_zip_csv__BM018,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,18,Ayah suka bertukang/gardening,Tangan lenguh guna gergaji / cangkul,"Tangan tak kebas, boleh sambung hobi","""Urat tangan dah mula ketat, faktor usia la ni.""",Sedar diri tua,Hobby fatigue,Lepas berkebun,Minyak pulih urat,Formula tradisional asli,AIDA,Family situation,"""Ayah kau kalau dah start berkebun, petang confirm mengadu tangan kebas.""","""Bagi dia minyak hijau cap burung. Sekali tonyoh, urat tegang terus lembut.""",Beli Untuk Ayah,Hubungan emosi antara anak dan hobi ayah.
MWTCB_25ML__zip_csv__BM019,MWTCB_25ML,BM019,BM_019,2026-06-19_zip_csv__BM019,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,19,Sering diserang sakit kepala / migrain,"Kepala berdenyut, stress kerja menimbun","Rasa lega berangin, mata tak kabur","""Sakitnya kepala, nak pecah rasa hadap screen ni.""",Tertekan,Stress headache,Screen time lama,Minyak sapu pelipis,Bau herba semula jadi,Hook/Pain,Pain callout,"""Kepala rasa macam kena ketuk dengan tukul? Jangan telan ubat jer.""","""Sapu minyak hijau ni sikit kat pelipis dengan belakang leher. Kelegaan herba asli.""",Dapatkan Relief,Alternatif herba untuk sakit kepala harian.
MWTCB_25ML__zip_csv__BM020,MWTCB_25ML,BM020,BM_020,2026-06-19_zip_csv__BM020,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,20,Mengalami gigitan serangga / nyamuk,"Kulit gatal, bengkak merah","Gatal hilang, kulit tak luka digarut","""Nyamuk ni gigit merata, gatal tak boleh tahan.""",Rimas / Gatal,Insect bites,Tengah lepak outdoor,Minyak anti-gatal,"Cap merah, herba asli",QUEST,Everyday household,"""Tengah sedap lepak luar kena gigit nyamuk? Gatal sampai luka digarut.""","""Sapu sikit minyak cap burung ni. Bengkak cepat surut, gatal hilang terus.""",Standby Dalam Beg,Penggunaan asas isi rumah di Malaysia.
MWTCB_25ML__zip_csv__BM021,MWTCB_25ML,BM021,BM_021,2026-06-19_zip_csv__BM021,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,21,Individu selalu mabuk perjalanan,"Loya, pening lalat dalam kereta/bas","Kepala tenang, perut tak rasa mual","""Aduh jauh lagi jalan bengkang-bengkok ni, nak muntah.""",Loya / Pening,Motion sickness,Jalan berliku / Genting,Penenang hidung,Bau herba tradisional asli,Hook/Use Moment,Roadtrip,"""Jenis kepala tak tahan jalan bengkang-bengkok? Mula lah pening nak muntah.""","""Hidu bau herba minyak cap burung ni. Tenang terus kepala, perut tak mual.""",Beli Set Travel,Sangat laku untuk kaki jalan / kaki travel bas.
MWTCB_25ML__zip_csv__BM022,MWTCB_25ML,BM022,BM_022,2026-06-19_zip_csv__BM022,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,22,Pelajar duduk study malam lama,"Mengantuk, badan lenguh atas kerusi meja study","Segar semula, otot belakang tak tegang","""Banyak lagi bab nak kena hafal ni, badan dah sakit.""",Penat / Letih,Study fatigue,Tengah prepare exam,Minyak booster fokus,Bau herba menyegarkan,PPPP,Use moment,"""Anak study sampai malam suntuk tapi asyik mengantuk sebab badan lenguh?""","""Letak sebotol cap merah atas meja study. Sapu kat bahu, automatik segar.""",Beli Untuk Anak,Target ibu bapa yang ada anak bersekolah/universiti.
MWTCB_25ML__zip_csv__BM023,MWTCB_25ML,BM023,BM_023,2026-06-19_zip_csv__BM023,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,23,Rumah tiada langsung minyak angin,"Bila kecemasan perut sakit, gelisah cari barang",Rasa selamat sebab rumah lengkap ubat asas,"""Rumah aku ni ubat basic pun tak ada, kalau sakit parah ni.""",Risau / Tak bersedia,First aid gap,Sakit tiba-tiba,Isi kotak kecemasan,Barang wajib rumah sejak 1958,Hook/Fear of Not Having,Standby rumah,"""Rumah nampak lawa, tapi bila perut memulas tengah malam satu minyak angin pun tak ada?""","""Jangan tunggu melarat baru nak cari kedai. Standby minyak cap burung siap-siap.""",Lengkapkan Rumah Anda,Menjentik ego pemilik rumah yang tak bersedia.
MWTCB_25ML__zip_csv__BM024,MWTCB_25ML,BM024,BM_024,2026-06-19_zip_csv__BM024,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,24,Warga emas sendi berbunyi bila jalan,"Lutut rasa ketat, berbunyi 'klik' bila naik tangga","Langkah lancar, urat tak rasa menyucuk","""Sakitnya lutut nak naik tangga surau ni.""",Malu / Sakit,Joint friction,Naik tangga,Pelicin sendi herba,Formula urut tradisional,PASTOR,Nostalgia trigger,"""Siksa tengok mak ayah nak naik tangga surau sebab lutut bunyi ketat?""","""Minyak hijau herba pekat. Gosok tiap pagi, urat longgar langkah pun ringan.""",Beli Set Lutut,Membantu pergerakan harian warga emas.
MWTCB_25ML__zip_csv__BM025,MWTCB_25ML,BM025,BM_025,2026-06-19_zip_csv__BM025,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,25,Tangan terseliuh kecil buat kerja dapur,"Pergelangan tangan sakit, tak boleh angkat kuali","Sendi kembali kuat, bengkak surut","""Aduh tersalah letak tangan saiz angkat kuali tadi.""",Sakit / Terkejut,Kitchen accident,Tengah memasak,Minyak rawatan laju,Formula urut asli,PAS,Everyday household,"""Tengah masak tersalah rentap kuali sampai pergelangan tangan terseliuh?""","""Jangan biar sampai bengkak. Sapu minyak hijau cap burung ni, herba dia surutkan sakit.""",Simpan Di Datar Dapur,Sangat dekat dengan aktiviti harian di dapur.
MWTCB_25ML__zip_csv__BM026,MWTCB_25ML,BM026,BM_026,2026-06-19_zip_csv__BM026,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,26,Rasa mual lepas makan makanan berminyak,"Perut kembung, angin tak lepas, rasa nak muntah","Perut kembung surut, sendawa lawas","""Senak gila perut ni, angin sumbat celah dada.""",Senak / Siksa,Indigestion,Lepas makan kenduri,Pembuang angin tegar,Formula asli tradisional,QUEST,Use moment,"""Balik kenduri perut rasa senak gas penuh? Nak sendawa tapi tak lepas.""","""Urut membulat minyak cap burung ni kat perut. Kejap lagi confirm sendawa puas.""",Beli Set Sendawa,Sering terjadi selepas musim perayaan/kenduri.
MWTCB_25ML__zip_csv__BM027,MWTCB_25ML,BM027,BM_027,2026-06-19_zip_csv__BM027,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,27,Pembeli nak borong buat stok laci kereta,Takut kereta breakdown atau sakit tengah jalan,Tenang memandu jauh sebab ada back-up,"""Letak siap-siap satu botol dalam glove box, senang.""",Berwaspada,Automotive standby,Roadtrip persiapan,Minyak kecemasan kereta,Botol kecil tak pecah,Hook/Multi-location,Travel/kereta/beg,"""Dalam glove box kereta kau ada apa? Pen rosak? Resit lama? Standby benda ni.""","""Botol kecil 25ml tak makan ruang. Sakit tengkuk tengah drive, terus boleh capai.""",Beli Set Kereta,Menjual konsep pelbagai unit untuk pelbagai lokasi.
MWTCB_25ML__zip_csv__BM028,MWTCB_25ML,BM028,BM_028,2026-06-19_zip_csv__BM028,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,28,Pengguna produk moden rasa rugi,Beli minyak moden wangi tapi tak panas/berkesan,Minyak tradisional asli yang ada herba betul,"""Minyak viral sekarang bau jer wangi tapi langsung tak melegakan.""",Kecewa produk viral,Generic vs Traditional,Minyak wangi tak berkesan,Kembali ke produk asal,Formula sejak 1958 asli,BAB,Old-school trust,"""Dah bosan beli minyak angin viral yang bau jer wangi tapi sakit tak hilang?""","""Kembali ke formula asal 1958. Minyak hijau cap burung, herba asli padu.""",Beli Yang Asli,Menyerang jenama moden yang estetik tapi kurang 'bite'.
MWTCB_25ML__zip_csv__BM029,MWTCB_25ML,BM029,BM_029,2026-06-19_zip_csv__BM029,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,29,Ibu bapa baru (New parents) panik,"Anak pertama kembung perut, tak tahu buat apa",Anak diam cepat tanpa ubat klinikal berat,"""Aduh anak nangis ni sebab apa? Takutnya aku.""",Takut / Gelisah,Newbie parenting,Bayi kembung,Minyak bertenang,Petua turun temurun aman,PPPP,Mak-mak hook,"""New parents paling takut bila anak start nangis perut keras. Jangan panik.""","""Titis minyak cap burung ni, gosok kat tapak tangan baru sapu perut anak.""",Standby Untuk Bayi,Menyentuh emosi ketakutan ibu bapa baru.
MWTCB_25ML__zip_csv__BM030,MWTCB_25ML,BM030,BM_030,2026-06-19_zip_csv__BM030,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,30,Orang selalu kerja shift malam,"Badan sejuk, urat belakang rasa mencucuk","Badan kekal bertenaga, angin tak masuk","""Kerja malam ni kalau masuk angin, satu badan bisa.""",Lemah / Lesu,Shift work fatigue,Tengah malam buta,Benteng angin malam,Minyak hijau pekat,AIDA,Use moment,"""Kerja shift malam kilang atau security? Angin malam sejuk mencerah urat.""","""Sapu minyak herba cap burung ni kat dada dan belakang sebelum start shift.""",Dapatkan Benteng Anda,Target market pekerja industri/malam.
MWTCB_25ML__zip_csv__BM031,MWTCB_25ML,BM031,BM_031,2026-06-19_zip_csv__BM031,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,31,Tersalah posisi tidur (Salah bantal),"Leher tak boleh pusing kiri kanan, sakit gila","Leher lembut semula, boleh toleh normal","""Aduh salah bantal pulak semalam, nak toleh pun siksa.""",Sakit / Rimas,Sleep injury,Bangun pagi,Minyak urut leher laju,Herba meresap pantas,PAS,Use moment,"""Bangun pagi leher terus kaku tak boleh toleh? Siksa ooo kena salah bantal.""","""Jangan biar satu hari rosak. Gosok minyak cap burung ni, biar herba lembutkan urat.""",Klik Sini Lega Laju,Isu sejagat yang sering berlaku tiba-tiba.
MWTCB_25ML__zip_csv__BM032,MWTCB_25ML,BM032,BM_032,2026-06-19_zip_csv__BM032,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,32,Warga emas susah tidur malam,"Kaki gelisah, urat rasa merayap/kebas","Urat tenang, boleh tidur lena tanpa terjaga","""Urat kaki ni rasa macam ada benda merayap, tak boleh lena.""",Siksa malam,Restless leg syndrome,Waktu tidur,Minyak penenang urat,Formula herba tradisional,PASTOR,Nostalgia trigger,"""Mak ayah jenis susah tidur malam sebab kaki rasa kebas berdenyut?""","""Gosok minyak hijau asli ni dari betis ke tapak kaki. Urat tenang, malam tidur lena.""",Beli Untuk Mak Ayah,Masalah kesihatan urat warga tua yang popular.
MWTCB_25ML__zip_csv__BM033,MWTCB_25ML,BM033,BM_033,2026-06-19_zip_csv__BM033,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,33,Golongan muda rasa nak beringat,"Lihat kawan sakit urat muda, rasa kena standby",Persiapan awal sebelum badan mula merosot,"""Umur baru 20-an tapi badan macam 60-an. Kena standby minyak.""",Takut tua / Sakit,Early health awareness,Sedar diri lenguh,Minyak laci meja,Saiz kecil praktikal,QUEST,Don't-wait hook,"""Ingat umur 20-an tak boleh sakit pinggang? Jaga-jaga, urat tak kenal usia.""","""Standby minyak hijau cap burung ni dalam beg. Badan start buat hal, terus sapu.""",Standby Sekarang,Target golongan belia yang mula sedar kepentingan kesihatan urat.
MWTCB_25ML__zip_csv__BM034,MWTCB_25ML,BM034,BM_034,2026-06-19_zip_csv__BM034,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,34,Nelayan / Kaki pancing laut malam,"Angin laut kuat, badan masuk angin, sendi bisa","Badan hangat, boleh fokus memancing","""Angin laut malam ni tajam semacam, bisa urat.""",Kesejukan,Outdoor exposure,Tengah jeti / bot,Pemanas badan tegar,Botol kaca kuat,HSO,Use moment,"""Kaki pancing laut malam tahu betapa kejamnya angin laut kalau masuk botol urat.""","""Sapu minyak cap burung ni sebelum turun bot. Kekal hangat, tak ada bisa sendi.""",Beli Stok Memancing,Komuniti hobi tegar (kaki pancing).
MWTCB_25ML__zip_csv__BM035,MWTCB_25ML,BM035,BM_035,2026-06-19_zip_csv__BM035,mwtcb_gemini_copywriting_landbank_csv.zip,Buyer_Motivation_Map,2026-06-19_zip_csv,2026-06-19_initial_landbank,35,Penghidap asthma/batuk angin malam,"Dada rasa ketat, batuk tak lepas bila sejuk","Dada lapang, pernafasan lancar semula","""Sesak dada ni bila malam sejuk sangat.""",Siksa bernafas,Respiratory comfort,Malam hujan,Minyak pelega dada,Bau herba semula jadi asli,FAB,Use moment,"""Malam-malam kalau cuaca sejuk, dada mula rasa ketat dan batuk angin?""","""Sapu minyak herba cap burung ni kat dada. Bau herba asli longgarkan pernafasan.""",Dapatkan Kelegaan,Kelegaan luaran herba asli tradisional.
