motivation_classification_row_id,product_id,source_motivation_id,source_motivation_id_raw,motivation_batch_key,buyer_motivation_row_id,source_file,source_sheet,source_batch,import_version,source_sequence,primary_bucket,secondary_bucket,buyer_stage,persona_fit,boldness_level,usage_context,sales_mechanism,best_content_format,best_platform_surface,bundle_potential,repeat_purchase_potential,strongest_hook_from_this_motivation,expansion_priority,notes_for_angle_generation
MWTCB_25ML__zip_csv__BM011,MWTCB_25ML,BM011,BM_011,2026-06-19_zip_csv__BM011,MWTCB_25ML__zip_csv__BM011,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,11,FAMILY_HOME,NOSTALGIA_TRUST,ready_to_buy,mak_mak,AGGRESSIVE,kerja,family_responsibility,UGC_talking_head,TikTok_Shop_video,MEDIUM,MEDIUM,"""Suri rumah kalau dah start mengemas, malam confirm mengaduh sakit pinggang.""",MEDIUM,Expand as family_home angle using Hook/Family with proof: Formula herba pekat. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM012,MWTCB_25ML,BM012,BM_012,2026-06-19_zip_csv__BM012,MWTCB_25ML__zip_csv__BM012,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,12,MULTI_BUY,TIKTOK_CURIOSITY,repeat_buyer,impulse_tiktok_buyer,AGGRESSIVE,beg,impulse_low_friction,carousel,TikTok_Shop_video,HIGH,HIGH,"""Harga murah gila, tak payah fikir dua kali. Guna kupon terus sauk 3 botol.""",HIGH,Expand as multi_buy angle using SLAP with proof: Pembelian multi-buy. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM013,MWTCB_25ML,BM013,BM_013,2026-06-19_zip_csv__BM013,MWTCB_25ML__zip_csv__BM013,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,13,NOSTALGIA_TRUST,VISUAL_RECOGNITION,repeat_buyer,anak_beli_untuk_parent,AGGRESSIVE,rak,nostalgia_trust,hybrid_video,TikTok_Shop_video,HIGH,HIGH,"""Otot ketat gila lepas layan leg day? Jangan biar esok jalan kengkang.""",MEDIUM,Expand as nostalgia_trust angle using FAB with proof: Formula meresap. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM014,MWTCB_25ML,BM014,BM_014,2026-06-19_zip_csv__BM014,MWTCB_25ML__zip_csv__BM014,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,14,FAMILY_HOME,SEASONAL_CONTEXT,gift_buyer,anak_beli_untuk_parent,MODERATE,balik_kampung,family_responsibility,UGC_talking_head,TikTok_Shop_video,MEDIUM,HIGH,"""Balik kampung minggu depan jangan balik tangan kosong. Mak ayah tak nak benda mahal.""",HIGH,"Expand as family_home angle using Hook/Multi-location with proof: Botol kaca hijau, logo burung. Keep raw sales tension; split final variants by boldness."
MWTCB_25ML__zip_csv__BM015,MWTCB_25ML,BM015,BM_015,2026-06-19_zip_csv__BM015,MWTCB_25ML__zip_csv__BM015,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,15,NOSTALGIA_TRUST,FAMILY_HOME,repeat_buyer,anak_beli_untuk_parent,SOFT,malam,family_responsibility,hybrid_video,TikTok_Shop_video,HIGH,HIGH,"""Orang tua kalau malam selalu terjaga sebab kaki sejuk? Sapu minyak herba ni.""",HIGH,Expand as nostalgia_trust angle using PASTOR with proof: Sapuan herba tradisional. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM016,MWTCB_25ML,BM016,BM_016,2026-06-19_zip_csv__BM016,MWTCB_25ML__zip_csv__BM016,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,16,PRACTICAL_STORAGE,PERSONA_SPECIFIC,cold_scroll,lelaki_bekerja,AGGRESSIVE,kerja,practical_convenience,POV_scene,TikTok_Shop_video,MEDIUM,LOW,"""Duduk menghadap laptop 8 jam, leher rasa macam kena simen. Keras gila.""",HIGH,Expand as practical_storage angle using PAS with proof: Botol kecil mudah letak. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM017,MWTCB_25ML,BM017,BM_017,2026-06-19_zip_csv__BM017,MWTCB_25ML__zip_csv__BM017,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,17,STANDBY_BEFORE_NEED,VISUAL_RECOGNITION,warm_interest,mak_mak,BOLD,malam,fear_of_not_having,poster_ad,poster_ads,LOW,MEDIUM,"""Tengah sedap tidur tiba-tiba betis kejang simpul biawak? Sakit dia sampai menangis.""",HIGH,Expand as standby_before_need angle using Problem/Moment with proof: Formula urut selamat. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM018,MWTCB_25ML,BM018,BM_018,2026-06-19_zip_csv__BM018,MWTCB_25ML__zip_csv__BM018,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,18,FAMILY_HOME,VISUAL_RECOGNITION,gift_buyer,mak_mak,AGGRESSIVE,rumah,family_responsibility,UGC_talking_head,TikTok_Shop_video,LOW,MEDIUM,"""Ayah kau kalau dah start berkebun, petang confirm mengadu tangan kebas.""",HIGH,Expand as family_home angle using AIDA with proof: Formula tradisional asli. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM019,MWTCB_25ML,BM019,BM_019,2026-06-19_zip_csv__BM019,MWTCB_25ML__zip_csv__BM019,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,19,VISUAL_RECOGNITION,NOSTALGIA_TRUST,warm_interest,lelaki_bekerja,MODERATE,kerja,visual_recognition,product_only_video,TikTok_Shop_video,LOW,LOW,"""Kepala rasa macam kena ketuk dengan tukul? Jangan telan ubat jer.""",MEDIUM,Expand as visual_recognition angle using Hook/Pain with proof: Bau herba semula jadi. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM020,MWTCB_25ML,BM020,BM_020,2026-06-19_zip_csv__BM020,MWTCB_25ML__zip_csv__BM020,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,20,VISUAL_RECOGNITION,TRAVEL_CAR_BAG,cold_scroll,family_home_buyer,AGGRESSIVE,beg,multi_location_logic,product_only_video,TikTok_Shop_video,MEDIUM,LOW,"""Tengah sedap lepak luar kena gigit nyamuk? Gatal sampai luka digarut.""",MEDIUM,"Expand as visual_recognition angle using QUEST with proof: Cap merah, herba asli. Keep raw sales tension; split final variants by boldness."
MWTCB_25ML__zip_csv__BM021,MWTCB_25ML,BM021,BM_021,2026-06-19_zip_csv__BM021,MWTCB_25ML__zip_csv__BM021,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,21,TRAVEL_CAR_BAG,NOSTALGIA_TRUST,repeat_buyer,driver_travel,AGGRESSIVE,travel,multi_location_logic,UGC_talking_head,TikTok_Shop_video,HIGH,LOW,"""Jenis kepala tak tahan jalan bengkang-bengkok? Mula lah pening nak muntah.""",MEDIUM,Expand as travel_car_bag angle using Hook/Use Moment with proof: Bau herba tradisional asli. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM022,MWTCB_25ML,BM022,BM_022,2026-06-19_zip_csv__BM022,MWTCB_25ML__zip_csv__BM022,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,22,VISUAL_RECOGNITION,PRACTICAL_STORAGE,ready_to_buy,mak_mak,BOLD,malam,family_responsibility,product_only_video,TikTok_Shop_video,LOW,LOW,"""Anak study sampai malam suntuk tapi asyik mengantuk sebab badan lenguh?""",MEDIUM,Expand as visual_recognition angle using PPPP with proof: Bau herba menyegarkan. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM023,MWTCB_25ML,BM023,BM_023,2026-06-19_zip_csv__BM023,MWTCB_25ML__zip_csv__BM023,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,23,STANDBY_BEFORE_NEED,NOSTALGIA_TRUST,ready_to_buy,nostalgia_buyer,BOLD,malam,fear_of_not_having,poster_ad,poster_ads,MEDIUM,MEDIUM,"""Rumah nampak lawa, tapi bila perut memulas tengah malam satu minyak angin pun tak ada?""",MEDIUM,Expand as standby_before_need angle using Hook/Fear of Not Having with proof: Barang wajib rumah sejak 1958. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM024,MWTCB_25ML,BM024,BM_024,2026-06-19_zip_csv__BM024,MWTCB_25ML__zip_csv__BM024,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,24,FAMILY_HOME,NOSTALGIA_TRUST,repeat_buyer,anak_beli_untuk_parent,AGGRESSIVE,balik_kampung,family_responsibility,UGC_talking_head,TikTok_Shop_video,HIGH,HIGH,"""Siksa tengok mak ayah nak naik tangga surau sebab lutut bunyi ketat?""",HIGH,Expand as family_home angle using PASTOR with proof: Formula urut tradisional. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM025,MWTCB_25ML,BM025,BM_025,2026-06-19_zip_csv__BM025,MWTCB_25ML__zip_csv__BM025,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,25,VISUAL_RECOGNITION,NOSTALGIA_TRUST,ready_to_buy,lelaki_bekerja,AGGRESSIVE,kerja,visual_recognition,product_only_video,TikTok_Shop_video,MEDIUM,LOW,"""Tengah masak tersalah rentap kuali sampai pergelangan tangan terseliuh?""",MEDIUM,Expand as visual_recognition angle using PAS with proof: Formula urut asli. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM026,MWTCB_25ML,BM026,BM_026,2026-06-19_zip_csv__BM026,MWTCB_25ML__zip_csv__BM026,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,26,SEASONAL_CONTEXT,NOSTALGIA_TRUST,repeat_buyer,anak_beli_untuk_parent,AGGRESSIVE,balik_kampung,multi_location_logic,poster_ad,poster_ads,HIGH,LOW,"""Balik kenduri perut rasa senak gas penuh? Nak sendawa tapi tak lepas.""",HIGH,Expand as seasonal_context angle using QUEST with proof: Formula asli tradisional. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM027,MWTCB_25ML,BM027,BM_027,2026-06-19_zip_csv__BM027,MWTCB_25ML__zip_csv__BM027,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,27,TRAVEL_CAR_BAG,MULTI_BUY,repeat_buyer,driver_travel,BOLD,beg,multi_location_logic,POV_scene,TikTok_Shop_video,HIGH,HIGH,"""Dalam glove box kereta kau ada apa? Pen rosak? Resit lama? Standby benda ni.""",MEDIUM,Expand as travel_car_bag angle using Hook/Multi-location with proof: Botol kecil tak pecah. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM028,MWTCB_25ML,BM028,BM_028,2026-06-19_zip_csv__BM028,MWTCB_25ML__zip_csv__BM028,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,28,NOSTALGIA_TRUST,VISUAL_RECOGNITION,ready_to_buy,nostalgia_buyer,BOLD,rumah,nostalgia_trust,hybrid_video,TikTok_Shop_video,LOW,MEDIUM,"""Dah bosan beli minyak angin viral yang bau jer wangi tapi sakit tak hilang?""",HIGH,Expand as nostalgia_trust angle using BAB with proof: Formula sejak 1958 asli. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM029,MWTCB_25ML,BM029,BM_029,2026-06-19_zip_csv__BM029,MWTCB_25ML__zip_csv__BM029,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,29,FAMILY_HOME,STANDBY_BEFORE_NEED,ready_to_buy,mak_mak,BOLD,rumah,family_responsibility,UGC_talking_head,TikTok_Shop_video,LOW,MEDIUM,"""New parents paling takut bila anak start nangis perut keras. Jangan panik.""",MEDIUM,Expand as family_home angle using PPPP with proof: Petua turun temurun aman. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM030,MWTCB_25ML,BM030,BM_030,2026-06-19_zip_csv__BM030,MWTCB_25ML__zip_csv__BM030,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,30,VISUAL_RECOGNITION,STANDBY_BEFORE_NEED,cold_scroll,lelaki_bekerja,SOFT,kerja,fear_of_not_having,product_only_video,TikTok_Shop_video,LOW,LOW,"""Kerja shift malam kilang atau security? Angin malam sejuk mencerah urat.""",HIGH,Expand as visual_recognition angle using AIDA with proof: Minyak hijau pekat. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM031,MWTCB_25ML,BM031,BM_031,2026-06-19_zip_csv__BM031,MWTCB_25ML__zip_csv__BM031,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,31,NOSTALGIA_TRUST,FAMILY_HOME,ready_to_buy,universal_household,AGGRESSIVE,malam,household_readiness,hybrid_video,TikTok_Shop_video,LOW,MEDIUM,"""Bangun pagi leher terus kaku tak boleh toleh? Siksa ooo kena salah bantal.""",HIGH,Expand as nostalgia_trust angle using PAS with proof: Herba meresap pantas. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM032,MWTCB_25ML,BM032,BM_032,2026-06-19_zip_csv__BM032,MWTCB_25ML__zip_csv__BM032,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,32,FAMILY_HOME,NOSTALGIA_TRUST,gift_buyer,anak_beli_untuk_parent,BOLD,balik_kampung,family_responsibility,UGC_talking_head,TikTok_Shop_video,LOW,HIGH,"""Mak ayah jenis susah tidur malam sebab kaki rasa kebas berdenyut?""",MEDIUM,Expand as family_home angle using PASTOR with proof: Formula herba tradisional. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM033,MWTCB_25ML,BM033,BM_033,2026-06-19_zip_csv__BM033,MWTCB_25ML__zip_csv__BM033,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,33,PRACTICAL_STORAGE,VISUAL_RECOGNITION,ready_to_buy,family_home_buyer,BOLD,beg,practical_convenience,POV_scene,TikTok_Shop_video,MEDIUM,LOW,"""Ingat umur 20-an tak boleh sakit pinggang? Jaga-jaga, urat tak kenal usia.""",MEDIUM,Expand as practical_storage angle using QUEST with proof: Saiz kecil praktikal. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM034,MWTCB_25ML,BM034,BM_034,2026-06-19_zip_csv__BM034,MWTCB_25ML__zip_csv__BM034,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,34,VISUAL_RECOGNITION,TRAVEL_CAR_BAG,repeat_buyer,anak_beli_untuk_parent,MODERATE,malam,fear_of_not_having,product_only_video,TikTok_Shop_video,HIGH,HIGH,"""Kaki pancing laut malam tahu betapa kejamnya angin laut kalau masuk botol urat.""",LOW,Expand as visual_recognition angle using HSO with proof: Botol kaca kuat. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM035,MWTCB_25ML,BM035,BM_035,2026-06-19_zip_csv__BM035,MWTCB_25ML__zip_csv__BM035,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,35,SEASONAL_CONTEXT,NOSTALGIA_TRUST,cold_scroll,universal_household,AGGRESSIVE,malam,household_readiness,poster_ad,poster_ads,LOW,LOW,"""Malam-malam kalau cuaca sejuk, dada mula rasa ketat dan batuk angin?""",MEDIUM,Expand as seasonal_context angle using FAB with proof: Bau herba semula jadi asli. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM036,MWTCB_25ML,BM036,BM_036,2026-06-19_zip_csv__BM036,MWTCB_25ML__zip_csv__BM036,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,36,NOSTALGIA_TRUST,VISUAL_RECOGNITION,ready_to_buy,nostalgia_buyer,MODERATE,rumah,nostalgia_trust,hybrid_video,TikTok_Shop_video,LOW,MEDIUM,"""Bukan minyak angin cap komersial boring. Tengok botol kaca hijau retro ni.""",LOW,"Expand as nostalgia_trust angle using Hook/Visual Recognition with proof: Botol kaca hijau, cap merah. Keep raw sales tension; split final variants by boldness."
MWTCB_25ML__zip_csv__BM037,MWTCB_25ML,BM037,BM_037,2026-06-19_zip_csv__BM037,MWTCB_25ML__zip_csv__BM037,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,37,STANDBY_BEFORE_NEED,FAMILY_HOME,ready_to_buy,universal_household,AGGRESSIVE,malam,household_readiness,poster_ad,poster_ads,LOW,MEDIUM,"""Pagi-pagi bangun tidur, pijak jer lantai terus tumit rasa menyucuk bisa?""",HIGH,Expand as standby_before_need angle using PASTOR with proof: Formula urut serap. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM038,MWTCB_25ML,BM038,BM_038,2026-06-19_zip_csv__BM038,MWTCB_25ML__zip_csv__BM038,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,38,VISUAL_RECOGNITION,STANDBY_BEFORE_NEED,warm_interest,lelaki_bekerja,AGGRESSIVE,malam,fear_of_not_having,product_only_video,TikTok_Shop_video,MEDIUM,LOW,"""Abang uniform bertugas banting tulang, badan malam-malam rasa lenguh menyucuk?""",MEDIUM,Expand as visual_recognition angle using PAS with proof: Formula tegar 1958. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM039,MWTCB_25ML,BM039,BM_039,2026-06-19_zip_csv__BM039,MWTCB_25ML__zip_csv__BM039,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,39,NOSTALGIA_TRUST,TIKTOK_CURIOSITY,repeat_buyer,anak_beli_untuk_parent,BOLD,rumah,multi_location_logic,hybrid_video,TikTok_Shop_video,HIGH,MEDIUM,"""Fikir business sampai urat kepala rasa nak meletup? Stress sangat ni.""",LOW,Expand as nostalgia_trust angle using Hook/Pain with proof: Bau herba aroma tradisi. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM040,MWTCB_25ML,BM040,BM_040,2026-06-19_zip_csv__BM040,MWTCB_25ML__zip_csv__BM040,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,40,NOSTALGIA_TRUST,MULTI_BUY,repeat_buyer,mak_mak,SOFT,rumah,family_responsibility,hybrid_video,TikTok_Shop_video,HIGH,HIGH,"""Ibu dalam pantang paling risau kalau urat sejuk kemasukan angin. Badan boleh bisa.""",MEDIUM,Expand as nostalgia_trust angle using PPPP with proof: *Postpartum Gate Approved*. Keep raw sales tension; split final variants by boldness.
MWTCB_25ML__zip_csv__BM041,MWTCB_25ML,BM041,BM_041,2026-06-19_zip_csv__BM041,MWTCB_25ML__zip_csv__BM041,mwtcb_gemini_copywriting_landbank_csv.zip,Classification_Layer,2026-06-19_zip_csv,2026-06-19_initial_landbank,41,SEASONAL_CONTEXT,NOSTALGIA_TRUST,cold_scroll,anak_beli_untuk_parent,SOFT,balik_kampung,fear_of_not_having,poster_ad,poster_ads,MEDIUM,LOW,"""Bila musim hujan, rumah rasa lembap dan urat kaki mula rasa ngilu mencucuk tulang?""",LOW,Expand as seasonal_context angle using HSO with proof: Formula herba tahan lama. Keep raw sales tension; split final variants by boldness.
