motivation_id,buyer_situation,buyer_problem,buyer_desire,what_buyer_is_really_thinking,emotional_trigger,practical_trigger,buying_trigger,product_role,proof_from_product,best_formula,hook_direction,sample_hook,sample_subhook,sample_cta,why_it_can_sell
BM011,Produk moden nampak terlalu generic,Pembeli skeptikal dengan produk viral semata-mata,Nak benda lama yang nampak ada akar,“Aku lebih percaya barang yang tak nampak baru nak up.”,Skepticism terhadap hype,Legacy visual,Trust trigger,Alternatif old-school,"Sejak 1958, label warisan",HSO,old-school trust,Bukan semua benda viral boleh dipercayai.,Ada benda nampak lama sebab memang lama orang simpan.,"Tap beli, cuba sendiri vibe warisan ni.",Menjual kepada anti-hype buyer.
BM012,Scroll TikTok nampak banyak produk sama,Susah beza mana genuine dan mana gimmick,Nak visual yang terus melekat,“Cap merah minyak hijau ni nampak lain.”,Curiosity visual,Cap merah mudah cam,Pattern interrupt,Produk visual old-school,"Cap merah, minyak hijau, botol hijau",Hook/Visual/Reason/CTA,visual recognition,"Cap merah, minyak hijau — sekali lalu pun mata berhenti.",Ini jenis visual yang terus bawa otak balik ke almari rumah lama.,Tap tengok produk sekarang.,Visual identity kuat untuk TikTok feed.
BM013,Rumah moden tapi tak ada barang tradisi,Rasa rumah macam cantik tapi tak bersedia,Nak rumah cantik dan berguna,"“Rumah bukan cuma deco, kena ada barang standby.”",Home completeness,Letak di almari rumah,Completeness trigger,Barang tradisi pelengkap rumah,"Label warisan, botol kecil",BAB,rumah lengkap,Rumah cantik tak guna kalau benda basic pun tak ada.,Minyak standby macam ni patut ada dalam setiap rumah.,Order satu untuk rumah hari ini.,Pukul ego rumah lengkap.
BM014,Nak beli lebih dari satu,Satu botol tak cukup sebab lokasi berbeza,"Nak rumah, kereta dan beg semua ready","“Kalau beli satu, nanti tinggal dekat tempat salah.”",Fear of absence,Multi-location use,Bundle trigger,Multi-location standby oil,"Botol kecil, mudah simpan",Hook/Multi-location/CTA,multi-buy,Satu botol memang tak cukup kalau kau selalu bergerak.,"Rumah satu, kereta satu, beg satu — baru tak menyesal.",Ambil 3 botol terus.,Logik multi-buy sangat jelas.
BM015,Pembeli tunggu sakit baru cari,Lewat bertindak buat situasi jadi menyusahkan,Nak sediakan sebelum perlu,“Aku selalu lambat prepare benda macam ni.”,Regret avoidance,Beli awal simpan,Before-need trigger,Barang prepare awal,Botol kecil mudah stok,PAS,jangan tunggu,Jangan tunggu perlu baru cari.,"Barang macam ni beli bukan sebab nak guna sekarang, tapi sebab kau tahu nanti akan perlu.","Tap sekarang, simpan dulu.",Regret-based urgency kuat.
BM016,Barang kecil selalu jadi penyelamat,Orang undervalue item kecil,Nak beli benda kecil yang high-utility,“Kecil-kecil pun inilah yang orang cari.”,Surprise usefulness,Mudah capai,Hero item trigger,Hero senyap rumah,"Botol kecil, cap merah",PPPP,hero senyap,Botol kecil ni jenis hero senyap dalam rumah.,"Tak glamorous, tapi bila perlu semua orang cari.",Masukkan ke cart sekarang.,Menaikkan nilai produk kecil.
BM017,Rutin keluarga ada banyak momen tak selesa,Setiap orang rumah ada aduan berbeza,Nak satu barang yang semua boleh cari,“Dalam rumah mesti ada orang mengadu sesuatu.”,Family care,Simpan di tempat semua tahu,Household routine trigger,Minyak cari ramai-ramai,"Barang keluarga, label familiar",Hook/Family/Product/CTA,rutin keluarga,Dalam rumah mesti ada satu barang yang semua orang cari bila tak selesa.,Minyak kecil ni patut duduk dekat tempat paling senang capai.,Order untuk rumah hari ini.,Menjual kepada decision-maker rumah.
BM018,Rindu vibe rumah tok,Produk moden tiada emotional pull,Nak rasa familiar dan nostalgic,“Ini macam barang yang tok simpan dulu.”,Nostalgia deep,Old-school packaging,Memory trigger,Bridge memori dan fungsi,"Label warisan, Sejak 1958",Hook/Memory/Trust/CTA,rumah tok,"Kalau kau pernah buka almari rumah tok, kau tahu vibe ni.","Botol kecil, label lama, minyak hijau — terus rasa familiar.","Tap tengok, jangan biar nostalgia lalu saja.",Emosi nostalgia kuat untuk stop scroll.
BM019,TikTok feed terlalu clean dan sama,Produk old-school nampak lain,Nak tengok sesuatu yang curiosity-driven,"“Eh minyak apa ni, macam lama tapi baru muncul.”",Curiosity,Visual contrast,Scroll-stop trigger,Object curiosity product,"Cap merah, minyak hijau, logo burung",4U,TikTok curiosity,"Tengah scroll TikTok, tiba-tiba nampak minyak macam dari almari tok.",Itu yang buat orang stop — familiar tapi curious.,"Tap beg kuning, tengok sendiri.",Sesuai untuk product-only content.
BM020,Pembeli suka cuba barang kecil,Tak nak komit pada produk besar,Nak beli benda murah/kecil/mudah test,“Tak rugi cuba kalau kecil dan berguna.”,Low-risk impulse,Saiz kecil,Impulse buy trigger,Entry product,Botol kecil 25ml,AIDA,impulse cuba,Benda kecil macam ni memang bahaya — senang sangat masuk cart.,"Sebab dia nampak berguna, bukan sekadar comel.",Tap check price sekarang.,Menjual dengan friction rendah.
BM021,Pembeli repeat beli bila dah biasa guna,Satu botol hilang cepat sebab ramai guna,Nak stok lebih awal,"“Kalau semua orang pakai, memang kena ada spare.”",Fear of running out,Beli stok,Repeat trigger,Stok rumah,Botol kecil mudah beli banyak,PAS,stok rumah,"Bila satu rumah pakai, satu botol boleh hilang sekelip mata.",Jangan tunggu kosong baru kalut.,Stock up sekarang.,Mendorong repeat dan basket size.
BM022,Anak beli untuk mak ayah,Tak tahu nak belikan apa yang berguna,Nak hadiah kecil tapi ada fungsi,“Mak ayah lebih suka benda yang boleh guna.”,Caregiving,Mudah pos/bawa,Parent gifting trigger,Hadiah praktikal,"Sejak 1958, label warisan",QUEST,hadiah mak ayah,Nak belikan mak ayah sesuatu? Jangan asyik beli benda hiasan.,Bawa benda kecil yang mereka kenal dan boleh simpan.,Tap beli satu untuk mak ayah.,Hadiah praktikal lebih mudah diterima.
BM023,Isteri/suami suka standby barang rumah,Pasangan selalu cari barang bila perlu,Nak jadi orang yang prepare,"“Kalau aku beli ni, nanti rumah tak kecoh.”",Sense of responsibility,Simpan tempat mudah capai,Household hero trigger,Barang penyelamat pasangan,"Botol kecil, label jelas",BAB,pasangan prepare,"Bila rumah kecoh cari minyak, jangan jadi orang yang cuma tanya ‘mana letak?’",Jadi orang yang siap standby awal.,"Order sekarang, letak dekat rumah.",Menjual pada pride sebagai pasangan responsible.
BM024,Balik kerja badan rasa berat,Penat kerja buat mood jatuh,Nak ritual kecil selepas kerja,“Aku cuma nak badan rasa lebih okay sebelum tidur.”,Relief craving,Sapu dan urut ringan,After-work trigger,Minyak sapu selepas kerja,"Minyak tradisional, botol kecil",PAS,after-work,Balik kerja badan rasa macam kena hempap hari Isnin?,Simpan satu minyak kecil untuk rutin lepas mandi atau sebelum tidur.,"Tap beli, badan kau pun nak dijaga.",Strong relatable pain.
BM025,Driver duduk lama dalam kereta,Badan cepat rasa lenguh/ketat,Nak benda standby semasa bekerja,"“Aku banyak masa dalam kereta, kena ada benda macam ni.”",Work fatigue,Letak compartment kereta,Driver utility trigger,Minyak kerja jalanan,"Botol kecil, muat kereta",FAB,driver standby,"Kalau hidup kau banyak dalam kereta, minyak standby bukan optional.","Letak satu dekat compartment, baru tak menyesal masa perlu.",Ambil satu untuk kereta sekarang.,Niche use case jelas.
BM026,Mak-mak urus rumah dan anak,Benda kecil boleh jadi drama besar,Nak cepat settle tanpa cari merata,“Aku tak ada masa nak panik.”,Control,Letak di rak/laci,Mak-mak trigger,Barang wajib mak-mak,"Botol kecil, cap mudah cam",SLAP,mak-mak,Mak-mak tahu — benda kecil boleh jadi drama kalau tak standby.,Botol kecil ni patut ada sebelum rumah mula kecoh.,"Tap beli, simpan dekat rumah.",Menjual kepada pembeli rumah utama.
BM027,Office worker duduk lama,Badan rasa kaku selepas kerja,Nak benda kecil dalam beg pejabat,“Aku nak standby sesuatu tanpa bawa barang besar.”,Daily discomfort,Muat beg kerja,Work bag trigger,Minyak dalam work pouch,"25ml, mudah bawa",BAB,beg kerja,"Beg kerja penuh charger, tapi benda untuk badan sendiri tak ada?","Masukkan satu botol kecil, kau akan faham bila perlu.",Check price sekarang.,Relatable modern routine.
BM028,Rumah ada rak ubat tapi tak lengkap,Barang asas tradisional tiada,Nak rak rumah lebih ready,"“Rak tu nampak penuh, tapi benda penting tak ada.”",Preparedness gap,Muat rak kecil,Cabinet trigger,Minyak rak wajib,"Label warisan, botol kecil",PAS,rak rumah,"Rak rumah nampak penuh, tapi minyak standby tak ada?","Itu bukan lengkap, itu cuma nampak lengkap.","Order satu, letak terus di rak.",Sharp angle for household setup.
BM029,Pembeli teringat almari lama keluarga,Packaging membangkitkan memori,Nak beli sebab rasa familiar,“Aku pernah nampak benda macam ni dulu.”,Memory recognition,Old-school look,Visual memory trigger,Nostalgia product,"Label warisan, logo burung",HSO,almari lama,Ada produk yang tak perlu explain — tengok label pun terus teringat rumah lama.,Itulah kuasa minyak warisan yang orang cam.,Tap tengok produk sekarang.,Memory sells faster than feature.
BM030,Pembeli percaya produk lama lebih stabil,Produk baru nampak cuba nasib,Nak produk dengan sejarah,"“Kalau sejak 1958, mesti ada sebab dia bertahan.”",Trust by longevity,Sejarah produk,Legacy trigger,Minyak warisan,Sejak 1958,AIDA,since 1958,Produk random boleh viral seminggu. Yang bertahan sejak 1958 lain cerita.,Bukan baru muncul semalam nak tunjuk hebat.,Tap untuk tengok Minyak Warisan Tok Cap Burung.,Legacy reduces skepticism.
BM031,Pembeli suka petua turun-temurun,Nasihat lama terasa lebih selamat secara emosi,Nak rasa sambung dengan cara orang dulu,“Orang lama bukan buat benda tanpa sebab.”,Cultural trust,Petua keluarga,Tradition trigger,Petua dalam botol,Petua Turun Temurun,PASTOR,petua lama,Petua orang lama jangan cepat sangat kau buang.,Ada benda kekal sebab generasi demi generasi simpan.,"Order sekarang, simpan dalam rumah.",Cultural belief kuat di market Melayu.
BM032,Pembeli cari “formula asli”,Tak suka produk yang nampak terlalu synthetic,Nak rasa natural/traditional,"“Aku nak yang rasa macam minyak lama, bukan gimmick.”",Authenticity,Formula identity,Authentic trigger,Minyak tradisional asli,Formula Asli,FAB,formula asli,"Kalau nak minyak tradisional, cari yang rasa betul-betul tradisional.","Formula Asli, vibe lama, botol kecil yang senang standby.",Tap check produk.,Authenticity differentiates.
BM033,Logo burung mudah jadi memory hook,Produk senang disebut dan dicari semula,Nak beli produk yang mudah ingat,“Cap Burung tu senang nak ingat.”,Name recall,Logo jelas,Recall trigger,Produk mudah cam,"Logo burung, label burung",4U,logo burung,Ingat satu benda je — Cap Burung.,"Senang cam, senang cari, senang simpan.",Tap produk Cap Burung sekarang.,Name recall bantu repeat purchase.
BM034,Botol kaca hijau nampak klasik,Packaging beri rasa old-school/premium,Nak produk yang nampak bukan murahan random,“Botol ni ada rasa klasik.”,Aesthetic trust,Kaca hijau nampak solid,Packaging trust trigger,Old-school shelf item,"Botol kaca hijau, minyak hijau",AIDA,botol klasik,Botol kaca hijau ni bukan vibe produk random kilang semalam.,"Nampak kecil, tapi rasa dia old-school habis.",Tap tengok detail sekarang.,Visual quality sells in product-only video.
BM035,Pembeli tak nak show-off product,"Nak barang fungsi, bukan gaya",Nak beli benda yang diam-diam berguna,"“Aku bukan nak cantikkan meja, aku nak benda berguna.”",Practical pride,Simpan bukan pamer,Function trigger,Utility item,"Botol kecil, mudah simpan",SLAP,bukan show off,Produk macam ni bukan untuk show off. Dia untuk ada bila perlu.,"Kecil, senyap, tapi waktu perlu dialah yang dicari.",Masukkan ke cart sekarang.,Anti-vanity positioning strong.
BM036,Rumah selalu ada orang pinjam minyak,Satu botol jadi rebutan,Nak ada cukup supaya tak hilang,"“Kalau ada satu je, mesti lesap.”",Annoyance,Beli beberapa botol,Multi-buy trigger,Stok keluarga,"Saiz kecil, mudah beli lebih",PAS,satu botol lesap,"Dalam rumah, minyak macam ni kalau ada satu memang cepat lesap.","Satu letak rumah, satu spare, satu masuk beg.",Ambil 3 terus.,Basket size angle.
BM037,Pembeli takut perlu waktu malam,"Kedai tutup, barang tak ada",Nak elak situasi helpless,"“Kalau malam-malam perlu, nak cari dekat mana?”",Fear of being stuck,Simpan awal,Night emergency trigger,Standby before night need,Botol kecil mudah simpan,PAS,malam baru cari,"Yang paling sakit hati? Bila perlu waktu malam, minyak pula tak ada.",Sebab tu barang macam ni kena beli sebelum perlu.,"Tap sekarang, simpan siap-siap.",Fear of no access converts.
BM038,Pembeli tak suka pinjam jiran,Rumah sendiri tak ada barang basic,Nak rasa malu tak berlaku,“Takkan benda macam ni pun nak pinjam orang.”,Embarrassment avoidance,Simpan sendiri,Self-sufficiency trigger,Barang asas rumah,Satu rumah satu botol,BAB,jangan pinjam,Takkan minyak standby pun nak pinjam jiran?,Rumah sendiri kena ada barang asas macam ni.,Order satu untuk rumah sekarang.,Uses shame lightly to sell preparedness.
BM039,Ada tetamu/keluarga datang rumah,Orang tiba-tiba minta minyak,Nak jadi host yang ready,"“Kalau orang datang dan perlu, aku ada.”",Pride as host,Letak di almari umum,Host trigger,Minyak untuk rumah aktif,Barang keluarga,AIDA,host ready,Rumah yang selalu ada orang datang kena ada minyak standby.,"Bukan besar pun, tapi bila orang minta, kau ada.",Tap beli satu untuk rumah.,Targets hospitality culture.
BM040,Cuaca hujan/sejuk buat badan rasa tak selesa,Rasa lemau dan berat,Nak ritual sapu yang familiar,“Hari hujan memang rasa nak cari minyak.”,Weather mood,Simpan dekat bilik,Weather trigger,Minyak rasa selesa,Minyak tradisional,PAS,hari hujan,"Hari hujan, badan mula lemau, baru tangan cari minyak.","Kalau tak ada, memang rasa tak lengkap.","Order sekarang, standby sebelum musim hujan.",Seasonal relatable angle.
BM041,Lepas aktiviti/sukan ringan,Badan rasa penat dan tegang,Nak sapuan selepas aktiviti,“Aku nak sesuatu untuk urut ringan.”,Body care,Bawa dalam beg aktiviti,Activity trigger,Minyak sapu after activity,"Botol kecil, mudah bawa",FAB,lepas aktiviti,"Lepas aktiviti, jangan biar badan merajuk sampai esok.",Simpan botol kecil ni untuk sapu dan urut ringan.,Tap beli sebelum next aktiviti.,Function-based but still emotional.
BM042,Warga emas suka benda familiar,Produk baru susah diterima,Nak beli sesuatu yang mereka tak reject,"“Kalau nampak macam minyak lama, mak ayah lebih percaya.”",Elder trust,Label warisan,Senior familiarity trigger,Minyak untuk orang rumah tua,"Old-school look, Sejak 1958",QUEST,orang tua familiar,"Beli untuk orang tua, jangan pilih benda yang nampak pelik sangat.",Pilih yang mereka terus cam vibe dia.,Tap beli untuk mak ayah.,Strong gifting angle.
BM043,Pembeli penat tengok copycat product,Banyak produk nampak sama,Nak produk dengan identity jelas,“At least yang ni ada rupa dan cerita.”,Distrust copycat,Brand visual,Differentiation trigger,Cap Burung identity,"Logo burung, cap merah, minyak hijau",HSO,bukan copycat,Produk copycat banyak. Yang ada identiti jelas senang diingat.,"Cap merah, minyak hijau, label burung — terus melekat.",Tap tengok sekarang.,Brand memory drives purchase.
BM044,First-time buyer nak cuba tanpa fikir panjang,Tak mahu decision berat,Nak produk kecil yang easy add-to-cart,"“Aku boleh cuba dulu, tak payah fikir lama.”",Low commitment,Small format,Trial trigger,Trial-friendly oil,"25ml, botol kecil",4U,mudah cuba,Tak semua benda kena fikir 3 hari sebelum beli.,"Botol kecil, senang cuba, senang simpan.",Tap check price sekarang.,Lowers decision friction.
BM045,Handbag/pouch perempuan perlukan barang kecil,"Banyak barang beauty, kurang barang practical",Nak satu item useful untuk keluar,“Dalam handbag patut ada benda macam ni.”,Prepared femininity,Muat pouch,Handbag trigger,Minyak dalam pouch,"Botol kecil, cap merah",FAB,handbag standby,"Handbag penuh lip tint, tapi minyak standby tak ada?","Masukkan satu botol kecil, baru keluar rumah rasa ready.",Add to cart sekarang.,Humorous contrast stops scroll.
BM046,Beg kerja lelaki terlalu kosong,Tak bawa barang penjagaan diri asas,Nak rasa lebih prepared,“Aku lelaki pun kena ada barang standby.”,Masculine readiness,Muat beg/kereta,Men’s carry trigger,Minyak lelaki practical,"Botol kecil, kaca hijau",AIDA,lelaki standby,Lelaki pun jangan tunggu badan koyak baru cari minyak.,Simpan satu dalam kereta atau beg kerja.,"Tap beli, settle satu masalah kecil.",Niche expansion to male audience.
BM047,Barang tepi katil tak lengkap,Waktu malam malas bangun cari,Nak benda mudah capai,“Letak dekat katil baru senang.”,Comfort seeking,Bedside storage,Night routine trigger,Bedside oil,"Botol kecil, tak makan ruang",BAB,tepi katil,"Bila dah baring baru rasa tak selesa, memang malas nak cari satu rumah.","Letak botol kecil ni tepi katil, habis cerita.",Order satu untuk bilik.,Very clear use moment.
BM048,Anak gatal lepas gigitan serangga,Rumah panik cari apa nak sapu,Nak ada barang standby untuk situasi kecil,“Benda macam ni selalu jadi tiba-tiba.”,Parent anxiety,Simpan dalam rumah,Family mini-emergency trigger,Minyak standby keluarga,"Kegunaan tradisional, botol kecil",PAS,gatal serangga,"Gigitan serangga nampak kecil, sampai anak mula menggaru tak henti.","Mak-mak tahu, benda macam ni kena standby.",Tap beli untuk rumah.,Parent pain drives quick buy.
BM049,Perut rasa tak selesa lepas makan/angin,Mood rosak sebab rasa tak sedap,Nak sapuan familiar,“Aku nak cari minyak sapu yang biasa.”,Relief desire,Simpan di rumah/kereta,Use-moment trigger,Minyak sapu perut,Minyak tradisional,Problem/Moment/Standby/CTA,perut tak selesa,"Perut mula buat hal, baru semua orang cari minyak.",Jangan tunggu meja makan jadi drama.,"Tap order, simpan satu di rumah.",Common household scenario.
BM050,Pening/loya masa jalan jauh,Perjalanan jadi menyeksakan,Nak sesuatu yang boleh standby di kereta/beg,"“Kalau aku ada minyak, at least rasa lebih tenang.”",Travel anxiety,Car/bag storage,Motion moment trigger,Roadtrip standby oil,"Botol kecil, mudah bawa",PAS,loya roadtrip,Jalan jauh memang seronok… sampai kepala mula berat dan perut tak senang.,Sebab tu satu botol kecil kena ada dalam kereta.,Tap beli sebelum trip.,Roadtrip content highly visual.
BM051,Kit travel nampak lengkap tapi kurang barang tradisional,Packing terlalu fokus gadget,Nak checklist yang lebih real,“Aku lupa benda basic yang keluarga selalu bawa.”,Practical regret,Masuk travel pouch,Checklist trigger,Travel kit item,Botol kecil 25ml,4U,packing reminder,"Charger, skincare, baju semua ingat. Minyak standby kau lupa.","Bila badan tak selesa masa travel, baru rasa.",Masukkan cart sebelum packing.,Strong modern contrast.
BM052,Cap merah senang nampak dalam laci,Laci penuh barang kecil susah cari,Nak item mudah dikenali cepat,“Aku nak nampak terus bila perlu.”,Search frustration,Visual cue,Quick-find trigger,Easy-to-find oil,"Cap merah, label burung",FAB,cap merah cari cepat,"Bila perlu, kau tak nak godek laci macam cari harta karun.","Cap merah ni senang cam, senang capai.","Tap beli, letak dalam laci.",Turns packaging into practical proof.
BM053,Pembeli suka barang yang tak makan ruang,Rumah kecil/apartment sempit,Nak stok berguna tanpa semak,“Aku boleh beli lebih sebab kecil.”,Space saving,Muat rak kecil,Space trigger,Compact standby oil,Botol kecil 25ml,FAB,rumah kecil,Rumah kecil bukan alasan tak ada barang standby.,Botol kecil ni tak makan ruang tapi bila perlu terus dicari.,Order satu atau tiga sekarang.,Useful for urban homes.
BM054,Pembeli mahu sistem kecemasan kecil rumah,Rumah ada first-aid tapi tiada minyak tradisional,Nak setup rumah lebih complete,“Aku nak satu corner barang perlu.”,Control and preparedness,Letak dengan barang rumah,Prepared shelf trigger,Household preparedness item,"Minyak tradisional, botol kecil",PASTOR,corner standby,Bina satu corner barang perlu dekat rumah. Minyak macam ni wajib masuk.,Bukan tunggu panik baru nak susun hidup.,"Tap beli, lengkapkan corner standby.",Premium preparation angle.
BM055,Orang bandar rindu rasa kampung,Hidup moden terasa jauh dari petua lama,Nak bawa vibe rumah kampung ke rumah sendiri,“Aku nak rumah aku ada rasa familiar macam dulu.”,Cultural belonging,Letak di almari rumah,Kampung nostalgia trigger,Kampung memory item,"Label warisan, petua turun-temurun",HSO,kampung dalam rumah,Rumah bandar pun patut ada sedikit bau rumah kampung.,Benda macam ni buat almari rumah rasa lengkap dan familiar.,"Tap beli, bawa balik vibe lama.",Strong emotional differentiation.
BM056,First-time buyer perlukan trust cue cepat,Tak sempat baca panjang di TikTok,Nak tanda yang cepat meyakinkan,"“Sejak 1958? Okay, ini bukan random.”",Instant trust,Visible claim on label,Trust cue trigger,Legacy proof item,Sejak 1958,AIDA,trust cepat,"Dalam TikTok, orang tak baca panjang. Mereka cari tanda percaya.","‘Sejak 1958’ tu bukan hiasan, itu signal.",Tap tengok produk sekarang.,Clear proof chip for short-form ads.
BM057,Product-only video perlukan objek menarik,Tanpa manusia pun produk kena stop scroll,Nak visual yang ada cerita,“Minyak hijau cap merah ni ada vibe.”,Visual curiosity,Strong color identity,Product-only trigger,Hero object,"Minyak hijau, cap merah, kaca hijau",4U,object hook,Tak perlu orang menjerit pun. Cap merah minyak hijau dah cukup buat mata berhenti.,"Produk kecil, visual kuat, cerita lama.",Tap beg kuning sekarang.,Great for low-cost creatives.
BM058,TikTok Shop impulse buyer suka barang praktikal,Tak plan beli tapi rasa “eh berguna”,Nak add-to-cart tanpa rasa bersalah,“Aku memang akan guna nanti.”,Justification,Harga kecil/saiz kecil perceived,Impulse trigger,Useful cart filler,"Botol kecil, standby use",AIDA,cart filler,"Barang macam ni bahaya dekat TikTok Shop — tak plan beli, tapi rasa wajib ada.",Sebab kau tahu satu hari nanti akan cari juga.,"Tap check price, jangan overthink.",Matches TikTok Shop behavior.
BM059,Family gathering/open house banyak orang,"Ramai orang, banyak kemungkinan kecil berlaku",Nak rumah ready bila ramai datang,"“Bila rumah ramai orang, benda kecil selalu jadi isu.”",Host pressure,Simpan di ruang umum,Gathering trigger,Open house standby,"Barang keluarga, mudah simpan",PAS,rumah ramai orang,"Bila rumah ramai orang, benda kecil pun cepat jadi kecoh.","Simpan satu minyak standby, biar rumah nampak ready.",Order sebelum gathering seterusnya.,Seasonal and cultural use.
BM060,Pembeli nak beli kerana identiti lokal/tradisi,Produk terasa dekat dengan budaya sendiri,Nak sokong produk yang rasa “kita punya”,“Ini bukan barang asing yang tak kena dengan hidup aku.”,Cultural pride,Local traditional feel,Identity trigger,Minyak warisan lokal,"Cap Burung, Petua Turun Temurun, Sejak 1958",PPPP,produk kita,Ada produk yang terasa macam ‘kita punya’ sebelum kau baca label pun.,"Cap Burung, minyak hijau, petua lama — semua rasa dekat.","Tap beli, simpan satu di rumah.",Identity-based buying creates emotional stickiness.
