motivation_id,primary_bucket,secondary_bucket,buyer_stage,persona_fit,boldness_level,usage_context,sales_mechanism,best_content_format,best_platform_surface,bundle_potential,repeat_purchase_potential,strongest_hook_from_this_motivation,expansion_priority,notes_for_angle_generation
BM039,FAMILY_HOME,SEASONAL_CONTEXT,warm_interest,family_home_buyer,MODERATE,open_house,family_responsibility,poster_ad,WhatsApp_blast,MEDIUM,MEDIUM,Rumah yang selalu ada orang datang kena ada minyak standby.,MEDIUM,Good for open house/festive season. Park until seasonal campaign.
BM040,SEASONAL_CONTEXT,STANDBY_BEFORE_NEED,cold_scroll,universal_household,MODERATE,rumah,before_need_preparation,POV_scene,TikTok_Shop_video,MEDIUM,MEDIUM,"Hari hujan, badan mula lemau, baru tangan cari minyak.",MEDIUM,Weather mood angle. Seasonal/monsoon content.
BM041,PERSONA_SPECIFIC,PRACTICAL_STORAGE,warm_interest,lelaki_bekerja,MODERATE,kerja,practical_convenience,UGC_talking_head,TikTok_Shop_video,LOW,MEDIUM,"Lepas aktiviti, jangan biar badan merajuk sampai esok.",LOW,"Can work, but risk generic. Needs specific scene to avoid becoming bland."
BM042,FAMILY_HOME,NOSTALGIA_TRUST,gift_buyer,anak_beli_untuk_parent,MODERATE,balik_kampung,gift_utility,UGC_talking_head,TikTok_Shop_video,HIGH,MEDIUM,"Beli untuk orang tua, jangan pilih benda yang nampak pelik sangat.",HIGH,Strong parent gifting + familiarity. Expand with mak ayah trust.
BM043,VISUAL_RECOGNITION,TIKTOK_CURIOSITY,cold_scroll,impulse_tiktok_buyer,BOLD,rumah,visual_recognition,product_only_video,TikTok_Shop_video,LOW,MEDIUM,Produk copycat banyak. Yang ada identiti jelas senang diingat.,MEDIUM,"Differentiation angle. Good for branding, secondary conversion."
BM044,TIKTOK_CURIOSITY,PRACTICAL_STORAGE,ready_to_buy,impulse_tiktok_buyer,MODERATE,rumah,impulse_low_friction,product_only_video,TikTok_Shop_video,MEDIUM,LOW,Tak semua benda kena fikir 3 hari sebelum beli.,HIGH,"Strong impulse hook. Pair with “kecil, senang cuba, senang simpan”."
BM045,PERSONA_SPECIFIC,TRAVEL_CAR_BAG,cold_scroll,mak_mak,BOLD,beg,practical_convenience,UGC_talking_head,TikTok_Shop_video,MEDIUM,MEDIUM,"Handbag penuh lip tint, tapi minyak standby tak ada?",HIGH,"Funny, sharp, native. Expand for women pouch/handbag angle."
BM046,PERSONA_SPECIFIC,TRAVEL_CAR_BAG,cold_scroll,lelaki_bekerja,BOLD,kereta,practical_convenience,UGC_talking_head,TikTok_Shop_video,MEDIUM,MEDIUM,Lelaki pun jangan tunggu badan koyak baru cari minyak.,MEDIUM,Good male angle. Keep bold but don’t over-niche.
BM047,PRACTICAL_STORAGE,STANDBY_BEFORE_NEED,warm_interest,universal_household,MODERATE,malam,practical_convenience,POV_scene,TikTok_Shop_video,MEDIUM,MEDIUM,"Bila dah baring baru rasa tak selesa, memang malas nak cari satu rumah.",MEDIUM,"Bedside use moment. Good for POV malam, laci tepi katil."
BM048,FAMILY_HOME,PERSONA_SPECIFIC,warm_interest,mak_mak,BOLD,rumah,family_responsibility,POV_scene,TikTok_Shop_video,MEDIUM,HIGH,"Gigitan serangga nampak kecil, sampai anak mula menggaru tak henti.",MEDIUM,"Parent mini-drama angle. Use carefully, keep as discomfort/standby context."
BM049,STANDBY_BEFORE_NEED,FAMILY_HOME,cold_scroll,universal_household,BOLD,rumah,fear_of_not_having,POV_scene,TikTok_Shop_video,MEDIUM,HIGH,"Perut mula buat hal, baru semua orang cari minyak.",HIGH,"Very common household moment. Expand into makan, angin, rumah cari minyak."
BM050,TRAVEL_CAR_BAG,STANDBY_BEFORE_NEED,cold_scroll,driver_travel,BOLD,kereta,fear_of_not_having,POV_scene,TikTok_Shop_video,HIGH,MEDIUM,Jalan jauh seronok… sampai kepala mula berat dan perut tak senang.,HIGH,"Strong roadtrip hook. Expand with balik kampung, highway, passenger POV."
BM051,TRAVEL_CAR_BAG,STANDBY_BEFORE_NEED,cold_scroll,driver_travel,BOLD,travel,before_need_preparation,carousel,TikTok_Shop_video,HIGH,MEDIUM,"Charger, skincare, baju semua ingat. Minyak standby kau lupa.",HIGH,Travel checklist angle. Good for carousel and packing video.
BM052,VISUAL_RECOGNITION,PRACTICAL_STORAGE,warm_interest,family_home_buyer,MODERATE,laci,visual_recognition,product_only_video,product_page_asset,LOW,MEDIUM,"Bila perlu, kau tak nak godek laci macam cari harta karun.",MEDIUM,"Feature-to-function angle. Use cap merah as “senang cari”, not decoration."
BM053,PRACTICAL_STORAGE,MULTI_BUY,warm_interest,universal_household,MODERATE,rumah,practical_convenience,poster_ad,Shopee_Lazada_visual,HIGH,MEDIUM,Rumah kecil bukan alasan tak ada barang standby.,MEDIUM,Good for urban/apartment buyers. Bundle potential via small size.
BM054,FAMILY_HOME,STANDBY_BEFORE_NEED,warm_interest,family_home_buyer,BOLD,rak,household_readiness,carousel,product_page_asset,MEDIUM,MEDIUM,Bina satu corner barang perlu dekat rumah. Minyak macam ni wajib masuk.,MEDIUM,Preparedness shelf angle. Good product-page/carousel education.
BM055,NOSTALGIA_TRUST,FAMILY_HOME,cold_scroll,nostalgia_buyer,MODERATE,rumah,nostalgia_trust,hybrid_video,TikTok_Shop_video,MEDIUM,MEDIUM,Rumah bandar pun patut ada sedikit bau rumah kampung.,MEDIUM,Emotional cultural angle. Good but less direct than BM018/BM030.
BM056,NOSTALGIA_TRUST,VISUAL_RECOGNITION,cold_scroll,universal_household,BOLD,rumah,nostalgia_trust,poster_ad,product_page_asset,MEDIUM,HIGH,"‘Sejak 1958’ tu bukan hiasan, itu signal.",HIGH,"Hard proof angle. Expand for trust overlays, poster headlines, product page."
BM057,TIKTOK_CURIOSITY,VISUAL_RECOGNITION,cold_scroll,impulse_tiktok_buyer,BOLD,rumah,visual_recognition,product_only_video,TikTok_Shop_video,MEDIUM,LOW,Cap merah minyak hijau dah cukup buat mata berhenti.,HIGH,"Product-only winner. Expand into closeup, spin, hand grab, laci reveal."
BM058,TIKTOK_CURIOSITY,PRACTICAL_STORAGE,ready_to_buy,impulse_tiktok_buyer,BOLD,rumah,impulse_low_friction,product_only_video,TikTok_Shop_video,MEDIUM,MEDIUM,"Tak plan beli, tapi rasa wajib ada.",HIGH,"TikTok Shop conversion angle. Push check price, tap beg kuning, add cart."
BM059,SEASONAL_CONTEXT,FAMILY_HOME,warm_interest,family_home_buyer,MODERATE,family_gathering,family_responsibility,poster_ad,WhatsApp_blast,MEDIUM,MEDIUM,"Bila rumah ramai orang, benda kecil pun cepat jadi kecoh.",MEDIUM,"Seasonal campaign: raya, kenduri, open house, family gathering."
BM060,NOSTALGIA_TRUST,FAMILY_HOME,cold_scroll,nostalgia_buyer,MODERATE,rumah,nostalgia_trust,hybrid_video,TikTok_Shop_video,MEDIUM,MEDIUM,Ada produk yang terasa macam ‘kita punya’ sebelum kau baca label pun.,MEDIUM,"Identity/local pride angle. Good brand layer, not primary direct-response driver."
